#           k/h    P           
    0.53710E-02    0.28021E+04
    0.54069E-02    0.28147E+04
    0.54431E-02    0.28273E+04
    0.54795E-02    0.28400E+04
    0.55162E-02    0.28526E+04
    0.55531E-02    0.28653E+04
    0.55902E-02    0.28780E+04
    0.56276E-02    0.28907E+04
    0.56653E-02    0.29034E+04
    0.57031E-02    0.29161E+04
    0.57413E-02    0.29289E+04
    0.57797E-02    0.29416E+04
    0.58184E-02    0.29544E+04
    0.58573E-02    0.29671E+04
    0.58965E-02    0.29799E+04
    0.59359E-02    0.29927E+04
    0.59756E-02    0.30055E+04
    0.60156E-02    0.30183E+04
    0.60558E-02    0.30311E+04
    0.60963E-02    0.30439E+04
    0.61371E-02    0.30567E+04
    0.61781E-02    0.30695E+04
    0.62195E-02    0.30824E+04
    0.62611E-02    0.30952E+04
    0.63030E-02    0.31080E+04
    0.63451E-02    0.31208E+04
    0.63876E-02    0.31337E+04
    0.64303E-02    0.31465E+04
    0.64733E-02    0.31593E+04
    0.65166E-02    0.31722E+04
    0.65602E-02    0.31850E+04
    0.66041E-02    0.31978E+04
    0.66482E-02    0.32106E+04
    0.66927E-02    0.32234E+04
    0.67375E-02    0.32362E+04
    0.67825E-02    0.32490E+04
    0.68279E-02    0.32618E+04
    0.68736E-02    0.32746E+04
    0.69196E-02    0.32874E+04
    0.69658E-02    0.33002E+04
    0.70124E-02    0.33129E+04
    0.70593E-02    0.33257E+04
    0.71066E-02    0.33384E+04
    0.71541E-02    0.33511E+04
    0.72019E-02    0.33638E+04
    0.72501E-02    0.33765E+04
    0.72986E-02    0.33891E+04
    0.73474E-02    0.34018E+04
    0.73966E-02    0.34144E+04
    0.74461E-02    0.34270E+04
    0.74959E-02    0.34396E+04
    0.75460E-02    0.34522E+04
    0.75965E-02    0.34648E+04
    0.76473E-02    0.34773E+04
    0.76984E-02    0.34898E+04
    0.77499E-02    0.35022E+04
    0.78018E-02    0.35147E+04
    0.78540E-02    0.35271E+04
    0.79065E-02    0.35395E+04
    0.79594E-02    0.35519E+04
    0.80126E-02    0.35642E+04
    0.80662E-02    0.35765E+04
    0.81202E-02    0.35888E+04
    0.81745E-02    0.36010E+04
    0.82292E-02    0.36132E+04
    0.82842E-02    0.36253E+04
    0.83396E-02    0.36375E+04
    0.83954E-02    0.36495E+04
    0.84516E-02    0.36616E+04
    0.85081E-02    0.36736E+04
    0.85650E-02    0.36855E+04
    0.86223E-02    0.36974E+04
    0.86800E-02    0.37093E+04
    0.87380E-02    0.37211E+04
    0.87965E-02    0.37329E+04
    0.88553E-02    0.37446E+04
    0.89146E-02    0.37563E+04
    0.89742E-02    0.37679E+04
    0.90342E-02    0.37795E+04
    0.90946E-02    0.37910E+04
    0.91555E-02    0.38025E+04
    0.92167E-02    0.38139E+04
    0.92784E-02    0.38252E+04
    0.93404E-02    0.38365E+04
    0.94029E-02    0.38477E+04
    0.94658E-02    0.38589E+04
    0.95291E-02    0.38700E+04
    0.95929E-02    0.38810E+04
    0.96570E-02    0.38919E+04
    0.97216E-02    0.39028E+04
    0.97866E-02    0.39137E+04
    0.98521E-02    0.39244E+04
    0.99180E-02    0.39351E+04
    0.99843E-02    0.39457E+04
    0.10051E-01    0.39562E+04
    0.10118E-01    0.39667E+04
    0.10186E-01    0.39771E+04
    0.10254E-01    0.39874E+04
    0.10323E-01    0.39976E+04
    0.10392E-01    0.40077E+04
    0.10461E-01    0.40178E+04
    0.10531E-01    0.40277E+04
    0.10602E-01    0.40376E+04
    0.10673E-01    0.40474E+04
    0.10744E-01    0.40571E+04
    0.10816E-01    0.40667E+04
    0.10888E-01    0.40762E+04
    0.10961E-01    0.40856E+04
    0.11034E-01    0.40949E+04
    0.11108E-01    0.41041E+04
    0.11183E-01    0.41132E+04
    0.11257E-01    0.41222E+04
    0.11333E-01    0.41311E+04
    0.11408E-01    0.41399E+04
    0.11485E-01    0.41486E+04
    0.11562E-01    0.41572E+04
    0.11639E-01    0.41657E+04
    0.11717E-01    0.41740E+04
    0.11795E-01    0.41823E+04
    0.11874E-01    0.41904E+04
    0.11953E-01    0.41984E+04
    0.12033E-01    0.42063E+04
    0.12114E-01    0.42141E+04
    0.12195E-01    0.42217E+04
    0.12276E-01    0.42292E+04
    0.12359E-01    0.42366E+04
    0.12441E-01    0.42439E+04
    0.12524E-01    0.42510E+04
    0.12608E-01    0.42580E+04
    0.12693E-01    0.42649E+04
    0.12777E-01    0.42716E+04
    0.12863E-01    0.42782E+04
    0.12949E-01    0.42847E+04
    0.13036E-01    0.42910E+04
    0.13123E-01    0.42972E+04
    0.13211E-01    0.43032E+04
    0.13299E-01    0.43091E+04
    0.13388E-01    0.43148E+04
    0.13477E-01    0.43204E+04
    0.13568E-01    0.43258E+04
    0.13658E-01    0.43311E+04
    0.13750E-01    0.43363E+04
    0.13842E-01    0.43412E+04
    0.13934E-01    0.43460E+04
    0.14027E-01    0.43507E+04
    0.14121E-01    0.43552E+04
    0.14216E-01    0.43595E+04
    0.14311E-01    0.43636E+04
    0.14407E-01    0.43676E+04
    0.14503E-01    0.43714E+04
    0.14600E-01    0.43751E+04
    0.14698E-01    0.43785E+04
    0.14796E-01    0.43818E+04
    0.14895E-01    0.43849E+04
    0.14995E-01    0.43879E+04
    0.15095E-01    0.43906E+04
    0.15196E-01    0.43932E+04
    0.15297E-01    0.43956E+04
    0.15400E-01    0.43978E+04
    0.15503E-01    0.43998E+04
    0.15606E-01    0.44017E+04
    0.15711E-01    0.44033E+04
    0.15816E-01    0.44047E+04
    0.15922E-01    0.44060E+04
    0.16028E-01    0.44070E+04
    0.16135E-01    0.44079E+04
    0.16243E-01    0.44086E+04
    0.16352E-01    0.44090E+04
    0.16461E-01    0.44093E+04
    0.16572E-01    0.44093E+04
    0.16682E-01    0.44092E+04
    0.16794E-01    0.44088E+04
    0.16906E-01    0.44083E+04
    0.17019E-01    0.44075E+04
    0.17133E-01    0.44065E+04
    0.17248E-01    0.44053E+04
    0.17363E-01    0.44039E+04
    0.17479E-01    0.44022E+04
    0.17596E-01    0.44004E+04
    0.17714E-01    0.43983E+04
    0.17832E-01    0.43961E+04
    0.17952E-01    0.43936E+04
    0.18072E-01    0.43908E+04
    0.18193E-01    0.43879E+04
    0.18314E-01    0.43847E+04
    0.18437E-01    0.43813E+04
    0.18560E-01    0.43777E+04
    0.18684E-01    0.43739E+04
    0.18809E-01    0.43698E+04
    0.18935E-01    0.43655E+04
    0.19062E-01    0.43609E+04
    0.19189E-01    0.43562E+04
    0.19318E-01    0.43512E+04
    0.19447E-01    0.43460E+04
    0.19577E-01    0.43405E+04
    0.19708E-01    0.43348E+04
    0.19840E-01    0.43289E+04
    0.19972E-01    0.43227E+04
    0.20106E-01    0.43164E+04
    0.20240E-01    0.43097E+04
    0.20376E-01    0.43029E+04
    0.20512E-01    0.42958E+04
    0.20649E-01    0.42884E+04
    0.20787E-01    0.42809E+04
    0.20927E-01    0.42731E+04
    0.21067E-01    0.42650E+04
    0.21207E-01    0.42568E+04
    0.21349E-01    0.42483E+04
    0.21492E-01    0.42395E+04
    0.21636E-01    0.42305E+04
    0.21781E-01    0.42213E+04
    0.21926E-01    0.42119E+04
    0.22073E-01    0.42022E+04
    0.22221E-01    0.41923E+04
    0.22369E-01    0.41821E+04
    0.22519E-01    0.41718E+04
    0.22669E-01    0.41612E+04
    0.22821E-01    0.41503E+04
    0.22974E-01    0.41393E+04
    0.23127E-01    0.41280E+04
    0.23282E-01    0.41164E+04
    0.23438E-01    0.41047E+04
    0.23595E-01    0.40927E+04
    0.23752E-01    0.40805E+04
    0.23911E-01    0.40681E+04
    0.24071E-01    0.40555E+04
    0.24232E-01    0.40426E+04
    0.24394E-01    0.40296E+04
    0.24558E-01    0.40163E+04
    0.24722E-01    0.40028E+04
    0.24887E-01    0.39891E+04
    0.25054E-01    0.39752E+04
    0.25221E-01    0.39610E+04
    0.25390E-01    0.39467E+04
    0.25560E-01    0.39322E+04
    0.25731E-01    0.39175E+04
    0.25903E-01    0.39025E+04
    0.26076E-01    0.38874E+04
    0.26251E-01    0.38721E+04
    0.26426E-01    0.38566E+04
    0.26603E-01    0.38410E+04
    0.26781E-01    0.38251E+04
    0.26960E-01    0.38091E+04
    0.27140E-01    0.37929E+04
    0.27322E-01    0.37765E+04
    0.27505E-01    0.37600E+04
    0.27689E-01    0.37433E+04
    0.27874E-01    0.37264E+04
    0.28060E-01    0.37094E+04
    0.28248E-01    0.36922E+04
    0.28437E-01    0.36749E+04
    0.28627E-01    0.36574E+04
    0.28819E-01    0.36398E+04
    0.29011E-01    0.36220E+04
    0.29205E-01    0.36042E+04
    0.29401E-01    0.35862E+04
    0.29597E-01    0.35681E+04
    0.29795E-01    0.35498E+04
    0.29995E-01    0.35315E+04
    0.30195E-01    0.35130E+04
    0.30397E-01    0.34944E+04
    0.30601E-01    0.34758E+04
    0.30805E-01    0.34570E+04
    0.31011E-01    0.34382E+04
    0.31219E-01    0.34193E+04
    0.31428E-01    0.34003E+04
    0.31638E-01    0.33812E+04
    0.31849E-01    0.33621E+04
    0.32062E-01    0.33429E+04
    0.32277E-01    0.33236E+04
    0.32493E-01    0.33043E+04
    0.32710E-01    0.32850E+04
    0.32929E-01    0.32656E+04
    0.33149E-01    0.32462E+04
    0.33371E-01    0.32268E+04
    0.33594E-01    0.32073E+04
    0.33819E-01    0.31878E+04
    0.34045E-01    0.31683E+04
    0.34273E-01    0.31488E+04
    0.34502E-01    0.31294E+04
    0.34733E-01    0.31099E+04
    0.34965E-01    0.30904E+04
    0.35199E-01    0.30710E+04
    0.35434E-01    0.30516E+04
    0.35671E-01    0.30322E+04
    0.35910E-01    0.30129E+04
    0.36150E-01    0.29936E+04
    0.36392E-01    0.29743E+04
    0.36636E-01    0.29551E+04
    0.36881E-01    0.29360E+04
    0.37127E-01    0.29169E+04
    0.37376E-01    0.28980E+04
    0.37626E-01    0.28791E+04
    0.37877E-01    0.28602E+04
    0.38131E-01    0.28415E+04
    0.38386E-01    0.28229E+04
    0.38642E-01    0.28043E+04
    0.38901E-01    0.27859E+04
    0.39161E-01    0.27676E+04
    0.39423E-01    0.27494E+04
    0.39687E-01    0.27313E+04
    0.39952E-01    0.27134E+04
    0.40219E-01    0.26956E+04
    0.40489E-01    0.26779E+04
    0.40759E-01    0.26604E+04
    0.41032E-01    0.26430E+04
    0.41306E-01    0.26258E+04
    0.41583E-01    0.26087E+04
    0.41861E-01    0.25918E+04
    0.42141E-01    0.25750E+04
    0.42423E-01    0.25584E+04
    0.42707E-01    0.25420E+04
    0.42992E-01    0.25258E+04
    0.43280E-01    0.25097E+04
    0.43569E-01    0.24938E+04
    0.43861E-01    0.24781E+04
    0.44154E-01    0.24626E+04
    0.44449E-01    0.24473E+04
    0.44747E-01    0.24322E+04
    0.45046E-01    0.24172E+04
    0.45347E-01    0.24025E+04
    0.45651E-01    0.23879E+04
    0.45956E-01    0.23736E+04
    0.46263E-01    0.23594E+04
    0.46573E-01    0.23455E+04
    0.46884E-01    0.23317E+04
    0.47198E-01    0.23182E+04
    0.47514E-01    0.23048E+04
    0.47832E-01    0.22917E+04
    0.48151E-01    0.22787E+04
    0.48474E-01    0.22660E+04
    0.48798E-01    0.22534E+04
    0.49124E-01    0.22411E+04
    0.49453E-01    0.22289E+04
    0.49784E-01    0.22170E+04
    0.50117E-01    0.22052E+04
    0.50452E-01    0.21936E+04
    0.50789E-01    0.21822E+04
    0.51129E-01    0.21710E+04
    0.51471E-01    0.21599E+04
    0.51815E-01    0.21491E+04
    0.52162E-01    0.21384E+04
    0.52511E-01    0.21279E+04
    0.52862E-01    0.21175E+04
    0.53216E-01    0.21073E+04
    0.53572E-01    0.20973E+04
    0.53930E-01    0.20874E+04
    0.54291E-01    0.20776E+04
    0.54654E-01    0.20680E+04
    0.55019E-01    0.20585E+04
    0.55387E-01    0.20491E+04
    0.55758E-01    0.20398E+04
    0.56131E-01    0.20307E+04
    0.56506E-01    0.20216E+04
    0.56884E-01    0.20127E+04
    0.57265E-01    0.20038E+04
    0.57648E-01    0.19950E+04
    0.58033E-01    0.19862E+04
    0.58580E-01    0.19740E+04
    0.59128E-01    0.19620E+04
    0.59675E-01    0.19501E+04
    0.60222E-01    0.19384E+04
    0.60769E-01    0.19268E+04
    0.61316E-01    0.19153E+04
    0.61863E-01    0.19038E+04
    0.62410E-01    0.18924E+04
    0.62957E-01    0.18810E+04
    0.63504E-01    0.18695E+04
    0.64051E-01    0.18580E+04
    0.64598E-01    0.18465E+04
    0.65145E-01    0.18349E+04
    0.65692E-01    0.18232E+04
    0.66240E-01    0.18115E+04
    0.66787E-01    0.17995E+04
    0.67334E-01    0.17875E+04
    0.67881E-01    0.17753E+04
    0.68428E-01    0.17630E+04
    0.68975E-01    0.17505E+04
    0.69522E-01    0.17378E+04
    0.70069E-01    0.17250E+04
    0.70616E-01    0.17120E+04
    0.71163E-01    0.16988E+04
    0.71710E-01    0.16855E+04
    0.72257E-01    0.16719E+04
    0.72804E-01    0.16582E+04
    0.73352E-01    0.16443E+04
    0.73899E-01    0.16303E+04
    0.74446E-01    0.16161E+04
    0.74993E-01    0.16017E+04
    0.75540E-01    0.15872E+04
    0.76087E-01    0.15725E+04
    0.76634E-01    0.15577E+04
    0.77181E-01    0.15428E+04
    0.77728E-01    0.15278E+04
    0.78275E-01    0.15126E+04
    0.78822E-01    0.14974E+04
    0.79369E-01    0.14822E+04
    0.79916E-01    0.14668E+04
    0.80463E-01    0.14514E+04
    0.81011E-01    0.14360E+04
    0.81558E-01    0.14206E+04
    0.82105E-01    0.14051E+04
    0.82652E-01    0.13897E+04
    0.83199E-01    0.13743E+04
    0.83746E-01    0.13589E+04
    0.84293E-01    0.13436E+04
    0.84840E-01    0.13284E+04
    0.85387E-01    0.13132E+04
    0.85934E-01    0.12982E+04
    0.86481E-01    0.12832E+04
    0.87028E-01    0.12684E+04
    0.87575E-01    0.12538E+04
    0.88123E-01    0.12392E+04
    0.88670E-01    0.12249E+04
    0.89217E-01    0.12107E+04
    0.89764E-01    0.11967E+04
    0.90311E-01    0.11829E+04
    0.90858E-01    0.11694E+04
    0.91405E-01    0.11560E+04
    0.91952E-01    0.11429E+04
    0.92499E-01    0.11300E+04
    0.93046E-01    0.11173E+04
    0.93593E-01    0.11049E+04
    0.94140E-01    0.10927E+04
    0.94687E-01    0.10808E+04
    0.95235E-01    0.10692E+04
    0.95782E-01    0.10578E+04
    0.96329E-01    0.10467E+04
    0.96876E-01    0.10359E+04
    0.97423E-01    0.10254E+04
    0.97970E-01    0.10151E+04
    0.98517E-01    0.10051E+04
    0.99064E-01    0.99540E+03
    0.99611E-01    0.98597E+03
    0.10016E+00    0.97682E+03
    0.10071E+00    0.96795E+03
    0.10125E+00    0.95934E+03
    0.10180E+00    0.95102E+03
    0.10235E+00    0.94295E+03
    0.10289E+00    0.93516E+03
    0.10344E+00    0.92762E+03
    0.10399E+00    0.92034E+03
    0.10453E+00    0.91331E+03
    0.10508E+00    0.90652E+03
    0.10563E+00    0.89997E+03
    0.10618E+00    0.89366E+03
    0.10672E+00    0.88757E+03
    0.10727E+00    0.88170E+03
    0.10782E+00    0.87605E+03
    0.10836E+00    0.87060E+03
    0.10891E+00    0.86535E+03
    0.10946E+00    0.86029E+03
    0.11001E+00    0.85541E+03
    0.11055E+00    0.85070E+03
    0.11110E+00    0.84616E+03
    0.11165E+00    0.84177E+03
    0.11219E+00    0.83754E+03
    0.11274E+00    0.83344E+03
    0.11329E+00    0.82947E+03
    0.11384E+00    0.82562E+03
    0.11438E+00    0.82189E+03
    0.11493E+00    0.81825E+03
    0.11548E+00    0.81472E+03
    0.11602E+00    0.81127E+03
    0.11657E+00    0.80789E+03
    0.11712E+00    0.80459E+03
    0.11766E+00    0.80134E+03
    0.11821E+00    0.79814E+03
    0.11876E+00    0.79499E+03
    0.11931E+00    0.79188E+03
    0.11985E+00    0.78879E+03
    0.12040E+00    0.78571E+03
    0.12095E+00    0.78266E+03
    0.12149E+00    0.77960E+03
    0.12204E+00    0.77654E+03
    0.12259E+00    0.77348E+03
    0.12314E+00    0.77040E+03
    0.12368E+00    0.76729E+03
    0.12423E+00    0.76416E+03
    0.12478E+00    0.76100E+03
    0.12532E+00    0.75780E+03
    0.12587E+00    0.75456E+03
    0.12642E+00    0.75127E+03
    0.12696E+00    0.74793E+03
    0.12751E+00    0.74453E+03
    0.12806E+00    0.74108E+03
    0.12861E+00    0.73756E+03
    0.12915E+00    0.73398E+03
    0.12970E+00    0.73034E+03
    0.13025E+00    0.72663E+03
    0.13079E+00    0.72285E+03
    0.13134E+00    0.71901E+03
    0.13189E+00    0.71509E+03
    0.13244E+00    0.71111E+03
    0.13298E+00    0.70705E+03
    0.13353E+00    0.70293E+03
    0.13408E+00    0.69874E+03
    0.13462E+00    0.69448E+03
    0.13517E+00    0.69015E+03
    0.13572E+00    0.68577E+03
    0.13627E+00    0.68132E+03
    0.13681E+00    0.67681E+03
    0.13736E+00    0.67225E+03
    0.13791E+00    0.66763E+03
    0.13845E+00    0.66297E+03
    0.13900E+00    0.65825E+03
    0.13955E+00    0.65350E+03
    0.14009E+00    0.64871E+03
    0.14064E+00    0.64388E+03
    0.14119E+00    0.63902E+03
    0.14174E+00    0.63413E+03
    0.14228E+00    0.62922E+03
    0.14283E+00    0.62429E+03
    0.14338E+00    0.61935E+03
    0.14392E+00    0.61440E+03
    0.14447E+00    0.60945E+03
    0.14502E+00    0.60449E+03
    0.14557E+00    0.59954E+03
    0.14611E+00    0.59460E+03
    0.14666E+00    0.58968E+03
    0.14721E+00    0.58477E+03
    0.14775E+00    0.57988E+03
    0.14830E+00    0.57502E+03
    0.14885E+00    0.57019E+03
    0.14940E+00    0.56540E+03
    0.14994E+00    0.56064E+03
    0.15049E+00    0.55593E+03
    0.15104E+00    0.55126E+03
    0.15158E+00    0.54665E+03
    0.15213E+00    0.54209E+03
    0.15268E+00    0.53758E+03
    0.15322E+00    0.53313E+03
    0.15377E+00    0.52875E+03
    0.15432E+00    0.52443E+03
    0.15487E+00    0.52018E+03
    0.15541E+00    0.51600E+03
    0.15596E+00    0.51190E+03
    0.15651E+00    0.50786E+03
    0.15705E+00    0.50391E+03
    0.15760E+00    0.50003E+03
    0.15815E+00    0.49623E+03
    0.15870E+00    0.49251E+03
    0.15924E+00    0.48887E+03
    0.15979E+00    0.48531E+03
    0.16034E+00    0.48184E+03
    0.16088E+00    0.47844E+03
    0.16143E+00    0.47513E+03
    0.16198E+00    0.47191E+03
    0.16252E+00    0.46877E+03
    0.16307E+00    0.46571E+03
    0.16362E+00    0.46273E+03
    0.16417E+00    0.45983E+03
    0.16471E+00    0.45702E+03
    0.16526E+00    0.45428E+03
    0.16581E+00    0.45163E+03
    0.16635E+00    0.44905E+03
    0.16690E+00    0.44654E+03
    0.16745E+00    0.44411E+03
    0.16800E+00    0.44176E+03
    0.16854E+00    0.43947E+03
    0.16909E+00    0.43726E+03
    0.16964E+00    0.43511E+03
    0.17018E+00    0.43303E+03
    0.17073E+00    0.43101E+03
    0.17128E+00    0.42905E+03
    0.17183E+00    0.42715E+03
    0.17237E+00    0.42530E+03
    0.17292E+00    0.42351E+03
    0.17347E+00    0.42177E+03
    0.17401E+00    0.42008E+03
    0.17456E+00    0.41843E+03
    0.17511E+00    0.41683E+03
    0.17565E+00    0.41527E+03
    0.17620E+00    0.41374E+03
    0.17675E+00    0.41225E+03
    0.17730E+00    0.41080E+03
    0.17784E+00    0.40937E+03
    0.17839E+00    0.40797E+03
    0.17894E+00    0.40659E+03
    0.17948E+00    0.40524E+03
    0.18003E+00    0.40391E+03
    0.18058E+00    0.40259E+03
    0.18113E+00    0.40128E+03
    0.18167E+00    0.39999E+03
    0.18222E+00    0.39871E+03
    0.18277E+00    0.39743E+03
    0.18331E+00    0.39615E+03
    0.18386E+00    0.39488E+03
    0.18441E+00    0.39361E+03
    0.18495E+00    0.39234E+03
    0.18550E+00    0.39106E+03
    0.18605E+00    0.38977E+03
    0.18660E+00    0.38847E+03
    0.18714E+00    0.38717E+03
    0.18769E+00    0.38585E+03
    0.18824E+00    0.38453E+03
    0.18878E+00    0.38318E+03
    0.18933E+00    0.38182E+03
    0.18988E+00    0.38045E+03
    0.19043E+00    0.37905E+03
    0.19097E+00    0.37764E+03
    0.19152E+00    0.37621E+03
    0.19207E+00    0.37476E+03
    0.19261E+00    0.37328E+03
    0.19316E+00    0.37179E+03
    0.19371E+00    0.37027E+03
    0.19426E+00    0.36873E+03
    0.19480E+00    0.36716E+03
    0.19535E+00    0.36558E+03
    0.19590E+00    0.36397E+03
    0.19644E+00    0.36234E+03
    0.19699E+00    0.36068E+03
    0.19754E+00    0.35900E+03
    0.19808E+00    0.35730E+03
    0.19863E+00    0.35558E+03
    0.19918E+00    0.35384E+03
    0.19973E+00    0.35208E+03
    0.20027E+00    0.35030E+03
    0.20082E+00    0.34850E+03
    0.20137E+00    0.34668E+03
    0.20191E+00    0.34485E+03
    0.20246E+00    0.34300E+03
    0.20301E+00    0.34114E+03
    0.20356E+00    0.33926E+03
    0.20410E+00    0.33738E+03
    0.20465E+00    0.33548E+03
    0.20520E+00    0.33357E+03
    0.20574E+00    0.33166E+03
    0.20629E+00    0.32974E+03
    0.20684E+00    0.32782E+03
    0.20739E+00    0.32589E+03
    0.20793E+00    0.32396E+03
    0.20848E+00    0.32203E+03
    0.20903E+00    0.32011E+03
    0.20957E+00    0.31818E+03
    0.21012E+00    0.31626E+03
    0.21067E+00    0.31434E+03
    0.21121E+00    0.31243E+03
    0.21176E+00    0.31052E+03
    0.21231E+00    0.30863E+03
    0.21286E+00    0.30674E+03
    0.21340E+00    0.30487E+03
    0.21395E+00    0.30301E+03
    0.21450E+00    0.30116E+03
    0.21504E+00    0.29933E+03
    0.21559E+00    0.29751E+03
    0.21614E+00    0.29571E+03
    0.21669E+00    0.29393E+03
    0.21723E+00    0.29217E+03
    0.21894E+00    0.28680E+03
    0.22067E+00    0.28161E+03
    0.22240E+00    0.27663E+03
    0.22416E+00    0.27189E+03
    0.22592E+00    0.26738E+03
    0.22770E+00    0.26312E+03
    0.22949E+00    0.25911E+03
    0.23130E+00    0.25535E+03
    0.23312E+00    0.25182E+03
    0.23496E+00    0.24852E+03
