#           k/h    P           
    0.46487E+00    0.65919E+02
    0.46853E+00    0.64826E+02
    0.47222E+00    0.63743E+02
    0.47594E+00    0.62673E+02
    0.47968E+00    0.61618E+02
    0.48346E+00    0.60583E+02
    0.48727E+00    0.59569E+02
    0.49110E+00    0.58579E+02
    0.49497E+00    0.57611E+02
    0.49887E+00    0.56665E+02
    0.50280E+00    0.55741E+02
    0.50675E+00    0.54834E+02
    0.51074E+00    0.53943E+02
    0.51477E+00    0.53065E+02
    0.51882E+00    0.52198E+02
    0.52290E+00    0.51341E+02
    0.52702E+00    0.50491E+02
    0.53117E+00    0.49651E+02
    0.53535E+00    0.48819E+02
    0.53957E+00    0.47998E+02
    0.54382E+00    0.47189E+02
    0.54810E+00    0.46392E+02
    0.55242E+00    0.45609E+02
    0.55677E+00    0.44842E+02
    0.56115E+00    0.44088E+02
    0.56557E+00    0.43350E+02
    0.57002E+00    0.42626E+02
    0.57451E+00    0.41914E+02
    0.57903E+00    0.41214E+02
    0.58359E+00    0.40525E+02
    0.58819E+00    0.39846E+02
    0.59282E+00    0.39175E+02
    0.59749E+00    0.38514E+02
    0.60219E+00    0.37861E+02
    0.60693E+00    0.37218E+02
    0.61171E+00    0.36585E+02
    0.61653E+00    0.35962E+02
    0.62138E+00    0.35350E+02
    0.62628E+00    0.34748E+02
    0.63121E+00    0.34157E+02
    0.63618E+00    0.33576E+02
    0.64119E+00    0.33006E+02
    0.64624E+00    0.32445E+02
    0.65132E+00    0.31892E+02
    0.68092E+00    0.28918E+02
    0.71187E+00    0.26209E+02
    0.74422E+00    0.23742E+02
    0.77805E+00    0.21497E+02
    0.81341E+00    0.19454E+02
    0.85037E+00    0.17597E+02
    0.88902E+00    0.15910E+02
    0.92942E+00    0.14379E+02
    0.97166E+00    0.12989E+02
    0.10158E+01    0.11728E+02
    0.10620E+01    0.10586E+02
    0.11103E+01    0.95502E+01
    0.11607E+01    0.86125E+01
    0.12135E+01    0.77639E+01
    0.12686E+01    0.69962E+01
    0.13263E+01    0.63019E+01
    0.13865E+01    0.56744E+01
    0.14495E+01    0.51076E+01
    0.15154E+01    0.45957E+01
    0.15843E+01    0.41337E+01
    0.16563E+01    0.37168E+01
    0.17316E+01    0.33408E+01
    0.18103E+01    0.30019E+01
    0.18925E+01    0.26965E+01
    0.19785E+01    0.24214E+01
    0.20685E+01    0.21736E+01
    0.21625E+01    0.19507E+01
    0.22607E+01    0.17500E+01
    0.23635E+01    0.15696E+01
    0.24709E+01    0.14073E+01
    0.25832E+01    0.12615E+01
    0.27006E+01    0.11304E+01
    0.28233E+01    0.10127E+01
    0.29516E+01    0.90702E+00
    0.30858E+01    0.81214E+00
    0.32260E+01    0.72700E+00
    0.33726E+01    0.65062E+00
    0.35259E+01    0.58212E+00
    0.36862E+01    0.52070E+00
    0.38537E+01    0.46566E+00
    0.40288E+01    0.41633E+00
    0.42119E+01    0.37214E+00
    0.44033E+01    0.33257E+00
    0.46035E+01    0.29713E+00
    0.48127E+01    0.26542E+00
    0.50314E+01    0.23704E+00
    0.52601E+01    0.21165E+00
    0.54991E+01    0.18893E+00
    0.57490E+01    0.16863E+00
    0.60103E+01    0.15047E+00
    0.62834E+01    0.13424E+00
    0.65690E+01    0.11974E+00
    0.68676E+01    0.10679E+00
    0.71797E+01    0.95215E-01
    0.75060E+01    0.84881E-01
    0.78471E+01    0.75656E-01
    0.82037E+01    0.67421E-01
    0.85765E+01    0.60071E-01
    0.89663E+01    0.53514E-01
    0.93738E+01    0.47664E-01
    0.97998E+01    0.42446E-01
    0.10245E+02    0.37794E-01
    0.10711E+02    0.33645E-01
    0.11198E+02    0.29948E-01
    0.11706E+02    0.26652E-01
    0.12238E+02    0.23715E-01
    0.12795E+02    0.21099E-01
    0.13376E+02    0.18769E-01
    0.13984E+02    0.16693E-01
    0.14620E+02    0.14845E-01
    0.15284E+02    0.13199E-01
    0.15979E+02    0.11734E-01
    0.16705E+02    0.10431E-01
    0.17464E+02    0.92703E-02
    0.18258E+02    0.82380E-02
    0.19087E+02    0.73197E-02
    0.19955E+02    0.65028E-02
    0.20862E+02    0.57764E-02
    0.21810E+02    0.51304E-02
    0.22801E+02    0.45560E-02
    0.23837E+02    0.40455E-02
    0.24921E+02    0.35917E-02
    0.26053E+02    0.31883E-02
    0.27237E+02    0.28300E-02
    0.28475E+02    0.25116E-02
    0.29769E+02    0.22287E-02
    0.31122E+02    0.19774E-02
    0.32537E+02    0.17543E-02
    0.34015E+02    0.15561E-02
    0.35561E+02    0.13802E-02
    0.37177E+02    0.12240E-02
    0.38867E+02    0.10853E-02
    0.40633E+02    0.96229E-03
    0.42480E+02    0.85307E-03
    0.44410E+02    0.75616E-03
    0.46429E+02    0.67018E-03
    0.48539E+02    0.59389E-03
    0.50745E+02    0.52623E-03
    0.53051E+02    0.46622E-03
    0.55462E+02    0.41300E-03
    0.57982E+02    0.36580E-03
    0.60618E+02    0.32396E-03
    0.63372E+02    0.28686E-03
    0.66253E+02    0.25398E-03
    0.69264E+02    0.22484E-03
    0.72411E+02    0.19901E-03
    0.75702E+02    0.17612E-03
    0.79143E+02    0.15585E-03
    0.82739E+02    0.13788E-03
    0.86500E+02    0.12197E-03
    0.90431E+02    0.10787E-03
    0.94541E+02    0.95390E-04
    0.98837E+02    0.84337E-04
    0.10333E+03    0.74551E-04
