# r, xi(r)
1.063891217464823180e+00 3.869492521152414710e+00
1.196329232707684875e+00 3.274335819928160696e+00
1.345250386021133338e+00 2.813946183608206475e+00
1.512714058430460584e+00 2.371623292197460042e+00
1.701025977530416844e+00 2.030268240226741572e+00
1.912755806170199468e+00 1.718491146215066934e+00
2.150856787829240613e+00 1.465719088448145691e+00
2.418591942699331199e+00 1.253663172212994503e+00
2.719650013322749693e+00 1.066092365156311672e+00
3.058167721963618302e+00 9.093235233501413273e-01
3.438838115590664213e+00 7.704277086357158577e-01
3.866877116628002042e+00 6.562692003585792744e-01
4.348184249156888725e+00 5.535028167015283440e-01
4.889391395435398913e+00 4.677347613487594646e-01
5.497951235329286312e+00 3.923661751416911425e-01
6.182266541465381238e+00 3.296715863699735127e-01
6.951710528806502865e+00 2.755760157357138862e-01
7.816940237388490864e+00 2.294726938892515111e-01
8.789810015528940923e+00 1.891747166972068683e-01
9.883791273571326030e+00 1.560111916144835131e-01
1.111387413775416455e+01 1.270786987505219123e-01
1.249703037262609229e+01 1.026943558768094178e-01
1.405230320277883749e+01 8.216001214480628256e-02
1.580111787954234259e+01 6.427458448018485981e-02
1.776764558106263081e+01 5.095505353046214658e-02
1.997870805320031806e+01 3.993086363848918907e-02
2.246500498918280542e+01 3.077370442835802855e-02
2.526061279045011787e+01 2.374848474786150909e-02
2.840409338910474801e+01 1.773601746218522734e-02
