#        k    p_h_pos  p_h1_mass   p_hp_h1m   p_hp_h1m
   0.03682     1.21585e+04     1.01796e+06     5.95361e+04     6.12570e+04
   0.06136     6.16345e+04     4.28161e+05     6.69933e+03    -9.32510e+02
   0.08590     1.29144e+04     7.78815e+04     4.01424e+03     6.96443e+03
   0.11045     1.85397e+04     7.20019e+04     5.13925e+03     1.70602e+03
   0.13499     1.36828e+04     5.26337e+04     1.32407e+03     1.49479e+03
   0.15953     8.33892e+03     3.26345e+04     3.04497e+03     4.47778e+03
   0.18408     5.90907e+03     2.71056e+04     2.06190e+03     2.70660e+03
   0.20862     3.71724e+03     2.07822e+04     1.59629e+03     1.69932e+03
   0.23317     2.77008e+03     1.67264e+04     1.27051e+03     1.05357e+03
   0.25771     1.89919e+03     1.45989e+04     1.00544e+03     1.91134e+03
   0.28225     1.65277e+03     1.37815e+04     1.06895e+03     1.11985e+03
   0.30680     1.13480e+03     1.29497e+04     8.58668e+02     1.33762e+03
   0.33134     8.60660e+02     1.19994e+04     7.00499e+02     1.09981e+03
   0.35588     7.13297e+02     9.28205e+03     5.25113e+02     3.68908e+02
   0.38043     6.13566e+02     8.12854e+03     4.84884e+02     5.37227e+02
   0.40497     5.24080e+02     7.45880e+03     4.87223e+02     8.60548e+02
   0.42951     4.91214e+02     7.24929e+03     4.65270e+02     7.53792e+02
   0.45406     4.51652e+02     7.04830e+03     4.36490e+02     7.04196e+02
   0.47860     4.47185e+02     6.90161e+03     3.99075e+02     4.70430e+02
   0.50315     4.10272e+02     6.77362e+03     3.91910e+02     6.45352e+02
   0.52769     4.28683e+02     6.61601e+03     3.99152e+02     6.76455e+02
   0.55223     3.68644e+02     6.11060e+03     3.92426e+02     5.70464e+02
   0.57678     3.65794e+02     5.95532e+03     3.80772e+02     6.41151e+02
   0.60132     3.05229e+02     5.78355e+03     3.11422e+02     4.61494e+02
   0.62586     3.29177e+02     5.55286e+03     3.14437e+02     5.03264e+02
   0.65041     3.02415e+02     5.50536e+03     3.05353e+02     5.49325e+02
   0.67495     2.93992e+02     5.16253e+03     3.07672e+02     5.23758e+02
   0.69950     2.69199e+02     5.11841e+03     2.76942e+02     4.10319e+02
   0.72404     2.50773e+02     5.03029e+03     2.77983e+02     3.47820e+02
   0.74858     2.40304e+02     4.76225e+03     2.80386e+02     4.06707e+02
   0.77313     2.27418e+02     4.59350e+03     2.58300e+02     3.60323e+02
   0.79767     2.19286e+02     4.38319e+03     2.47241e+02     2.36373e+02
   0.82221     2.15333e+02     4.37930e+03     2.44781e+02     3.67142e+02
   0.84676     2.10944e+02     4.20709e+03     2.30222e+02     2.70319e+02
   0.87130     2.07095e+02     4.13995e+03     2.20599e+02     3.06903e+02
   0.89584     2.07911e+02     4.22327e+03     2.36869e+02     3.79596e+02
   0.92039     2.07737e+02     4.08390e+03     2.29314e+02     2.35051e+02
   0.94493     1.97639e+02     4.02957e+03     2.25344e+02     2.05420e+02
   0.96948     1.92094e+02     4.02550e+03     2.18570e+02     3.00171e+02
   0.99402     1.89046e+02     3.93783e+03     2.26319e+02     3.42543e+02
   1.01856     1.85478e+02     3.89335e+03     1.95782e+02     1.76725e+02
   1.04311     1.82360e+02     3.83522e+03     2.17973e+02     2.76716e+02
   1.06765     1.78469e+02     3.76839e+03     2.01405e+02     3.02514e+02
   1.09219     1.76195e+02     3.70255e+03     1.93236e+02     2.29889e+02
   1.11674     1.74414e+02     3.69401e+03     1.99981e+02     1.90420e+02
   1.14128     1.71181e+02     3.62376e+03     2.02892e+02     2.27442e+02
   1.16583     1.68693e+02     3.62190e+03     2.05020e+02     1.92109e+02
   1.19037     1.62495e+02     3.47023e+03     1.89323e+02     2.14052e+02
   1.21491     1.62049e+02     3.44656e+03     1.96470e+02     2.11893e+02
   1.23946     1.60548e+02     3.29625e+03     1.79248e+02     1.99759e+02
   1.26400     1.61639e+02     3.24953e+03     1.85385e+02     1.88126e+02
   1.28854     1.59281e+02     3.19172e+03     1.83653e+02     2.17228e+02
   1.31309     1.57753e+02     3.15810e+03     1.85317e+02     2.37834e+02
   1.33763     1.56425e+02     3.07372e+03     1.76800e+02     1.78709e+02
   1.36217     1.55562e+02     3.00136e+03     1.68467e+02     1.28022e+02
   1.38672     1.52018e+02     2.93816e+03     1.67107e+02     1.97773e+02
   1.41126     1.52694e+02     2.88804e+03     1.72587e+02     1.33388e+02
   1.43581     1.49211e+02     2.79239e+03     1.67704e+02     1.44272e+02
   1.46035     1.49763e+02     2.74459e+03     1.63154e+02     1.86527e+02
   1.48489     1.47955e+02     2.75120e+03     1.65738e+02     1.40462e+02
   1.50944     1.46258e+02     2.71787e+03     1.56322e+02     1.29632e+02
