# r, xi(r)
1.063982536721715721e+00 1.660669539015666718e+00
1.196438012641330539e+00 1.431156981195974787e+00
1.345385084541667498e+00 1.237155668438072897e+00
1.512862008770800903e+00 1.065747971999957411e+00
1.701183011846014947e+00 9.193870370830403704e-01
1.912943731499624489e+00 7.881420883916134823e-01
2.151062794749803775e+00 6.789846127201148995e-01
2.418805238417114811e+00 5.824579731001464644e-01
2.719888306095364694e+00 5.001014896289899259e-01
3.058435112394917610e+00 4.289456925918833097e-01
3.439104517463938748e+00 3.672289570001041614e-01
3.867154235005338059e+00 3.133489069235282365e-01
4.348470501045800241e+00 2.658902487130636594e-01
4.889707039736414629e+00 2.258067270929320358e-01
5.498275076101509562e+00 1.910274815629775524e-01
6.182583588570655486e+00 1.613111963009556948e-01
6.952044652524236312e+00 1.353647922979657192e-01
7.817261702083713182e+00 1.129856149732026971e-01
8.790164922413842064e+00 9.360649851277003108e-02
9.884100280235557534e+00 7.725750090025740313e-02
1.111418949957945834e+01 6.296685839738680457e-02
1.249732585851381650e+01 5.117926207667733429e-02
1.405258982942118173e+01 4.104653006174818763e-02
1.580142041089181326e+01 3.239730266290430372e-02
1.776787126232696679e+01 2.578084682708281505e-02
1.997893701126567478e+01 2.025345203830863916e-02
2.246521973106564829e+01 1.568514470346471512e-02
2.526080529321379231e+01 1.212313738196857393e-02
2.840426467930481635e+01 8.983569662874613115e-03
