# r, xi(r)
1.063898723754319375e+00 3.807630492861202143e+00
1.196343942895650381e+00 3.283384602110841932e+00
1.345279278464097450e+00 2.773340195720253920e+00
1.512738672231770165e+00 2.369443076388050518e+00
1.701052534453567855e+00 2.000788163881016324e+00
1.912787541424890492e+00 1.715567395118176908e+00
2.150887993039602986e+00 1.463650907531151013e+00
2.418624760935946583e+00 1.241771126240782230e+00
2.719687816013764969e+00 1.066608779658968054e+00
3.058211734384333802e+00 9.004310388377638752e-01
3.438884618236496937e+00 7.694664458976059329e-01
3.866917039400850964e+00 6.517115356953906424e-01
4.348228974152108961e+00 5.519050905493882997e-01
4.889435680969733689e+00 4.649541928569509430e-01
5.497991257044989588e+00 3.912990770436479693e-01
6.182313213986987854e+00 3.283075699061062114e-01
6.951759857433072121e+00 2.751320051067529526e-01
7.816988340607308849e+00 2.287650801190557193e-01
8.789865548924311156e+00 1.886932976190263123e-01
9.883845469523967253e+00 1.556788082086055791e-01
1.111392148665623125e+01 1.265063562631048022e-01
1.249707422795873057e+01 1.025642823371291090e-01
1.405234690837998990e+01 8.206771512691868331e-02
1.580117076276101074e+01 6.409282465729959632e-02
1.776769402632636030e+01 5.100812039450786095e-02
1.997873946479711194e+01 4.000061798072240826e-02
2.246503236198314468e+01 3.083336133877412344e-02
2.526064840219465069e+01 2.381701673035552247e-02
2.840411986957127155e+01 1.775114796716525944e-02
