#        k    p_h_pos  p_h1_mass   p_hp_h1m   p_hp_h1m
   0.03682     1.01007e+04     1.45587e+06     9.19767e+04     5.58942e+04
   0.06136     4.07903e+04     6.79269e+05     4.60598e+04     6.69831e+03
   0.08590     1.71670e+04     1.34057e+05    -1.51824e+04    -1.76526e+03
   0.11045     7.82009e+03     1.18076e+05    -1.91153e+03     3.28263e+03
   0.13499     1.11041e+04     8.14587e+04    -8.73873e+02     3.08488e+03
   0.15953     5.44144e+03     4.51450e+04     1.51530e+03     1.90917e+03
   0.18408     5.51389e+03     3.70771e+04     1.46763e+03     1.79011e+02
   0.20862     3.13363e+03     2.90999e+04     1.40855e+03     1.05512e+03
   0.23317     2.26563e+03     2.23027e+04     5.95177e+02     3.17823e+02
   0.25771     1.92908e+03     1.86926e+04     8.53744e+02     7.32909e+02
   0.28225     1.10772e+03     1.76238e+04     4.22996e+02     4.03652e+02
   0.30680     8.38695e+02     1.65940e+04     5.41552e+02     4.77834e+02
   0.33134     6.75228e+02     1.45246e+04     4.93286e+02     6.79227e+02
   0.35588     4.89035e+02     1.11935e+04     4.19030e+02     4.67311e+02
   0.38043     3.85250e+02     9.51041e+03     3.42340e+02     1.51729e+02
   0.40497     3.37889e+02     8.26561e+03     3.19977e+02     2.39272e+02
   0.42951     2.96259e+02     7.64633e+03     2.99187e+02     1.69122e+02
   0.45406     2.86117e+02     7.52705e+03     2.59965e+02     3.97880e+02
   0.47860     2.77991e+02     7.55044e+03     2.32744e+02     1.59838e+02
   0.50315     2.68664e+02     7.13365e+03     2.34889e+02     2.51618e+02
   0.52769     2.52628e+02     6.81384e+03     2.26438e+02     1.99231e+02
   0.55223     2.64578e+02     6.42886e+03     2.73426e+02     2.51975e+02
   0.57678     2.44506e+02     6.14531e+03     2.20503e+02     1.82587e+02
   0.60132     2.14646e+02     5.80855e+03     2.12718e+02     2.13775e+02
   0.62586     2.09250e+02     5.53115e+03     1.77641e+02     1.45049e+02
   0.65041     1.92025e+02     5.48459e+03     2.08433e+02     2.10379e+02
   0.67495     1.77389e+02     5.17454e+03     1.75895e+02     1.75574e+02
   0.69950     1.68091e+02     4.99193e+03     1.72086e+02     1.20297e+02
   0.72404     1.59398e+02     4.71933e+03     1.53307e+02     1.12641e+02
   0.74858     1.51581e+02     4.55500e+03     1.56751e+02     1.00173e+02
   0.77313     1.43473e+02     4.43934e+03     1.49888e+02     1.16394e+02
   0.79767     1.39210e+02     4.24008e+03     1.52646e+02     1.18800e+02
   0.82221     1.33915e+02     4.05132e+03     1.38165e+02     9.55440e+01
   0.84676     1.31311e+02     3.93826e+03     1.33640e+02     4.40965e+00
   0.87130     1.28457e+02     4.00985e+03     1.33832e+02     9.10991e+01
   0.89584     1.27022e+02     4.04511e+03     1.31049e+02     7.05363e+01
   0.92039     1.26054e+02     4.04051e+03     1.32026e+02     4.15273e+01
   0.94493     1.25029e+02     4.05447e+03     1.26691e+02     7.81758e+01
   0.96948     1.23345e+02     4.13513e+03     1.32431e+02     7.34554e+01
   0.99402     1.18322e+02     3.89692e+03     1.27252e+02     6.60518e+01
   1.01856     1.17196e+02     3.77759e+03     1.21676e+02     5.99658e+01
