# r, xi(r)
1.065150344061189136e+00 4.078740090486976388e-01
1.200322969977186016e+00 3.598099584807268325e-01
1.351981178389769944e+00 3.148113977596795898e-01
1.523058680897633410e+00 2.728604914353158772e-01
1.715641744905189947e+00 2.418570750842530259e-01
1.932706174134041444e+00 2.068905360496373635e-01
2.176959511706149986e+00 1.836106421722496496e-01
2.452891663870829575e+00 1.601981025968022276e-01
2.763238530329777731e+00 1.388354795211823589e-01
3.112503355997900290e+00 1.158258785610095654e-01
3.506159158584568392e+00 1.041624712228510496e-01
3.949598358809375487e+00 8.735860420380081592e-02
4.449479784456046083e+00 7.612666424301539614e-02
5.012254198551950424e+00 6.457850225202776961e-02
5.646303185968773342e+00 5.418259935101232827e-02
6.360403076146680768e+00 4.664800678939151624e-02
7.164919472663986433e+00 3.782787284939792549e-02
8.071095198980623664e+00 3.211328283627445934e-02
9.092152778752538467e+00 2.614009215090296046e-02
1.024218064623102897e+01 2.190840847923691825e-02
1.153768090403379176e+01 1.781574901405513778e-02
1.299708476573433913e+01 1.428068993340092518e-02
1.464110951829439777e+01 1.120806214342695561e-02
1.649301159786001847e+01 8.985216545483343253e-03
1.857909977964408554e+01 7.057625997028971199e-03
2.092909791554482624e+01 5.394576994789623825e-03
2.357634501183578379e+01 3.963905642752285630e-03
2.655840589941058383e+01 2.834448547231138704e-03
2.991758947471728902e+01 2.179958431395734308e-03
