#        k    p_h_pos  p_h1_mass   p_hp_h1m   p_hp_h1m
   0.03682     1.29937e+04     1.75126e+06     1.19585e+05     6.07214e+04
   0.06136     3.31625e+04     8.58898e+05     4.51251e+04    -7.03936e+02
   0.08590     1.21202e+04     1.82283e+05    -1.44725e+04     8.26868e+02
   0.11045     1.06390e+04     1.54545e+05    -3.72956e+03     1.96249e+03
   0.13499     1.10093e+04     1.05150e+05    -1.34291e+03     3.57193e+03
   0.15953     4.74009e+03     5.69672e+04     1.62101e+03     1.94133e+03
   0.18408     5.04391e+03     4.52572e+04     3.51127e+02     1.09601e+03
   0.20862     4.01152e+03     3.54787e+04     2.14754e+03     8.08899e+02
   0.23317     2.38579e+03     2.76827e+04     4.69304e+02     8.16580e+02
   0.25771     1.69960e+03     2.38435e+04     1.08134e+03     7.71139e+02
   0.28225     1.08696e+03     2.24810e+04     4.22599e+02     4.88801e+02
   0.30680     7.87675e+02     2.00270e+04     4.72783e+02     3.35433e+02
   0.33134     6.50089e+02     1.76087e+04     5.49267e+02     3.14188e+02
   0.35588     4.88054e+02     1.31722e+04     3.88849e+02     3.83249e+02
   0.38043     3.89341e+02     1.17366e+04     3.64467e+02     3.44644e+02
   0.40497     3.41477e+02     9.90330e+03     3.00679e+02     2.56037e+02
   0.42951     2.95091e+02     9.30562e+03     3.27537e+02     2.99030e+02
   0.45406     2.87180e+02     9.17656e+03     2.18646e+02     1.61185e+02
   0.47860     2.79827e+02     9.18141e+03     2.65300e+02     2.00598e+02
   0.50315     2.67048e+02     8.77945e+03     2.38738e+02     2.29180e+02
   0.52769     2.50754e+02     8.28669e+03     2.47061e+02     2.03588e+02
   0.55223     2.62877e+02     7.70327e+03     2.82186e+02     2.06300e+02
   0.57678     2.25124e+02     7.24448e+03     2.33535e+02     1.93217e+02
   0.60132     2.13401e+02     6.98388e+03     1.81696e+02     1.48380e+02
   0.62586     2.06353e+02     6.59894e+03     1.78755e+02     1.61546e+02
   0.65041     1.82570e+02     6.46478e+03     2.06012e+02     1.81341e+02
   0.67495     1.70727e+02     6.15874e+03     1.85116e+02     1.67840e+02
   0.69950     1.67382e+02     5.93988e+03     1.69058e+02     1.09869e+02
   0.72404     1.51017e+02     5.56908e+03     1.53680e+02     1.27616e+02
   0.74858     1.44305e+02     5.35029e+03     1.60635e+02     8.25130e+01
   0.77313     1.41766e+02     5.29369e+03     1.60124e+02     1.40225e+02
   0.79767     1.40438e+02     5.06651e+03     1.49990e+02     5.40640e+01
   0.82221     1.35588e+02     4.77081e+03     1.42795e+02     6.35168e+01
   0.84676     1.31252e+02     4.61394e+03     1.31742e+02     7.49558e+01
