     z         OmHI     b1           SN   fsat
  6.00   9.0865e-06   3.78   9.2723e+00   0.37
  5.50   1.1830e-05   3.47   9.0406e+00   0.39
  5.00   1.5193e-05   3.17   9.0645e+00   0.36
  4.50   1.9814e-05   2.88   9.3182e+00   0.40
  4.00   2.6434e-05   2.63   1.0104e+01   0.44
  3.50   3.5459e-05   2.39   1.1794e+01   0.44
  3.00   4.7891e-05   2.19   1.5702e+01   0.44
  2.50   6.1415e-05   2.04   2.5832e+01   0.46
  2.00   7.4530e-05   1.95   5.3556e+01   0.37
