#        k    p_h_pos  p_h1_mass   p_hp_h1m   p_hp_h1m
   0.03682     9.16396e+03     1.30704e+06     6.29887e+04     5.00896e+04
   0.06136     4.19910e+04     5.92803e+05     4.66373e+04     3.13506e+04
   0.08590     1.33067e+04     1.13202e+05    -7.09664e+03    -6.97155e+03
   0.11045     1.35905e+04     9.88309e+04    -4.98937e+03    -1.16902e+03
   0.13499     1.08827e+04     6.94890e+04    -1.30618e+03     2.23676e+03
   0.15953     6.22200e+03     3.91694e+04     2.81917e+03     1.14611e+03
   0.18408     3.32440e+03     3.13387e+04     8.57262e+02     8.37979e+02
   0.20862     3.59603e+03     2.52028e+04     1.81218e+03     2.45341e+03
   0.23317     2.19137e+03     1.94861e+04     2.51560e+02     2.12820e+00
   0.25771     1.79066e+03     1.68279e+04     9.74983e+02     1.27334e+03
   0.28225     1.20994e+03     1.57058e+04     4.14548e+02     2.18180e+02
   0.30680     1.01047e+03     1.47865e+04     6.52617e+02     5.95775e+02
   0.33134     6.65067e+02     1.34105e+04     3.95161e+02     4.06628e+02
   0.35588     4.82084e+02     1.03594e+04     5.07157e+02     5.71786e+02
   0.38043     4.25484e+02     8.68597e+03     3.34569e+02     2.30550e+02
   0.40497     3.78756e+02     7.60538e+03     3.32890e+02     3.49891e+02
   0.42951     3.41746e+02     7.17073e+03     3.04136e+02     4.30370e+02
   0.45406     3.07933e+02     6.93825e+03     2.58808e+02     2.90042e+02
   0.47860     2.95370e+02     6.78476e+03     2.49321e+02     2.86322e+02
   0.50315     2.96478e+02     6.54868e+03     2.24256e+02     2.69302e+02
   0.52769     2.62543e+02     6.45503e+03     2.73160e+02     3.10003e+02
   0.55223     2.59208e+02     6.05687e+03     2.63331e+02     3.37884e+02
   0.57678     2.30035e+02     5.79689e+03     2.30444e+02     2.30557e+02
   0.60132     2.21142e+02     5.52151e+03     2.03631e+02     2.87793e+02
   0.62586     2.03593e+02     5.24392e+03     1.90875e+02     1.97910e+02
   0.65041     1.95415e+02     5.23238e+03     2.15408e+02     2.56200e+02
   0.67495     1.77127e+02     4.87330e+03     1.78599e+02     1.97924e+02
