# r, xi(r)
1.064190922402860950e+00 8.380808631038516587e-01
1.196643925172358403e+00 7.299275179433848404e-01
1.345595786592233001e+00 6.386489440290852304e-01
1.513089199681524777e+00 5.569850635644715275e-01
1.701433039818833981e+00 4.856894862138905200e-01
1.913172985885001287e+00 4.231266955667420948e-01
2.151308482050803939e+00 3.674145900595160441e-01
2.419070319408399339e+00 3.194860747422976210e-01
2.720133981375181698e+00 2.761773164556118321e-01
3.058708751356356892e+00 2.391094570314760137e-01
3.439385704166614932e+00 2.057455465323170252e-01
3.867437734087281420e+00 1.768299393573387057e-01
4.348754982734313046e+00 1.509369603427888062e-01
4.889979504345225436e+00 1.287041304144174170e-01
5.498559634525025608e+00 1.090698079741834192e-01
6.182874587012189060e+00 9.204799856505796463e-02
6.952330519031554523e+00 7.747836664726759359e-02
7.817533277504717049e+00 6.476180748139626075e-02
8.790429367346478173e+00 5.371644936530328707e-02
9.884385893173366355e+00 4.446993179058544854e-02
1.111445951357168305e+01 3.651047444573718437e-02
1.249758666729374745e+01 2.960605063104870815e-02
1.405284064181265968e+01 2.375777439226522958e-02
1.580163907634670295e+01 1.883388732232793572e-02
1.776804166063611845e+01 1.481150260140418062e-02
1.997914064483523688e+01 1.152270731601245934e-02
2.246538645403896339e+01 8.947274289475393161e-03
2.526097617439868515e+01 6.871725107736814664e-03
2.840442600566781550e+01 5.118941279208311101e-03
