# r, xi(r)
1.064042602501305446e+00 1.392787074347773935e+00
1.196506852676438637e+00 1.201011330374520458e+00
1.345446757796517678e+00 1.040823857003940756e+00
1.512940007073234616e+00 8.977986217298041804e-01
1.701253837121923018e+00 7.761032745338192207e-01
1.913016857867688492e+00 6.694229283082335780e-01
2.151141465833182220e+00 5.775488622893447666e-01
2.418893817801080370e+00 4.991778592135198700e-01
2.719974229001090205e+00 4.285384236317810736e-01
3.058516771429316883e+00 3.684548528393871702e-01
3.439194376807393372e+00 3.157318001470443836e-01
3.867243593794754464e+00 2.703770861155403438e-01
4.348568809463245088e+00 2.302878037962152735e-01
4.889796796317419592e+00 1.948867676685324124e-01
5.498367869555404575e+00 1.654521915851030478e-01
6.182681526165432651e+00 1.394698370242748453e-01
6.952137128503181884e+00 1.172194771431618321e-01
7.817348811599226899e+00 9.790894146028317202e-02
8.790241413023949235e+00 8.100233449903693206e-02
9.884186762542032767e+00 6.708646924077910079e-02
1.111426916219395267e+01 5.463524159438759575e-02
1.249741431036103911e+01 4.446287889807920557e-02
1.405267238046044831e+01 3.562864270188303983e-02
1.580148234468049395e+01 2.813396351563657305e-02
1.776793902824604032e+01 2.232920642647062692e-02
1.997900598589322385e+01 1.750283967329302470e-02
2.246526887952202500e+01 1.355245483156664044e-02
2.526086674558584022e+01 1.048549607877147238e-02
2.840431745307064304e+01 7.762075001509938232e-03
