#        k    p_h_pos  p_h1_mass   p_hp_h1m   p_hp_h1m
   0.03682     9.98289e+03     2.28787e+06     9.31900e+04     4.72565e+04
   0.06136     3.58014e+04     1.22327e+06     6.26263e+04    -3.96879e+03
   0.08590     1.13003e+04     2.78142e+05    -1.89473e+04     9.91616e+02
   0.11045     9.64664e+03     2.29715e+05    -5.23368e+03     4.45988e+03
   0.13499     1.06210e+04     1.57765e+05    -2.48836e+03     7.96438e+02
   0.15953     3.22841e+03     8.52026e+04     2.26527e+03     2.05674e+03
   0.18408     4.85827e+03     6.81269e+04    -8.67301e+01     1.29317e+03
   0.20862     4.49751e+03     5.44673e+04     2.31316e+03     2.06180e+03
   0.23317     2.47403e+03     4.25104e+04     4.53059e+02     1.01713e+03
   0.25771     1.35834e+03     3.60058e+04     1.15445e+03     8.47424e+02
   0.28225     1.10362e+03     3.44419e+04     2.77278e+02     5.18938e+02
   0.30680     7.98610e+02     3.10177e+04     6.12886e+02     6.41221e+02
   0.33134     7.57593e+02     2.63412e+04     5.31893e+02     6.53262e+02
   0.35588     5.22447e+02     2.00699e+04     3.67689e+02     4.65367e+02
   0.38043     4.20351e+02     1.79662e+04     3.87313e+02     3.61538e+02
   0.40497     3.73227e+02     1.47295e+04     3.16878e+02     2.79323e+02
   0.42951     3.20508e+02     1.36048e+04     3.57387e+02     3.03799e+02
   0.45406     3.01223e+02     1.30253e+04     2.18524e+02     1.39248e+02
   0.47860     2.86788e+02     1.31214e+04     2.32193e+02     2.27132e+02
   0.50315     2.80745e+02     1.26045e+04     1.79936e+02     2.03205e+02
   0.52769     2.62372e+02     1.18380e+04     2.47433e+02     2.19788e+02
   0.55223     2.41955e+02     1.12094e+04     2.58586e+02     2.73768e+02
   0.57678     2.35004e+02     1.07513e+04     2.49260e+02     2.88195e+02
   0.60132     2.20775e+02     1.01522e+04     1.84248e+02     2.12546e+02
   0.62586     2.07924e+02     9.75552e+03     1.97895e+02     1.61756e+02
   0.65041     1.78961e+02     9.30259e+03     1.99370e+02     1.59979e+02
   0.67495     1.75781e+02     8.97148e+03     1.80405e+02     9.62666e+01
   0.69950     1.65230e+02     8.81631e+03     1.52438e+02     8.52803e+01
