# r, xi(r)
1.064176680901772976e+00 9.021632739907463616e-01
1.196650983823708270e+00 7.835264661925642748e-01
1.345588047996968628e+00 6.863825855332461590e-01
1.513084052038785599e+00 5.972202270703406146e-01
1.701408571194189978e+00 5.198810059320175814e-01
1.913157489319577076e+00 4.516889108349575466e-01
2.151291432731702535e+00 3.927003705813050249e-01
2.419057210825080961e+00 3.405327020383288605e-01
2.720118342108143850e+00 2.941828029617341578e-01
3.058676548059906075e+00 2.546408533000825702e-01
3.439364096410518101e+00 2.189690039355136619e-01
3.867418992335902583e+00 1.880776080785850901e-01
4.348735277243861219e+00 1.606850186861319418e-01
4.889958955179299238e+00 1.368536574218615076e-01
5.498535163410122273e+00 1.158526217818065529e-01
6.182848475492608742e+00 9.788225981653564389e-02
6.952316451233437888e+00 8.227845355571328234e-02
7.817514055549736440e+00 6.881276483337361860e-02
8.790406803079566345e+00 5.705752767218230659e-02
9.884363104013711876e+00 4.722203724542484160e-02
1.111444049430060943e+01 3.875096427827950940e-02
1.249757057676264616e+01 3.142639907540289990e-02
1.405282449973103631e+01 2.518473554149247562e-02
1.580162661226698795e+01 1.998508331831594376e-02
1.776802817585071992e+01 1.571428100460314781e-02
1.997911990996605169e+01 1.225859985375965522e-02
2.246537376424844012e+01 9.516409286780769250e-03
2.526096430601062437e+01 7.316859678394793676e-03
2.840441211610060890e+01 5.439797684960057111e-03
