# r, xi(r)
1.064622508097330167e+00 1.431069754723648835e+00
1.199559103893452328e+00 1.192182719858686291e+00
1.351339995026346497e+00 1.025643745252846184e+00
1.522497283325615625e+00 8.598582738770059741e-01
1.715117173486462310e+00 7.323859701435937453e-01
1.931718598171151990e+00 6.273127383799437240e-01
2.176347520708527661e+00 5.351748276285097639e-01
2.451778326117696860e+00 4.518067245512460417e-01
2.762349830485380409e+00 3.860053861142631604e-01
3.111585840347366627e+00 3.315953342201363174e-01
3.505403167751484528e+00 2.833309917864912375e-01
3.948920598472571708e+00 2.437007362095411356e-01
4.448715424061846058e+00 2.053593846248280563e-01
5.011628770419481960e+00 1.734827304954063010e-01
5.645401891467060729e+00 1.471444747544305987e-01
6.359708896692795932e+00 1.245086052552923928e-01
7.164239318455972061e+00 1.046308469539318775e-01
8.070514668698191230e+00 8.623702254263121425e-02
9.091552642062124434e+00 7.116321499423761132e-02
1.024152865312878546e+01 5.854575933473715743e-02
1.153709619858739721e+01 4.788015846978410650e-02
1.299643468978322147e+01 3.849357533028086031e-02
1.464056929532063833e+01 3.070895584482435936e-02
1.649242507459250007e+01 2.423993122742040818e-02
1.857874108600175589e+01 1.948178911432840721e-02
2.092869469295803597e+01 1.473316317545525500e-02
2.357587249954081798e+01 1.180543426027580445e-02
2.655801557830872994e+01 8.835269030810666280e-03
2.991712193905489769e+01 6.588560988701308574e-03
