# r, xi(r)
1.065405431345002096e+00 2.800236260604334060e-01
1.200475010450044566e+00 2.379539108711570261e-01
1.352520566524333612e+00 2.228362657989926277e-01
1.523303318047807053e+00 1.889543514123450674e-01
1.715946601254383364e+00 1.635613083339519935e-01
1.932649070060330487e+00 1.513133874603416196e-01
2.177512493017453643e+00 1.263043356042332643e-01
2.452849724235085294e+00 1.117770895094007955e-01
2.763117797648733998e+00 9.413105874815408391e-02
3.112784295970232762e+00 8.145101766163720391e-02
3.506339375131559244e+00 7.272889107565627675e-02
3.949715467765678500e+00 6.359571357826854232e-02
4.449517461640452254e+00 5.311310265358981653e-02
5.012520900024718173e+00 4.565306841614447109e-02
5.646456154165162111e+00 3.737286080544444111e-02
6.360761781627894962e+00 3.284423872645070297e-02
7.164995077688373293e+00 2.729546814368033480e-02
8.071490027134329281e+00 2.269658759631010270e-02
9.092316514727903254e+00 1.887518039651348012e-02
1.024239815839956513e+01 1.557523024884233109e-02
1.153777365374890174e+01 1.258792070972569732e-02
1.299732020588440307e+01 9.748880485135780205e-03
1.464122629401645170e+01 7.813977932705995499e-03
1.649308949038989525e+01 6.043240035884300809e-03
1.857932658412930493e+01 4.664675363305503808e-03
2.092917083512561049e+01 3.507181842600015642e-03
2.357634820185654689e+01 2.729891060704980887e-03
2.655849651467785222e+01 2.039418574919737992e-03
2.991764483035074562e+01 1.516023808857402955e-03
