# ix, iy, iz, dm, h1fid, h1new, lum, uv
0 0 0 1.08633e+07 2.26345e+11 2.23303e+11 8.79740e+11 6.98702e+11
0 0 1 1.13221e+07 2.58261e+11 2.56375e+11 4.53825e+11 4.95019e+11
0 0 2 1.04461e+07 1.94091e+11 1.93889e+11 3.74552e+11 3.78327e+11
0 0 3 1.00575e+07 1.71457e+11 1.71509e+11 2.63882e+11 3.34435e+11
0 1 0 1.03852e+07 1.94245e+11 1.94374e+11 2.99010e+11 3.33795e+11
0 1 1 1.00322e+07 1.62882e+11 1.62913e+11 2.33731e+11 3.45922e+11
0 1 2 1.05414e+07 2.05468e+11 2.05257e+11 3.66317e+11 3.45967e+11
0 1 3 1.01859e+07 1.80513e+11 1.80860e+11 2.43477e+11 3.13299e+11
0 2 0 1.10704e+07 2.44280e+11 2.43290e+11 3.16180e+11 4.11146e+11
0 2 1 1.10518e+07 2.41707e+11 2.40097e+11 8.47898e+11 5.40100e+11
0 2 2 1.05172e+07 2.00721e+11 2.00945e+11 2.93929e+11 3.26242e+11
0 2 3 1.01431e+07 1.75222e+11 1.74107e+11 6.44294e+11 4.72483e+11
0 3 0 1.08128e+07 2.26481e+11 2.24137e+11 6.65967e+11 6.01633e+11
0 3 1 1.13797e+07 2.64875e+11 2.62183e+11 8.66142e+11 5.76180e+11
0 3 2 1.08284e+07 2.24836e+11 2.24657e+11 3.01993e+11 3.42917e+11
0 3 3 1.03557e+07 1.88287e+11 1.88293e+11 3.40200e+11 3.59452e+11
1 0 0 1.08965e+07 2.27181e+11 2.25695e+11 6.13365e+11 4.91667e+11
1 0 1 1.11127e+07 2.48261e+11 2.47172e+11 3.64888e+11 4.09998e+11
1 0 2 9.91539e+06 1.64733e+11 1.64839e+11 2.33180e+11 3.35940e+11
1 0 3 1.01960e+07 1.75971e+11 1.75648e+11 2.85210e+11 3.62588e+11
1 1 0 1.05457e+07 1.98553e+11 1.98014e+11 4.18681e+11 3.99720e+11
1 1 1 1.01598e+07 1.76941e+11 1.76227e+11 4.71078e+11 4.23215e+11
1 1 2 1.02344e+07 1.81663e+11 1.81709e+11 3.01548e+11 3.37736e+11
1 1 3 1.07506e+07 2.19716e+11 2.19243e+11 3.21294e+11 3.64618e+11
1 2 0 1.08064e+07 2.28124e+11 2.25957e+11 8.28486e+11 5.69204e+11
1 2 1 1.03705e+07 1.91792e+11 1.91285e+11 3.03456e+11 4.24028e+11
1 2 2 1.09154e+07 2.28407e+11 2.27954e+11 4.37200e+11 3.74125e+11
1 2 3 1.01336e+07 1.75661e+11 1.75551e+11 2.03484e+11 3.45060e+11
1 3 0 1.06983e+07 2.14055e+11 2.12406e+11 4.80538e+11 5.01855e+11
1 3 1 1.08672e+07 2.21007e+11 2.20087e+11 3.57765e+11 4.13231e+11
1 3 2 1.01236e+07 1.79011e+11 1.78919e+11 3.49083e+11 3.54841e+11
1 3 3 1.05931e+07 2.06215e+11 2.05768e+11 3.29532e+11 3.85460e+11
2 0 0 1.09942e+07 2.32734e+11 2.32207e+11 3.67929e+11 3.79172e+11
2 0 1 1.07180e+07 2.08928e+11 2.09049e+11 4.14001e+11 3.54936e+11
2 0 2 1.07086e+07 2.22325e+11 2.21218e+11 4.58544e+11 4.07683e+11
2 0 3 1.07972e+07 2.25487e+11 2.24577e+11 3.66728e+11 3.93248e+11
2 1 0 1.02065e+07 1.72989e+11 1.73289e+11 3.05076e+11 3.30659e+11
2 1 1 9.87641e+06 1.56307e+11 1.57318e+11 1.95278e+11 2.50650e+11
2 1 2 1.00772e+07 1.73742e+11 1.74226e+11 2.29971e+11 2.85446e+11
2 1 3 1.10242e+07 2.36770e+11 2.35716e+11 5.24034e+11 4.14852e+11
2 2 0 1.02677e+07 1.85014e+11 1.85021e+11 2.64573e+11 3.34816e+11
2 2 1 1.04268e+07 1.96230e+11 1.96804e+11 2.85201e+11 2.87408e+11
2 2 2 9.73969e+06 1.50570e+11 1.51286e+11 1.84050e+11 2.58278e+11
2 2 3 1.02857e+07 1.86442e+11 1.86030e+11 4.25524e+11 3.95152e+11
2 3 0 1.04188e+07 1.94098e+11 1.93994e+11 3.54091e+11 3.52066e+11
2 3 1 1.05324e+07 1.95890e+11 1.96321e+11 3.06963e+11 3.16099e+11
2 3 2 1.02278e+07 1.81171e+11 1.81409e+11 3.07501e+11 3.22828e+11
2 3 3 1.04748e+07 1.96577e+11 1.96080e+11 3.94307e+11 3.90600e+11
3 0 0 1.10667e+07 2.46987e+11 2.44181e+11 9.11101e+11 6.67346e+11
3 0 1 1.01344e+07 1.73312e+11 1.73201e+11 3.77825e+11 3.84731e+11
3 0 2 1.06341e+07 2.13851e+11 2.13623e+11 3.86776e+11 3.62407e+11
3 0 3 1.02768e+07 1.82664e+11 1.82054e+11 4.02593e+11 4.04906e+11
3 1 0 1.02487e+07 1.79492e+11 1.79834e+11 3.60512e+11 3.09584e+11
3 1 1 9.91761e+06 1.59930e+11 1.61001e+11 1.69633e+11 2.44950e+11
3 1 2 1.05867e+07 2.05542e+11 2.06577e+11 2.04084e+11 2.64999e+11
3 1 3 1.02079e+07 1.75435e+11 1.75938e+11 2.49810e+11 2.99070e+11
3 2 0 1.04914e+07 2.04130e+11 2.04063e+11 3.05852e+11 3.29226e+11
3 2 1 1.02098e+07 1.76316e+11 1.77022e+11 2.57431e+11 2.92965e+11
3 2 2 1.02837e+07 1.87818e+11 1.88472e+11 2.48278e+11 2.79652e+11
3 2 3 1.05414e+07 2.02928e+11 2.03161e+11 2.22933e+11 3.26249e+11
3 3 0 1.09266e+07 2.33002e+11 2.32222e+11 3.68894e+11 3.95344e+11
3 3 1 9.88312e+06 1.63490e+11 1.63773e+11 2.44357e+11 3.02868e+11
3 3 2 1.05108e+07 1.96949e+11 1.97611e+11 2.78946e+11 2.93134e+11
3 3 3 1.00458e+07 1.65254e+11 1.65726e+11 2.38193e+11 3.00688e+11
