# r, xi(r)
1.065640589823118045e+00 2.298493431306487533e-01
1.200324899166709924e+00 1.933241858709877636e-01
1.351942174147954034e+00 1.897625700772376245e-01
1.523084460951679819e+00 1.594458440087851425e-01
1.715919525019438563e+00 1.407516051532506918e-01
1.932881509997562475e+00 1.237202366405345533e-01
2.177415839316962032e+00 1.063288070848464884e-01
2.452766993767245385e+00 9.217944918040288371e-02
2.762990568102186462e+00 8.026754162138249882e-02
3.112809438375264470e+00 7.175198142737237994e-02
3.506343899304203315e+00 6.045227354050819457e-02
3.949770209112709818e+00 5.314366121265323706e-02
4.449729819617698645e+00 4.427742827294034456e-02
5.012414601087033184e+00 3.799792545305402669e-02
5.646222294476981318e+00 3.279695146443528664e-02
6.360731762325123384e+00 2.796921358575765737e-02
7.165090414521969819e+00 2.365935730729140651e-02
8.071360597011329574e+00 1.905905077986247420e-02
9.092401697949803463e+00 1.657389130730924087e-02
1.024240343230867722e+01 1.331230614550871216e-02
1.153790196744038177e+01 1.100488854001802075e-02
1.299728688479691741e+01 9.028195997733634570e-03
1.464124787513450521e+01 7.029125754981047081e-03
1.649317144694076731e+01 5.551780040176534925e-03
1.857917936171388718e+01 4.139536453868553068e-03
2.092930481270716925e+01 3.173358817994298420e-03
2.357643730500088708e+01 2.661822946786296384e-03
2.655841306366022891e+01 1.885407948801320899e-03
2.991772844422218824e+01 1.415120106776468489e-03
