#        k    p_h_pos  p_h1_mass   p_hp_h1m   p_hp_h1m
   0.03682     1.08181e+04     1.18658e+06     5.53855e+04     3.70403e+04
   0.06136     4.45909e+04     5.27726e+05     3.26115e+04     1.72852e+04
   0.08590     1.72358e+04     9.62881e+04     3.14359e+03     2.45050e+02
   0.11045     1.88943e+04     8.65714e+04    -2.43419e+01     2.73089e+03
   0.13499     9.63624e+03     6.07162e+04    -9.01598e+02     1.27488e+03
   0.15953     8.96046e+03     3.51651e+04     1.52372e+03     7.89654e+02
   0.18408     4.02782e+03     2.87601e+04     1.47356e+03     1.39086e+03
   0.20862     2.23007e+03     2.29028e+04     9.74675e+02     1.33577e+03
   0.23317     1.88815e+03     1.80127e+04     1.21665e+03     1.45058e+03
   0.25771     2.15891e+03     1.53929e+04     1.00844e+03     6.62387e+02
   0.28225     1.21452e+03     1.43040e+04     6.16828e+02     6.79986e+02
   0.30680     1.04824e+03     1.36102e+04     5.69243e+02     4.52915e+02
   0.33134     6.76175e+02     1.24141e+04     5.10790e+02     6.41430e+02
   0.35588     5.77592e+02     9.40585e+03     4.45025e+02     7.69588e+02
   0.38043     4.26051e+02     8.00597e+03     2.96854e+02     4.03745e+02
   0.40497     4.05289e+02     7.20849e+03     3.22221e+02     3.84024e+02
   0.42951     3.86085e+02     6.73295e+03     3.27855e+02     3.87975e+02
   0.45406     3.51866e+02     6.47675e+03     2.87227e+02     3.19002e+02
   0.47860     3.14589e+02     6.39632e+03     2.89933e+02     3.11863e+02
   0.50315     3.13640e+02     6.04643e+03     2.59741e+02     3.15029e+02
   0.52769     2.71864e+02     5.95158e+03     2.65230e+02     3.27823e+02
   0.55223     2.80446e+02     5.72136e+03     2.57043e+02     2.58928e+02
   0.57678     2.44166e+02     5.55354e+03     2.65671e+02     3.17770e+02
   0.60132     2.32940e+02     5.29249e+03     2.36388e+02     2.65888e+02
   0.62586     2.23987e+02     5.00688e+03     1.86010e+02     1.10575e+02
   0.65041     2.09593e+02     5.02142e+03     2.10825e+02     2.77182e+02
   0.67495     1.95018e+02     4.74243e+03     1.85254e+02     1.63063e+02
   0.69950     1.88743e+02     4.58728e+03     1.83732e+02     1.72930e+02
   0.72404     1.71566e+02     4.41699e+03     1.75067e+02     1.55324e+02
   0.74858     1.64458e+02     4.19247e+03     1.73443e+02     1.42014e+02
   0.77313     1.59456e+02     4.09229e+03     1.77351e+02     1.62224e+02
   0.79767     1.56275e+02     3.92990e+03     1.70206e+02     1.33855e+02
   0.82221     1.49715e+02     3.87576e+03     1.52931e+02     9.98479e+01
   0.84676     1.45271e+02     3.66573e+03     1.47349e+02     6.50177e+01
   0.87130     1.45006e+02     3.69888e+03     1.46144e+02     9.87886e+01
   0.89584     1.45007e+02     3.68084e+03     1.41409e+02     6.60142e+01
   0.92039     1.37033e+02     3.62472e+03     1.38388e+02     8.18404e+01
   0.94493     1.37876e+02     3.68185e+03     1.47519e+02     1.10794e+02
   0.96948     1.31028e+02     3.69027e+03     1.42435e+02     8.18309e+01
   0.99402     1.29539e+02     3.56742e+03     1.40287e+02     1.10789e+02
   1.01856     1.26233e+02     3.54786e+03     1.35004e+02     7.36985e+01
   1.04311     1.27457e+02     3.50305e+03     1.45227e+02     1.07045e+02
   1.06765     1.23321e+02     3.41976e+03     1.35347e+02     8.17142e+01
   1.09219     1.20007e+02     3.44351e+03     1.26514e+02     6.48919e+01
   1.11674     1.16383e+02     3.39917e+03     1.21551e+02     3.32958e+01
   1.14128     1.17301e+02     3.32916e+03     1.29861e+02     9.78599e+01
   1.16583     1.15727e+02     3.29270e+03     1.30492e+02     5.42212e+01
   1.19037     1.12587e+02     3.24967e+03     1.29833e+02     1.16144e+02
   1.21491     1.10748e+02     3.21730e+03     1.24963e+02     5.57194e+01
   1.23946     1.08080e+02     3.06453e+03     1.19023e+02     5.50945e+01
   1.26400     1.09605e+02     2.97936e+03     1.17905e+02     9.33285e+01
   1.28854     1.08631e+02     2.94391e+03     1.12109e+02     4.58197e+01
   1.31309     1.06572e+02     2.86658e+03     1.14518e+02     7.16280e+01
   1.33763     1.04818e+02     2.83389e+03     1.08845e+02     2.94767e+01
   1.36217     1.04588e+02     2.80765e+03     1.12314e+02     4.15588e+01
   1.38672     1.03038e+02     2.75111e+03     1.10683e+02     4.73917e+01
   1.41126     1.03552e+02     2.71107e+03     1.08559e+02     4.46376e+01
   1.43581     1.01598e+02     2.62402e+03     1.10597e+02     4.60029e+01
   1.46035     1.01886e+02     2.57791e+03     1.03078e+02     5.13429e+01
   1.48489     1.00589e+02     2.58324e+03     1.04077e+02     5.57254e+01
   1.50944     9.89870e+01     2.56735e+03     1.00560e+02     5.62236e+01
   1.53398     9.74599e+01     2.55016e+03     1.02618e+02     5.06969e+01
   1.55852     9.61547e+01     2.50842e+03     1.01825e+02     3.90334e+01
   1.58307     9.70759e+01     2.48935e+03     1.00836e+02     5.35570e+01
   1.60761     9.53579e+01     2.49518e+03     1.01329e+02     6.27311e+01
   1.63216     9.67349e+01     2.52183e+03     9.93035e+01     2.91441e+01
   1.65670     9.53721e+01     2.49271e+03     9.09026e+01     1.20241e+01
   1.68124     9.53263e+01     2.47766e+03     9.37548e+01     2.04910e+01
   1.70579     9.39181e+01     2.44641e+03     9.45144e+01     3.63006e+01
   1.73033     9.42505e+01     2.44745e+03     9.80045e+01     4.79533e+01
   1.75487     9.33769e+01     2.38844e+03     9.71205e+01     3.30500e+01
   1.77942     9.24209e+01     2.36848e+03     9.33499e+01     2.91536e+01
   1.80396     9.35218e+01     2.33425e+03     9.41093e+01     3.12112e+01
   1.82851     9.20602e+01     2.31535e+03     9.36423e+01     1.52169e+01
   1.85305     9.13926e+01     2.30878e+03     9.19186e+01     2.47962e+01
   1.87759     9.01318e+01     2.29662e+03     9.07944e+01     1.36758e+01
   1.90214     9.01352e+01     2.31920e+03     9.12148e+01     1.54687e+01
   1.92668     8.97369e+01     2.30048e+03     9.03784e+01     2.80985e+01
   1.95122     8.96462e+01     2.31196e+03     9.11904e+01     1.83931e+01
   1.97577     8.91770e+01     2.28978e+03     8.93001e+01     5.69211e+00
   2.00031     8.88016e+01     2.29539e+03     9.16286e+01     3.35934e+01
   2.02485     8.81235e+01     2.32555e+03     8.80897e+01     7.07455e+00
   2.04940     8.77199e+01     2.31777e+03     8.87137e+01     1.96701e+01
   2.07394     8.77548e+01     2.31541e+03     8.85512e+01     2.20473e+01
   2.09849     8.66141e+01     2.29475e+03     8.74450e+01     1.88760e+01
   2.12303     8.67096e+01     2.27016e+03     8.75948e+01     3.62021e+01
   2.14757     8.55740e+01     2.29793e+03     8.70503e+01     1.31256e+01
   2.17212     8.59015e+01     2.29388e+03     8.96898e+01     2.86027e+01
   2.19666     8.59785e+01     2.27296e+03     8.80963e+01     1.47677e+01
   2.22120     8.63015e+01     2.26306e+03     8.86778e+01     1.62246e+01
   2.24575     8.46067e+01     2.23236e+03     8.72649e+01     3.92189e+01
   2.27029     8.47889e+01     2.23131e+03     8.63257e+01     2.86255e+01
   2.29484     8.47644e+01     2.20002e+03     8.59472e+01     2.08401e+01
   2.31938     8.41042e+01     2.19527e+03     8.25341e+01     1.10141e+01
   2.34392     8.39572e+01     2.19405e+03     8.46884e+01     1.64716e+01
   2.36847     8.37318e+01     2.20378e+03     8.77893e+01     3.85383e+01
   2.39301     8.26149e+01     2.18596e+03     8.21590e+01     1.74192e+01
   2.41755     8.33480e+01     2.18787e+03     8.45644e+01     2.94125e+01
