# z, OmHI, nbar
5.99790e+00 6.37449e-05 1.54748e-01
5.50195e+00 8.16986e-05 1.56729e-01
4.99880e+00 1.03593e-04 1.54596e-01
4.50055e+00 1.33747e-04 1.48714e-01
4.00000e+00 1.78252e-04 1.36754e-01
3.50045e+00 2.43268e-04 1.18893e-01
3.00000e+00 3.41846e-04 9.26155e-02
2.50018e+00 4.60065e-04 5.90384e-02
2.00030e+00 5.76856e-04 2.96305e-02
