# r, xi(r)
1.063876023984666075e+00 2.123705952540329456e+00
1.196331143467638247e+00 1.804857992687924018e+00
1.345275404056036184e+00 1.545946791246339380e+00
1.512752834182910622e+00 1.325754262034493536e+00
1.701073169270735930e+00 1.131789898192591792e+00
1.912834224677925965e+00 9.736031689988073889e-01
2.150949399105912541e+00 8.345604731542848320e-01
2.418691262197006253e+00 7.138502750814381681e-01
2.719769959353497413e+00 6.114152200888449684e-01
3.058302129712982431e+00 5.220403903374395416e-01
3.438978750442302168e+00 4.463079354074528382e-01
3.867030494832950804e+00 3.799194260365559295e-01
4.348351821410300744e+00 3.218921402707153323e-01
4.889576423085004286e+00 2.732813353820926494e-01
5.498152356258345641e+00 2.303439777160642965e-01
6.182465823447827802e+00 1.947583956575771325e-01
6.951915656500257334e+00 1.632268467364796916e-01
7.817134366462731521e+00 1.363339334264981328e-01
8.790031346926685529e+00 1.127473314783602465e-01
9.883969730170761636e+00 9.270324635974880323e-02
1.111407731159572521e+01 7.576379351456763445e-02
1.249721596582345740e+01 6.156739840150993182e-02
1.405246340056287302e+01 4.935684753161662108e-02
1.580131867284484493e+01 3.899954893982204851e-02
1.776776887760057022e+01 3.106785571797709977e-02
1.997883943048215016e+01 2.447102893796859746e-02
2.246513851378476900e+01 1.898727278669021246e-02
2.526073124153596794e+01 1.466901117772723140e-02
2.840417464950844462e+01 1.085685346389952954e-02
