# r, xi(r)
1.065297375173680061e+00 1.871247790131902455e-01
1.200605063082087920e+00 1.664213230082509654e-01
1.352108568677374834e+00 1.459804627330354432e-01
1.523149436724110295e+00 1.300991918688456650e-01
1.715914583960461925e+00 1.203864391720115279e-01
1.932829657967009451e+00 1.034396533131780593e-01
2.177446443601100956e+00 8.889747329716990443e-02
2.453015204872790456e+00 8.118689762517350417e-02
2.763260093328723688e+00 6.868742798531357607e-02
3.112797455420106107e+00 6.413842239255540534e-02
3.506499973793795188e+00 5.278251214267770663e-02
3.949997743951388252e+00 4.606491672530732551e-02
4.449548495941688664e+00 3.840587233778824938e-02
5.012463998865870352e+00 3.351134314946246917e-02
5.646347086914587088e+00 2.818216873050261029e-02
6.360402328505832870e+00 2.361831762903077170e-02
7.165199169730140483e+00 2.057290673923062307e-02
8.071486749975116837e+00 1.638939076239620540e-02
9.092549614870828023e+00 1.418577368737694577e-02
1.024229970369444587e+01 1.129583959704549834e-02
1.153803277268576011e+01 9.374093259051363702e-03
1.299738264599694659e+01 7.648669390047269090e-03
1.464124440297253393e+01 5.964632950736570294e-03
1.649318881288559879e+01 4.877535084757189665e-03
1.857932378172212751e+01 3.686702681073628085e-03
2.092929857341194477e+01 2.953900837009193481e-03
2.357655589182411404e+01 2.192343010240849210e-03
2.655851903411146608e+01 1.733514923003998121e-03
2.991764194358578521e+01 1.221026034435412910e-03
