# r, xi(r)
1.064101214704896936e+00 1.217227394715783007e+00
1.196557725344435275e+00 1.047831354925706560e+00
1.345495120880546125e+00 9.141785813562730567e-01
1.512990059668060550e+00 7.883510636495330015e-01
1.701309531936871622e+00 6.817657680998607805e-01
1.913078088840926227e+00 5.902952109713670570e-01
2.151188419828097498e+00 5.107365566859767281e-01
2.418951514504826594e+00 4.409472040046036323e-01
2.720033382572176528e+00 3.810645092370474885e-01
3.058574458540812557e+00 3.269729515377750584e-01
3.439272369357123438e+00 2.814604326473575391e-01
3.867311382445127954e+00 2.409605478116232380e-01
4.348633070788660682e+00 2.054304465319085615e-01
4.889854735957571918e+00 1.744014473992707703e-01
5.498435359610070350e+00 1.477166713416315780e-01
6.182742224704081302e+00 1.246349122743761750e-01
6.952212142051376276e+00 1.047817208649022280e-01
7.817408324513871243e+00 8.758745317193383784e-02
8.790301920884415310e+00 7.246798823435196546e-02
9.884256706061924191e+00 6.005176450978177982e-02
1.111433333185372874e+01 4.899540966481463755e-02
1.249747189635851363e+01 3.981740936727162783e-02
1.405273039962116677e+01 3.191026094316118389e-02
1.580152895953616898e+01 2.524118176237744038e-02
1.776798328049408937e+01 1.997939045137453462e-02
1.997904953493710778e+01 1.562496921757783319e-02
2.246530594330392461e+01 1.211164578247858614e-02
2.526090676241593513e+01 9.357023739489545022e-03
2.840435325208016337e+01 6.935017553251654476e-03
