# r, xi(r)
1.064901119407922758e+00 9.659065207972288292e-01
1.199558366801635634e+00 8.327018225869879942e-01
1.351715773376237717e+00 7.107913195886230717e-01
1.522641697482805423e+00 6.144394909132477878e-01
1.715181148384770760e+00 5.257221709217032579e-01
1.932120549929552400e+00 4.470216624898997182e-01
2.176928052088261900e+00 3.873839662372424719e-01
2.452506676184547985e+00 3.339426231947510981e-01
2.762414051129443937e+00 2.871935428434446713e-01
3.112176570611258963e+00 2.444089327729332961e-01
3.505799798941550360e+00 2.104960978768650737e-01
3.949050501439835603e+00 1.807507835443067368e-01
4.449058875560148785e+00 1.546620421097155695e-01
5.011819203399856093e+00 1.289044332202471388e-01
5.645933738118195322e+00 1.088573901941354283e-01
6.359887762575992198e+00 9.276515701328658103e-02
7.164423036429492520e+00 7.782364119814277892e-02
8.070800442599908919e+00 6.396130487028139910e-02
9.091542814895772651e+00 5.307727693246699907e-02
1.024183890307616274e+01 4.353903930326530336e-02
1.153736925214584552e+01 3.631983600483046359e-02
1.299658381781124739e+01 2.927281170635454011e-02
1.464068030370084728e+01 2.300528407995527935e-02
1.649275165191067316e+01 1.806208631967076705e-02
1.857890501720970988e+01 1.437483574002285103e-02
2.092877438330309658e+01 1.118089886406692379e-02
2.357613106222302690e+01 8.446069102957975971e-03
2.655824339285499747e+01 6.666198836904335678e-03
2.991735983799048526e+01 5.176070135340493650e-03
