# r, xi(r)
1.063863910994461204e+00 3.970576655504817865e+00
1.196302327622153605e+00 3.384320099867396792e+00
1.345218130759846087e+00 2.901030890307949583e+00
1.512674955158616497e+00 2.453625544575851691e+00
1.700977061992493322e+00 2.090908693142586205e+00
1.912707218226635364e+00 1.773145593571592737e+00
2.150806806581071928e+00 1.508128078257345628e+00
2.418534023829395085e+00 1.283903440343898694e+00
2.719593402724977071e+00 1.094554313929532618e+00
3.058114232157079115e+00 9.317291062886643438e-01
3.438779474741621822e+00 7.901219265163963446e-01
3.866810529972299015e+00 6.701418623595425395e-01
4.348106136735117033e+00 5.681331745668736222e-01
4.889314472547541257e+00 4.776536167591232118e-01
5.497870273764467797e+00 4.008416829635554901e-01
6.182189678818426515e+00 3.367185424041725383e-01
6.951633372295233926e+00 2.808655931258945415e-01
7.816863782582052167e+00 2.341435170243808539e-01
8.789727824809473233e+00 1.928195822859961606e-01
9.883734088243510740e+00 1.589678113358663492e-01
1.111379579570751197e+01 1.295658893799840339e-01
1.249695880620907040e+01 1.046167903524612974e-01
1.405222875065663324e+01 8.364303997851507688e-02
1.580105983319049479e+01 6.545460842448780348e-02
1.776757759827485117e+01 5.171800599084708239e-02
1.997865186453053710e+01 4.054441677123832299e-02
2.246495257867720241e+01 3.125348808128958211e-02
2.526056517561146464e+01 2.405357123727935864e-02
2.840404948270500540e+01 1.799075338970035354e-02
