# r, xi(r)
1.064156898736188683e+00 9.806301163466153437e-01
1.196631659852895435e+00 8.529442711536734389e-01
1.345570135956846380e+00 7.426928552233260650e-01
1.513054277910954148e+00 6.458355217078690647e-01
1.701384364715857300e+00 5.616000775200953310e-01
1.913133284986716198e+00 4.869897943574992283e-01
2.151264573223389931e+00 4.223171288456282202e-01
2.419037544308642929e+00 3.658694625923999411e-01
2.720098158010576306e+00 3.163779043816610237e-01
3.058651545263084692e+00 2.731840773121405608e-01
3.439337398394890055e+00 2.349248078951438057e-01
3.867389069511723232e+00 2.016020881278095533e-01
4.348714019659296603e+00 1.722494408053201198e-01
4.889934996040139481e+00 1.465677325098606598e-01
5.498512359790113102e+00 1.239583277619629165e-01
6.182816626291248951e+00 1.049052246278923128e-01
6.952288836907819736e+00 8.802332527050960032e-02
7.817488974733258544e+00 7.363391620528325632e-02
8.790377436373534081e+00 6.104381800598868146e-02
9.884340553221703018e+00 5.051096309224023528e-02
1.111441477495220198e+01 4.139931509231487006e-02
1.249754673534457616e+01 3.355671306685903410e-02
1.405280341621880957e+01 2.691858604382546538e-02
1.580159839440156944e+01 2.132718543704359426e-02
1.776801811595163372e+01 1.680369553529192927e-02
1.997910036329441041e+01 1.312220380296258426e-02
2.246535407773949089e+01 1.018536063930053359e-02
2.526095067752600798e+01 7.836934710062859466e-03
2.840439619081811884e+01 5.824022661033323445e-03
