#        k    p_h_pos  p_h1_mass   p_hp_h1m   p_hp_h1m
   0.03682     1.11325e+04     3.23970e+06     1.44823e+05     5.89731e+04
   0.06136     3.75681e+04     1.93837e+06     1.03380e+05     8.90420e+03
   0.08590     1.34473e+04     5.38767e+05    -3.57621e+04    -2.73084e+02
   0.11045     8.74392e+03     4.26400e+05    -3.85143e+03     1.69636e+03
   0.13499     1.12368e+04     2.86953e+05    -6.73173e+03     2.04417e+03
   0.15953     3.66721e+03     1.58063e+05     4.89905e+03     3.59289e+03
   0.18408     5.15879e+03     1.19985e+05    -1.32620e+03    -6.74739e+02
   0.20862     3.95632e+03     9.83321e+04     2.65843e+03     1.64362e+03
   0.23317     2.88403e+03     7.76197e+04     3.40446e+02     7.35208e+02
   0.25771     1.50432e+03     6.54803e+04     1.44647e+03     1.56511e+03
   0.28225     1.10867e+03     6.11373e+04     3.55066e+02     1.84448e+02
   0.30680     9.27741e+02     5.57015e+04     7.38684e+02     4.94018e+02
   0.33134     7.58711e+02     4.51988e+04     5.71332e+02     6.14415e+02
   0.35588     5.23867e+02     3.45518e+04     4.22089e+02     7.14468e+02
   0.38043     4.45848e+02     3.15442e+04     3.91342e+02     4.05106e+01
   0.40497     4.10553e+02     2.55213e+04     3.56124e+02     2.80703e+02
   0.42951     3.48427e+02     2.35263e+04     4.25446e+02     5.95798e+02
   0.45406     3.24430e+02     2.34294e+04     1.68807e+02    -1.17571e+02
   0.47860     3.16993e+02     2.38436e+04     2.76230e+02     3.28416e+02
   0.50315     3.04583e+02     2.31489e+04     1.91393e+02     1.62020e+02
   0.52769     2.82693e+02     2.19216e+04     3.07355e+02     3.14180e+02
   0.55223     2.68520e+02     2.03657e+04     2.94484e+02     2.30740e+02
   0.57678     2.65270e+02     1.96425e+04     2.91452e+02     2.48727e+02
   0.60132     2.28263e+02     1.80502e+04     2.05851e+02     2.02193e+02
   0.62586     2.35843e+02     1.72322e+04     1.98324e+02     1.25713e+02
   0.65041     2.00066e+02     1.67489e+04     2.00778e+02     1.90445e+02
   0.67495     1.87411e+02     1.67998e+04     2.00258e+02     5.56198e+01
   0.69950     1.80126e+02     1.62934e+04     1.93357e+02     1.02145e+02
   0.72404     1.69035e+02     1.53401e+04     1.45276e+02     1.27932e+02
   0.74858     1.63963e+02     1.48126e+04     1.81596e+02     1.51509e+02
   0.77313     1.54262e+02     1.40701e+04     1.53940e+02     7.27471e+01
   0.79767     1.49743e+02     1.34898e+04     1.76793e+02     2.13452e+02
   0.82221     1.44813e+02     1.26891e+04     1.60785e+02     1.56393e+02
   0.84676     1.40962e+02     1.22591e+04     1.38801e+02     9.07773e+01
   0.87130     1.37539e+02     1.22070e+04     1.14020e+02     5.48688e+01
   0.89584     1.34477e+02     1.21527e+04     1.27125e+02     2.35402e+01
   0.92039     1.32059e+02     1.20650e+04     1.25507e+02     6.92697e+01
   0.94493     1.27628e+02     1.21774e+04     1.27026e+02     1.03511e+02
   0.96948     1.28048e+02     1.27510e+04     1.21536e+02    -9.17638e+00
   0.99402     1.22244e+02     1.23505e+04     1.40706e+02     1.08899e+02
   1.01856     1.21423e+02     1.20757e+04     1.22914e+02     3.05601e+01
   1.04311     1.17138e+02     1.15646e+04     1.06710e+02     1.95688e+01
   1.06765     1.16652e+02     1.11358e+04     1.22507e+02     1.20627e+02
   1.09219     1.13407e+02     1.12270e+04     1.11985e+02     4.96859e+01
   1.11674     1.10643e+02     1.12210e+04     1.15333e+02     4.76597e+01
   1.14128     1.07542e+02     1.10670e+04     1.24272e+02     1.09606e+02
   1.16583     1.05982e+02     1.07244e+04     1.11167e+02     6.56556e+01
   1.19037     1.04708e+02     1.09261e+04     1.04206e+02     4.99575e+01
   1.21491     1.03001e+02     1.07583e+04     1.17684e+02     9.73306e+01
   1.23946     1.03070e+02     1.05711e+04     1.07892e+02     6.76030e+01
   1.26400     9.99552e+01     1.02981e+04     8.55037e+01     5.61643e+01
   1.28854     9.97389e+01     1.00717e+04     8.82244e+01     4.39913e+01
   1.31309     9.84088e+01     1.00751e+04     8.85361e+01     2.98869e+01
   1.33763     9.76194e+01     9.92558e+03     9.98360e+01    -7.04134e+00
   1.36217     9.81405e+01     9.97667e+03     9.31114e+01     5.40263e+01
   1.38672     9.55572e+01     9.79769e+03     9.41143e+01     2.48026e+01
   1.41126     9.44541e+01     9.89815e+03     9.08765e+01     6.27309e+01
   1.43581     9.33080e+01     9.79206e+03     9.47002e+01     6.39592e+01
   1.46035     9.27202e+01     9.49971e+03     9.24265e+01     4.17844e+01
   1.48489     9.11270e+01     9.44804e+03     8.93137e+01     3.16436e+01
   1.50944     8.96777e+01     9.19760e+03     9.10740e+01     8.08147e+01
   1.53398     8.91534e+01     9.16953e+03     8.57474e+01     4.05782e+01
   1.55852     8.79583e+01     8.99687e+03     7.82442e+01     1.50868e+01
   1.58307     8.56110e+01     8.98964e+03     7.71393e+01     4.23544e+01
   1.60761     8.60693e+01     8.88632e+03     8.66800e+01     4.89579e+01
   1.63216     8.57338e+01     8.97274e+03     7.84334e+01     5.50203e+01
   1.65670     8.39649e+01     8.87074e+03     7.56693e+01     1.82566e+01
   1.68124     8.53125e+01     8.94001e+03     8.79135e+01     5.49428e+01
   1.70579     8.46821e+01     8.86087e+03     8.54388e+01     2.35528e+01
   1.73033     8.52027e+01     8.79535e+03     7.87614e+01     4.01022e+01
   1.75487     8.30509e+01     8.93594e+03     7.97858e+01     2.36828e+01
   1.77942     8.30073e+01     8.81326e+03     7.94041e+01     2.77423e+01
   1.80396     8.21142e+01     8.74278e+03     8.12856e+01     3.05207e+01
   1.82851     8.16040e+01     8.71761e+03     7.53421e+01     3.37563e+01
   1.85305     8.08523e+01     8.70701e+03     7.62803e+01     1.30498e+01
   1.87759     8.06978e+01     8.69924e+03     7.39022e+01    -5.25258e+00
   1.90214     7.97561e+01     8.58033e+03     7.41121e+01     2.20314e+01
   1.92668     7.95748e+01     8.46348e+03     7.51082e+01     1.45856e+01
   1.95122     7.89759e+01     8.47741e+03     7.69253e+01     2.84133e+01
   1.97577     7.89696e+01     8.18604e+03     6.75515e+01    -6.60351e+00
   2.00031     7.81092e+01     8.03846e+03     7.07043e+01     1.85239e+01
   2.02485     7.78832e+01     7.90547e+03     7.02135e+01     2.11902e+01
   2.04940     7.75647e+01     7.86718e+03     7.34934e+01     2.77007e+01
   2.07394     7.67830e+01     7.97603e+03     7.38688e+01     2.01233e+01
   2.09849     7.68588e+01     7.75428e+03     6.11581e+01     9.13023e+00
   2.12303     7.62179e+01     7.74054e+03     6.68862e+01     1.63942e+01
   2.14757     7.60333e+01     7.72897e+03     6.73801e+01    -1.25337e+00
   2.17212     7.51961e+01     7.66688e+03     6.85224e+01     1.92825e+01
   2.19666     7.50510e+01     7.56603e+03     6.75453e+01     3.54176e+01
   2.22120     7.52729e+01     7.61208e+03     6.19458e+01     1.80050e+01
   2.24575     7.42586e+01     7.66723e+03     6.90560e+01     2.02920e+01
   2.27029     7.46062e+01     7.72278e+03     6.59901e+01     1.70053e+01
   2.29484     7.37853e+01     7.75794e+03     6.89145e+01    -6.65738e-01
   2.31938     7.34682e+01     7.78097e+03     6.51015e+01     6.45330e+00
   2.34392     7.38121e+01     7.77133e+03     6.77105e+01    -6.11813e-03
   2.36847     7.32393e+01     7.64591e+03     6.22940e+01     6.61507e+00
   2.39301     7.27292e+01     7.64513e+03     6.25724e+01     3.46286e+00
   2.41755     7.25897e+01     7.64922e+03     6.08779e+01     6.73682e+00
   2.44210     7.24533e+01     7.50287e+03     6.29861e+01     2.57687e+01
   2.46664     7.13589e+01     7.48192e+03     6.28186e+01     2.33117e+01
   2.49118     7.10604e+01     7.52387e+03     6.48488e+01     1.13869e+01
   2.51573     7.08470e+01     7.54290e+03     6.62080e+01     2.20761e+01
   2.54027     7.03987e+01     7.38547e+03     6.45058e+01     1.53265e+01
   2.56482     7.03889e+01     7.36582e+03     6.44233e+01     9.09990e+00
   2.58936     7.06667e+01     7.38503e+03     6.02662e+01    -3.34074e+00
   2.61390     6.96522e+01     7.31119e+03     5.89751e+01     9.46867e+00
   2.63845     6.98374e+01     7.30588e+03     6.22041e+01     2.24060e-01
   2.66299     6.94245e+01     7.36013e+03     5.85405e+01     9.65315e+00
   2.68753     6.92699e+01     7.38824e+03     6.41528e+01     1.40679e+01
   2.71208     6.92414e+01     7.41942e+03     6.43883e+01     8.95288e-01
   2.73662     6.88400e+01     7.42928e+03     6.40889e+01     2.47460e+01
   2.76117     6.86689e+01     7.43421e+03     6.00751e+01     6.85443e+00
   2.78571     6.88075e+01     7.30220e+03     6.31981e+01     1.28757e+01
   2.81025     6.78857e+01     7.24061e+03     6.15256e+01    -6.37570e+00
   2.83480     6.81201e+01     7.17186e+03     6.23798e+01     2.11268e+01
   2.85934     6.78924e+01     7.12688e+03     6.04882e+01     1.26988e+01
   2.88388     6.76008e+01     7.14053e+03     6.30135e+01     4.15014e+00
   2.90843     6.72269e+01     7.04267e+03     5.88531e+01    -1.32056e+01
   2.93297     6.68663e+01     7.00135e+03     5.91131e+01     6.88964e+00
   2.95751     6.67989e+01     7.05070e+03     5.87299e+01     2.12701e-01
   2.98206     6.68054e+01     7.07068e+03     5.80659e+01    -3.78719e+00
   3.00660     6.62212e+01     7.09152e+03     5.53341e+01    -3.62474e+00
   3.03115     6.63662e+01     7.10424e+03     6.12720e+01     1.81214e+01
   3.05569     6.59022e+01     7.08584e+03     5.62307e+01    -4.42080e+00
   3.08023     6.56651e+01     7.07731e+03     5.90530e+01     1.51065e+01
