# r, xi(r)
1.065338364208881616e+00 3.561440354925395901e-01
1.200164721313474070e+00 2.898592607519105968e-01
1.352236171600816439e+00 2.548845715259000499e-01
1.522948222120468209e+00 2.258417182299421455e-01
1.716003109727130216e+00 1.954060827769992237e-01
1.932746923795043870e+00 1.720035144664957549e-01
2.177576812637973980e+00 1.518762478094930479e-01
2.452895047831917807e+00 1.353960830157676654e-01
2.763041500497716019e+00 1.145894226586361420e-01
3.112586343479794238e+00 1.012518528732593293e-01
3.506229743224929418e+00 8.673975129369226877e-02
3.949752795400650385e+00 7.280707190415558472e-02
4.449442996981836096e+00 6.251638392819569567e-02
5.012254137073897553e+00 5.404775505248693435e-02
5.646318861713989001e+00 4.587105183470407965e-02
6.360448240821618526e+00 3.812524851903953405e-02
7.165095946977705132e+00 3.117205718839066719e-02
8.071288117267998885e+00 2.654287169216029696e-02
9.092221412040466078e+00 2.154094166102304975e-02
1.024220781113655221e+01 1.805394995083986487e-02
1.153780495110711968e+01 1.405231191070166474e-02
1.299708226251275889e+01 1.107160224589409658e-02
1.464119025348059111e+01 8.810798090261418025e-03
1.649304618537517797e+01 7.187101671570550465e-03
1.857920539717780173e+01 5.567192788946462301e-03
2.092902865557843484e+01 4.313768713520627074e-03
2.357634224879918250e+01 3.214011572833408437e-03
2.655842287102230159e+01 2.375697413700805782e-03
2.991765438510964614e+01 1.824015743686180357e-03
