# r, xi(r)
1.063869338348209848e+00 4.543087720702767562e+00
1.196312577620576523e+00 3.912156757254185102e+00
1.345240181440098048e+00 3.408608993545148458e+00
1.512705543531993380e+00 2.936481074119293488e+00
1.701012381627485359e+00 2.485171266552272940e+00
1.912754638487465408e+00 2.114999497730540856e+00
2.150868001323662515e+00 1.785327189031347572e+00
2.418604522564999915e+00 1.528223980906865620e+00
2.719670461472945444e+00 1.301480964455817624e+00
3.058196594194226847e+00 1.091225783073228595e+00
3.438856960690293896e+00 9.336817073649383847e-01
3.866907293806368440e+00 7.856268257752052619e-01
4.348219410374653648e+00 6.625769646465908824e-01
4.889433522558646494e+00 5.585515517522743334e-01
5.498001859976207051e+00 4.687842632633132389e-01
6.182306388780341777e+00 3.958723939688586491e-01
6.951759634258752207e+00 3.301919901213428155e-01
7.816981382850174853e+00 2.750796756177562585e-01
8.789871599751130304e+00 2.257486213625348181e-01
9.883822508378852234e+00 1.855901361122223037e-01
1.111391788329403951e+01 1.509733935738766242e-01
1.249707580202416679e+01 1.228990207116082978e-01
1.405232266015034881e+01 9.803549442632375488e-02
1.580117863691853763e+01 7.692154486596414209e-02
1.776767239018367661e+01 6.160044830172917152e-02
1.997871540163851733e+01 4.862230526167987676e-02
2.246503829192779733e+01 3.763182373271578562e-02
2.526063496542376541e+01 2.899942268502564424e-02
2.840410951308771814e+01 2.154440852874417445e-02
