# r, xi(r)
1.063788253488620272e+00 4.472050810892462813e+00
1.196226544643492540e+00 3.766559501735583737e+00
1.345126850718460609e+00 3.157241378003734056e+00
1.512577713110327071e+00 2.700079926155000809e+00
1.700875808351989482e+00 2.272990012901388024e+00
1.912604652210576628e+00 1.942326972316632538e+00
2.150672613246026987e+00 1.634019031230807162e+00
2.418410213252081942e+00 1.391071419165872847e+00
2.719443875469872207e+00 1.179118196759213255e+00
3.057968489472176810e+00 1.004615269484983031e+00
3.438612132407090627e+00 8.477960147321943474e-01
3.866638099848651144e+00 7.187863324861716308e-01
4.347941121896155892e+00 6.069744918667050460e-01
4.889131981916627012e+00 5.103208390795432869e-01
5.497692275156566666e+00 4.271638166581206431e-01
6.181996052373444073e+00 3.580126895215849370e-01
6.951462400216858128e+00 2.983021520275861427e-01
7.816671853008863025e+00 2.481779637436425379e-01
8.789549987474027049e+00 2.046552880828014231e-01
9.883546034141941661e+00 1.684954930009567864e-01
1.111361395034579935e+01 1.376594792626544272e-01
1.249679014805835919e+01 1.109232810048530471e-01
1.405206127923358927e+01 8.852400917939928782e-02
1.580089362186418356e+01 6.918598185815705293e-02
1.776741462781228620e+01 5.444567812721223810e-02
1.997852414461758741e+01 4.255079684969920173e-02
2.246484795363120313e+01 3.277276107959714579e-02
2.526045910912328907e+01 2.519664344904604114e-02
2.840393684446755529e+01 1.888989577630351135e-02
