# r, xi(r)
1.063806700219166235e+00 5.258707521764663717e+00
1.196245968032241036e+00 4.636609935512981728e+00
1.345178092137315540e+00 4.172162324475955586e+00
1.512643106470341614e+00 3.565194657224632024e+00
1.700950541242906899e+00 3.113509024815084736e+00
1.912699774552766963e+00 2.659546295782423186e+00
2.150797652243499058e+00 2.262103403840293403e+00
2.418543860158338443e+00 1.884115547417418934e+00
2.719604422446805447e+00 1.608923857610807140e+00
3.058127778530816965e+00 1.368626831176939174e+00
3.438796310545398693e+00 1.154147857476975236e+00
3.866842361883956247e+00 9.751104608728984324e-01
4.348147295136643109e+00 8.117098603830898984e-01
4.889371788097772509e+00 6.817980009748767500e-01
5.497927441736175425e+00 5.777417555341266553e-01
6.182242880386178641e+00 4.830746642190297813e-01
6.951696379221747435e+00 4.030441809010512078e-01
7.816913312742411968e+00 3.346920296313335985e-01
8.789806726191221387e+00 2.743302456031180281e-01
9.883753700486071381e+00 2.235440523731242468e-01
1.111385090587326196e+01 1.841914801699773285e-01
1.249700978813422303e+01 1.486446071579052841e-01
1.405226668555780556e+01 1.185598268806862254e-01
1.580113080170580808e+01 9.347112970933468823e-02
1.776761708268103135e+01 7.473532319608233720e-02
1.997867383684336673e+01 5.925137910465960722e-02
2.246497024099734929e+01 4.595085667880383085e-02
2.526061401949794671e+01 3.554237018165329332e-02
2.840405470630986073e+01 2.621825553321421864e-02
