# r, xi(r)
1.065113267951028453e+00 5.314386566334425854e-01
1.199986660575091513e+00 4.704038867297082316e-01
1.351742086636425144e+00 4.058443553673058979e-01
1.522676955668881948e+00 3.635500014507708766e-01
1.715522076368017013e+00 3.071961330477843699e-01
1.932443427335239772e+00 2.697693360442006139e-01
2.177292564322510060e+00 2.300931579186238363e-01
2.452608721592452135e+00 2.016442065590200450e-01
2.762793552166637134e+00 1.728523373694084153e-01
3.112303215267010703e+00 1.489602764354316378e-01
3.506081725353540790e+00 1.294849874322780980e-01
3.949681558074420451e+00 1.092654423998460356e-01
4.449168659820807115e+00 9.224253056401110484e-02
5.012030365572953450e+00 7.998965273051816816e-02
5.646027065719951388e+00 6.733103417926522560e-02
6.360379210768670966e+00 5.659089737427369649e-02
7.164596292474992190e+00 4.747833851278127071e-02
8.071082331392279485e+00 3.922264600243696719e-02
9.092025369803694801e+00 3.198401891006663611e-02
1.024209926366910217e+01 2.673279548877549594e-02
1.153753573402082289e+01 2.209140311830326553e-02
1.299710876750111233e+01 1.776989471945222832e-02
1.464097553164681109e+01 1.402207694396939708e-02
1.649294221557188322e+01 1.104958041944104075e-02
1.857904386831023302e+01 8.781867790546016295e-03
2.092909399339249887e+01 6.705866572134899783e-03
2.357637232683799056e+01 5.103853624552900925e-03
2.655823248601227604e+01 3.991912978508205256e-03
2.991756913514462823e+01 2.931265121686177366e-03
