#        k    p_h_pos  p_h1_mass   p_hp_h1m   p_hp_h1m
   2.07394     1.11341e+02     2.24258e+03     1.17492e+02     5.33122e+01
   2.09849     1.09596e+02     2.23105e+03     1.16462e+02     2.86718e+01
   2.12303     1.09132e+02     2.18463e+03     1.13026e+02     3.87672e+01
   2.14757     1.10242e+02     2.16043e+03     1.14644e+02     4.10886e+01
   2.17212     1.09427e+02     2.14021e+03     1.13910e+02     3.69839e+01
   2.19666     1.07309e+02     2.09196e+03     1.10400e+02     3.14341e+01
   2.22120     1.07244e+02     2.07839e+03     1.11174e+02     3.96350e+01
   2.24575     1.07416e+02     2.06404e+03     1.09849e+02     4.32852e+01
   2.27029     1.07294e+02     2.07276e+03     1.11600e+02     4.26451e+01
   2.29484     1.05903e+02     2.06285e+03     1.07006e+02     2.61026e+01
   2.31938     1.06278e+02     2.04759e+03     1.10368e+02     2.72862e+01
   2.34392     1.05843e+02     2.04605e+03     1.06779e+02     3.44426e+01
   2.36847     1.05166e+02     2.02652e+03     1.07181e+02     1.73100e+01
   2.39301     1.04651e+02     2.03679e+03     1.09162e+02     4.76813e+01
   2.41755     1.04438e+02     2.04079e+03     1.05814e+02     1.11357e+01
   2.44210     1.04955e+02     2.02094e+03     1.07109e+02     3.36382e+01
   2.46664     1.03715e+02     2.00761e+03     1.05166e+02     3.20737e+01
   2.49118     1.03791e+02     2.00010e+03     1.04345e+02     2.42865e+01
   2.51573     1.03231e+02     2.01944e+03     1.07395e+02     5.77358e+01
   2.54027     1.03022e+02     2.00209e+03     1.06015e+02     3.74200e+01
   2.56482     1.02669e+02     1.98685e+03     1.07096e+02     4.13661e+01
   2.58936     1.03439e+02     1.96404e+03     1.08042e+02     4.14044e+01
   2.61390     1.02627e+02     1.94054e+03     1.03469e+02     1.41254e+01
   2.63845     1.02278e+02     1.92252e+03     1.01828e+02    -3.56281e+00
   2.66299     1.01092e+02     1.92205e+03     1.02036e+02     2.33037e+01
   2.68753     1.01541e+02     1.91809e+03     1.03366e+02     3.38739e+01
   2.71208     1.00579e+02     1.90542e+03     1.01728e+02     3.31354e+01
   2.73662     1.00819e+02     1.88591e+03     1.01625e+02     2.11520e+01
   2.76117     1.00605e+02     1.86587e+03     1.02827e+02     4.48243e+01
   2.78571     9.93895e+01     1.87406e+03     1.00393e+02     3.92555e+01
   2.81025     9.96608e+01     1.85861e+03     1.00640e+02     2.07253e+01
   2.83480     9.91131e+01     1.86010e+03     9.89521e+01     2.79751e+01
   2.85934     9.98304e+01     1.85323e+03     1.00717e+02     2.87822e+01
   2.88388     9.88137e+01     1.82503e+03     9.86397e+01     2.30386e+01
   2.90843     9.93659e+01     1.82568e+03     1.00138e+02     2.45301e+01
   2.93297     9.80862e+01     1.81646e+03     9.82586e+01     1.14659e+01
   2.95751     9.84297e+01     1.82537e+03     9.84576e+01     1.57917e+01
   2.98206     9.72477e+01     1.81180e+03     9.93406e+01     3.65670e+01
   3.00660     9.78088e+01     1.79209e+03     9.85251e+01     2.85526e+01
   3.03115     9.75848e+01     1.77242e+03     9.70273e+01     1.26054e+01
   3.05569     9.68785e+01     1.77199e+03     9.53310e+01    -1.04317e+01
   3.08023     9.68391e+01     1.76675e+03     9.64558e+01     1.07518e+01
   3.10478     9.63792e+01     1.74967e+03     9.66615e+01     2.29929e+01
   3.12932     9.64001e+01     1.73226e+03     9.61824e+01     9.14094e+00
   3.15386     9.61642e+01     1.73497e+03     9.47755e+01     1.92053e+00
   3.17841     9.60426e+01     1.73484e+03     9.53283e+01     5.70169e+00
   3.20295     9.56994e+01     1.74832e+03     9.52106e+01     2.96011e+00
   3.22750     9.54373e+01     1.74460e+03     9.51859e+01     9.25072e+00
   3.25204     9.53764e+01     1.74444e+03     9.57395e+01     1.72339e+01
   3.27658     9.53832e+01     1.74256e+03     9.61626e+01     1.95283e+01
   3.30113     9.48990e+01     1.72298e+03     9.43119e+01     1.37863e+01
   3.32567     9.43972e+01     1.73402e+03     9.57013e+01     2.70444e+01
   3.35021     9.41797e+01     1.71782e+03     9.44724e+01     1.91457e+01
   3.37476     9.43037e+01     1.71105e+03     9.57453e+01     2.31788e+01
   3.39930     9.39672e+01     1.69058e+03     9.37957e+01     1.16579e+01
   3.42385     9.35682e+01     1.68988e+03     9.32118e+01     9.55326e+00
   3.44839     9.30482e+01     1.68635e+03     9.30350e+01     2.55445e+01
   3.47293     9.33696e+01     1.69731e+03     9.33727e+01     1.01439e+01
   3.49748     9.29300e+01     1.68980e+03     9.32869e+01     9.39268e+00
   3.52202     9.26919e+01     1.66678e+03     9.32441e+01     5.09029e+00
   3.54656     9.29654e+01     1.66865e+03     9.29723e+01     1.42379e+01
   3.57111     9.25445e+01     1.66201e+03     9.28932e+01     1.49147e+01
   3.59565     9.21100e+01     1.63827e+03     9.08067e+01     5.32215e+00
   3.62019     9.22882e+01     1.63395e+03     9.18455e+01     1.93683e+01
   3.64474     9.17463e+01     1.62034e+03     9.08667e+01     6.23742e+00
   3.66928     9.15046e+01     1.62402e+03     9.05248e+01     7.19992e+00
   3.69383     9.17592e+01     1.62402e+03     9.00631e+01     1.86961e+01
   3.71837     9.12159e+01     1.62124e+03     9.02275e+01     1.41016e+01
   3.74291     9.03695e+01     1.61671e+03     8.93859e+01     1.82561e+01
   3.76746     9.05499e+01     1.60909e+03     8.90125e+01     4.34717e+00
   3.79200     9.07389e+01     1.60033e+03     8.94136e+01     1.78940e+01
   3.81654     9.02169e+01     1.59653e+03     8.96256e+01     1.96379e+01
   3.84109     8.99594e+01     1.59399e+03     8.73999e+01     1.49385e+01
   3.86563     9.02427e+01     1.59224e+03     8.84134e+01     1.46488e+01
   3.89018     8.98761e+01     1.58437e+03     8.90760e+01     1.61189e+01
   3.91472     8.94072e+01     1.56717e+03     8.63669e+01     1.14016e+01
   3.93926     8.93482e+01     1.56689e+03     8.76095e+01     1.63397e+01
   3.96381     8.88838e+01     1.56532e+03     8.69173e+01     1.93057e+01
   3.98835     8.87551e+01     1.57096e+03     8.61629e+01     1.60349e+01
   4.01289     8.86326e+01     1.57470e+03     8.83066e+01     2.15374e+01
   4.03744     8.84439e+01     1.56125e+03     8.75086e+01     2.34289e+01
   4.06198     8.78044e+01     1.55096e+03     8.62792e+01     2.02396e+01
   4.08652     8.78379e+01     1.55167e+03     8.61315e+01     1.27860e+01
   4.11107     8.74364e+01     1.55736e+03     8.60148e+01     1.45458e+01
   4.13561     8.74029e+01     1.55120e+03     8.62966e+01     1.59435e+01
   4.16016     8.70052e+01     1.53506e+03     8.39949e+01     7.40432e+00
   4.18470     8.69179e+01     1.54093e+03     8.54287e+01     1.46049e+01
   4.20924     8.66301e+01     1.54265e+03     8.57642e+01     1.34980e+01
   4.23379     8.68606e+01     1.53794e+03     8.46998e+01     1.78586e+01
   4.25833     8.59849e+01     1.53461e+03     8.44224e+01     9.58399e+00
   4.28287     8.56947e+01     1.52575e+03     8.52334e+01     1.88827e+01
   4.30742     8.59032e+01     1.51560e+03     8.33150e+01     1.94909e+01
   4.33196     8.53938e+01     1.51804e+03     8.44636e+01     1.84090e+01
   4.35651     8.51482e+01     1.52341e+03     8.42905e+01     1.63219e+01
   4.38105     8.48110e+01     1.52232e+03     8.39995e+01     1.91530e+01
   4.40559     8.45824e+01     1.51560e+03     8.33939e+01     1.47890e+01
   4.43014     8.44755e+01     1.51031e+03     8.33343e+01     1.81133e+01
   4.45468     8.41210e+01     1.49296e+03     8.26368e+01     1.41849e+01
   4.47922     8.38415e+01     1.48570e+03     8.23907e+01     1.13951e+01
   4.50377     8.39367e+01     1.48048e+03     8.21749e+01     6.01077e+00
   4.52831     8.39512e+01     1.46960e+03     8.26339e+01     1.43327e+01
