# r, xi(r)
1.063725494642199232e+00 2.864729572032896687e+00
1.196182383286456208e+00 2.413527700578617097e+00
1.345123267682689638e+00 2.056246293376758683e+00
1.512585144662350611e+00 1.737162821624093301e+00
1.700915999742385720e+00 1.492748922887117580e+00
1.912674758025324495e+00 1.281204829198366646e+00
2.150783299726293674e+00 1.094768930123998896e+00
2.418535472051678958e+00 9.351392819615376162e-01
2.719602946465594417e+00 7.967599394104925015e-01
3.058139882043021895e+00 6.790201880906352461e-01
3.438816200935346679e+00 5.769667133885210131e-01
3.866857116230305369e+00 4.921052671028598446e-01
4.348168148626384344e+00 4.146427170524458194e-01
4.889416573929181276e+00 3.494712985657115745e-01
5.497974943789064817e+00 2.963822883972566657e-01
6.182291691619496099e+00 2.498473884329710515e-01
6.951728428479753141e+00 2.093153885941265724e-01
7.816953656259970629e+00 1.740133322767840607e-01
8.789852073776192043e+00 1.437713839827736706e-01
9.883802822868640092e+00 1.179027523242128783e-01
1.111389644489600492e+01 9.666772109867682872e-02
1.249705140250248192e+01 7.835386316312265009e-02
1.405230669116779119e+01 6.272222168440166890e-02
1.580116807693144132e+01 4.982872035806318323e-02
1.776763249961534896e+01 3.958717503002162630e-02
1.997872109320362455e+01 3.133662616514665267e-02
2.246499916776607364e+01 2.439922724973531132e-02
2.526064025165245752e+01 1.879712646235720541e-02
2.840404891033083956e+01 1.392303176869491566e-02
