# r, xi(r)
1.063826528654598036e+00 4.181695473889631032e+00
1.196263109340988118e+00 3.546539301135189781e+00
1.345168275893103615e+00 3.021464675935807698e+00
1.512628248597982505e+00 2.561207894047532907e+00
1.700927249648689354e+00 2.180855535479941043e+00
1.912663514084467220e+00 1.850185791321870443e+00
2.150748279567281429e+00 1.565236110329776942e+00
2.418475276863258472e+00 1.332481035625992849e+00
2.719528241564542981e+00 1.133272146836716843e+00
3.058051798796717069e+00 9.665737712414315119e-01
3.438702127376372708e+00 8.173674690067902482e-01
3.866729404764345901e+00 6.921574924391122874e-01
4.348037582528504252e+00 5.865539149380545325e-01
4.889231891093793081e+00 4.929002025216011607e-01
5.497792438998723163e+00 4.129012107016090116e-01
6.182097938413907201e+00 3.465797398580288124e-01
6.951560643716487853e+00 2.891199075786614614e-01
7.816770496475353269e+00 2.405823478621831324e-01
8.789643129125595422e+00 1.984127376904782913e-01
9.883644667371136450e+00 1.634748462091328847e-01
1.111371275920141954e+01 1.333707187206023548e-01
1.249688608916859600e+01 1.075878812893347192e-01
1.405214737097487365e+01 8.591126866271903140e-02
1.580098694393393011e+01 6.722087036331125809e-02
1.776749661006755687e+01 5.300417998792217311e-02
1.997859333679484450e+01 4.151537763556834015e-02
2.246490762718929446e+01 3.199108632850089506e-02
2.526051367612490495e+01 2.461457146506385030e-02
2.840400238000164279e+01 1.842091273861834466e-02
