# r, xi(r)
1.063907685130510261e+00 3.841266840341244659e+00
1.196351086933074237e+00 3.287060747649513281e+00
1.345277939022664793e+00 2.809822998807685046e+00
1.512747837585872057e+00 2.389738607484506172e+00
1.701062193011032786e+00 2.039571619736272989e+00
1.912797140591320000e+00 1.740572459729703425e+00
2.150898700985338863e+00 1.481062540871443733e+00
2.418643557182897030e+00 1.265772130300641507e+00
2.719700510929710990e+00 1.075343146114235537e+00
3.058228967346759308e+00 9.134625267611242716e-01
3.438895331705745573e+00 7.784933969715683855e-01
3.866937848786073939e+00 6.593829816325504911e-01
4.348253937588139273e+00 5.584745604076777337e-01
4.889469044983838053e+00 4.697066229510205027e-01
5.498031000654249212e+00 3.968549856081211580e-01
6.182336339690752247e+00 3.326183275207064138e-01
6.951781992723579329e+00 2.787367365684898513e-01
7.817018369402213729e+00 2.318227029104888981e-01
8.789895223455326700e+00 1.912534343092322509e-01
9.883871866951659868e+00 1.575027943782478790e-01
1.111394730970393319e+01 1.280021028295985630e-01
1.249709639164980501e+01 1.038868751194335083e-01
1.405237113349200762e+01 8.314584557909920903e-02
1.580120082455667685e+01 6.490716759427517246e-02
1.776771983631449103e+01 5.183476607596126939e-02
1.997875821466734436e+01 4.073355218433305502e-02
2.246505551556790081e+01 3.137181555356516327e-02
2.526066231137403761e+01 2.426353355486443597e-02
2.840413036136568081e+01 1.803871784614163865e-02
