# ix, iy, iz, dm, h1fid, h1new, lum, uv
1 0 4 1.41960e+06 8.87457e+10 8.60889e+10 2.29954e+11 1.87244e+12
1 0 5 1.22188e+06 6.12767e+10 5.71486e+10 8.85122e+12 2.07003e+12
1 0 6 1.04943e+06 3.90233e+10 3.89808e+10 1.18806e+11 1.73702e+12
1 0 7 1.21943e+06 6.01680e+10 6.02882e+10 1.60545e+11 1.71587e+12
1 1 0 1.32910e+06 7.46742e+10 7.43427e+10 4.14602e+11 1.73612e+12
1 1 1 1.30164e+06 6.94641e+10 6.93709e+10 1.94250e+11 1.73172e+12
1 1 2 1.60007e+06 1.19680e+11 1.18082e+11 9.66199e+11 1.77477e+12
1 1 3 1.43986e+06 8.96026e+10 8.90503e+10 2.89837e+11 1.75341e+12
1 1 4 1.27092e+06 6.59087e+10 6.55178e+10 2.77567e+11 1.74769e+12
1 1 5 1.31486e+06 7.46667e+10 7.39655e+10 4.13357e+11 1.75806e+12
1 1 6 1.29688e+06 7.28661e+10 7.28702e+10 1.99960e+11 1.72401e+12
1 1 7 1.26616e+06 6.84422e+10 6.85090e+10 2.07668e+11 1.71713e+12
1 2 0 1.10361e+06 4.68394e+10 4.66746e+10 3.38024e+11 1.73666e+12
1 2 1 1.43509e+06 9.31601e+10 9.07721e+10 1.02682e+12 1.78528e+12
1 2 2 1.35890e+06 7.84871e+10 7.82083e+10 3.29320e+11 1.73869e+12
1 2 3 1.19538e+06 5.72043e+10 5.71306e+10 2.05445e+11 1.72998e+12
1 2 4 1.40235e+06 8.44223e+10 8.38946e+10 3.49506e+11 1.74378e+12
1 2 5 1.17485e+06 5.72874e+10 5.69137e+10 2.74966e+11 1.74174e+12
1 2 6 1.27968e+06 6.81897e+10 6.80091e+10 1.85433e+11 1.73651e+12
1 2 7 1.17271e+06 5.39675e+10 5.40676e+10 1.21087e+11 1.71885e+12
1 3 0 1.33925e+06 7.69688e+10 7.50009e+10 1.13277e+12 1.82126e+12
1 3 1 1.30249e+06 7.00275e+10 6.95364e+10 1.79611e+11 1.75468e+12
1 3 2 1.12154e+06 4.65214e+10 4.63633e+10 4.27029e+11 1.73350e+12
1 3 3 1.27887e+06 6.69447e+10 6.64296e+10 6.11047e+11 1.74067e+12
1 3 4 1.48519e+06 1.01396e+11 1.00764e+11 3.28646e+11 1.75099e+12
1 3 5 1.39564e+06 8.58176e+10 8.53677e+10 2.35348e+11 1.74977e+12
1 3 6 1.27732e+06 6.77088e+10 6.72611e+10 2.92303e+11 1.76766e+12
1 3 7 1.23766e+06 6.21637e+10 6.17927e+10 1.83538e+11 1.75218e+12
1 4 0 1.33887e+06 7.60424e+10 7.55560e+10 2.82254e+11 1.75017e+12
1 4 1 1.32573e+06 7.63097e+10 7.56897e+10 4.21197e+11 1.75580e+12
1 4 2 1.29965e+06 6.89380e+10 6.86862e+10 2.52083e+11 1.74152e+12
