     z         OmHI     b1           SN   fsat
  6.00   7.9751e-06   4.33   4.3594e+01   0.17
  5.50   1.1041e-05   4.03   4.3533e+01   0.19
  5.00   1.5034e-05   3.72   4.3621e+01   0.20
  4.50   2.0693e-05   3.41   4.3236e+01   0.25
  4.00   2.8608e-05   3.10   4.2933e+01   0.32
  3.50   3.8145e-05   2.77   4.2760e+01   0.38
  3.00   5.0176e-05   2.45   4.2443e+01   0.47
  2.50   6.4430e-05   2.11   4.1772e+01   0.55
  2.00   8.0829e-05   1.79   4.0424e+01   0.62
