# z, OmHI, nbar
5.99790e+00 9.99439e-07 1.04388e-01
5.50195e+00 1.29541e-06 1.06333e-01
4.99880e+00 1.65611e-06 1.05164e-01
4.50055e+00 2.14897e-06 1.00573e-01
4.00000e+00 2.85279e-06 9.10904e-02
3.50045e+00 3.82177e-06 7.69237e-02
3.00000e+00 5.18752e-06 5.69309e-02
2.50018e+00 6.76682e-06 3.47671e-02
2.00030e+00 8.50981e-06 1.70075e-02
