#        k    p_h_pos  p_h1_mass   p_hp_h1m   p_hp_h1m
   0.00920     2.76942e+05     6.43565e+07     2.98659e+06     1.81168e+06
   0.01534     3.09918e+06     2.65962e+07    -2.40245e+05    -4.54190e+05
   0.02148     1.11358e+06     3.60748e+06     3.91939e+05     1.18250e+05
   0.02761     8.88144e+05     3.43399e+06     4.35536e+04     6.03578e+04
   0.03375     8.74759e+05     2.04294e+06     1.37613e+05    -4.35922e+03
   0.03988     3.44909e+05     6.25861e+05    -8.69781e+04    -2.94708e+04
   0.04602     2.94319e+05     4.69027e+05     9.48498e+04     1.92808e+04
   0.05216     2.37068e+05     2.97336e+05     3.13312e+04     8.50778e+03
   0.05829     1.17776e+05     2.06298e+05     2.65007e+04     7.48621e+03
   0.06443     6.98334e+04     1.68814e+05     8.22176e+03     4.60956e+03
   0.07056     6.33154e+04     1.77027e+05     1.20176e+04     5.18943e+03
   0.07670     3.36416e+04     1.17781e+05     1.33969e+04     9.48489e+03
   0.08283     1.77629e+04     9.87053e+04     4.93637e+03     5.26532e+03
   0.08897     1.29229e+04     6.91453e+04     1.12900e+03     1.54394e+03
   0.09511     8.25700e+03     5.15313e+04     3.99469e+03     4.41283e+03
   0.10124     6.14678e+03     4.24752e+04     3.12960e+03     3.37392e+03
   0.10738     5.60119e+03     4.13918e+04     3.22562e+03     3.46466e+03
   0.11351     5.92459e+03     3.91798e+04     2.38167e+03     2.24620e+03
   0.11965     6.29366e+03     4.07789e+04     2.37749e+03     2.69402e+03
   0.12579     6.69545e+03     4.24754e+04     2.51464e+03     3.66893e+03
   0.13192     7.40136e+03     3.74748e+04     2.38735e+03     3.00141e+03
   0.13806     5.66252e+03     3.41316e+04     2.02422e+03     2.78136e+03
   0.14419     4.57230e+03     3.25706e+04     2.85607e+03     3.02130e+03
   0.15033     4.99067e+03     3.17364e+04     2.10612e+03     2.17314e+03
   0.15647     3.81063e+03     3.04549e+04     2.21059e+03     2.22220e+03
   0.16260     3.09478e+03     2.95271e+04     1.50906e+03     1.80930e+03
   0.16874     3.36752e+03     2.94053e+04     1.50450e+03     1.63159e+03
   0.17487     2.56390e+03     2.77985e+04     1.33619e+03     1.49095e+03
   0.18101     2.21819e+03     2.45245e+04     1.35332e+03     1.40928e+03
   0.18715     1.85882e+03     2.20821e+04     1.27941e+03     1.46841e+03
   0.19328     1.70126e+03     2.02822e+04     1.29920e+03     1.75719e+03
   0.19942     1.62089e+03     1.92427e+04     1.38338e+03     1.68640e+03
   0.20555     1.57403e+03     1.86709e+04     1.20068e+03     1.57849e+03
   0.21169     1.55236e+03     1.81795e+04     1.07145e+03     1.38080e+03
   0.21783     1.42245e+03     1.76670e+04     9.74916e+02     1.15361e+03
   0.22396     1.43385e+03     1.70216e+04     9.80752e+02     1.17635e+03
   0.23010     1.59769e+03     1.62253e+04     9.51595e+02     1.12157e+03
   0.23623     1.42857e+03     1.59896e+04     9.84661e+02     1.08910e+03
   0.24237     1.32300e+03     1.52418e+04     1.00924e+03     1.11127e+03
   0.24850     1.45235e+03     1.46284e+04     9.53356e+02     1.05699e+03
   0.25464     1.18599e+03     1.38949e+04     9.03436e+02     1.14688e+03
   0.26078     1.14021e+03     1.38952e+04     7.79457e+02     1.05973e+03
   0.26691     1.07865e+03     1.35499e+04     8.87551e+02     1.01481e+03
   0.27305     9.81903e+02     1.31051e+04     7.59282e+02     9.27945e+02
   0.27918     8.90574e+02     1.28300e+04     7.59144e+02     9.55406e+02
   0.28532     8.35799e+02     1.26318e+04     7.61275e+02     8.51677e+02
   0.29146     7.75583e+02     1.20970e+04     7.27115e+02     8.23548e+02
   0.29759     7.52025e+02     1.13824e+04     7.05324e+02     9.50224e+02
   0.30373     7.09768e+02     1.10379e+04     7.00112e+02     8.82997e+02
   0.30986     7.06154e+02     1.05920e+04     6.41675e+02     7.21533e+02
   0.31600     6.85237e+02     1.03121e+04     6.39621e+02     7.33177e+02
   0.32214     7.20954e+02     1.01391e+04     6.36681e+02     7.27938e+02
   0.32827     6.99340e+02     9.67964e+03     6.29804e+02     7.55569e+02
   0.33441     6.60525e+02     9.48336e+03     5.69424e+02     6.86270e+02
   0.34054     6.60574e+02     9.11712e+03     5.65322e+02     6.13617e+02
   0.34668     6.96256e+02     8.80437e+03     5.57151e+02     6.09265e+02
   0.35282     6.24997e+02     8.80518e+03     5.56184e+02     6.34158e+02
   0.35895     5.80859e+02     8.47519e+03     5.30984e+02     5.75395e+02
   0.36509     6.00899e+02     8.28031e+03     5.09255e+02     5.47975e+02
   0.37122     5.39060e+02     8.02165e+03     4.91198e+02     5.40479e+02
   0.37736     5.17088e+02     7.92408e+03     4.66036e+02     5.54570e+02
   0.38350     4.90823e+02     7.74065e+03     4.86101e+02     5.58969e+02
   0.38963     4.72727e+02     7.56816e+03     4.76329e+02     5.48282e+02
   0.39577     4.75059e+02     7.32196e+03     4.63438e+02     5.16490e+02
   0.40190     4.47861e+02     7.14618e+03     4.37887e+02     4.72315e+02
   0.40804     4.40541e+02     7.06049e+03     4.33678e+02     4.92357e+02
   0.41417     4.40480e+02     6.87355e+03     4.24978e+02     4.43778e+02
   0.42031     4.31883e+02     6.83947e+03     4.21086e+02     4.48735e+02
   0.42645     4.39427e+02     6.91407e+03     4.17231e+02     4.25226e+02
   0.43258     4.18939e+02     6.85309e+03     4.15553e+02     4.38925e+02
   0.43872     4.06952e+02     6.55030e+03     4.00974e+02     4.55100e+02
   0.44485     4.18013e+02     6.44350e+03     3.95474e+02     4.40031e+02
   0.45099     3.93768e+02     6.30539e+03     3.82191e+02     4.33117e+02
   0.45713     3.79344e+02     6.24228e+03     3.68601e+02     3.88683e+02
   0.46326     3.81602e+02     6.18094e+03     3.70793e+02     3.76114e+02
   0.46940     3.63202e+02     6.15192e+03     3.74787e+02     3.91094e+02
   0.47553     3.56324e+02     6.02403e+03     3.70831e+02     4.14119e+02
   0.48167     3.38015e+02     5.91812e+03     3.45866e+02     3.42547e+02
   0.48781     3.37527e+02     5.71096e+03     3.33210e+02     3.12615e+02
   0.49394     3.34352e+02     5.69750e+03     3.32014e+02     3.49280e+02
   0.50008     3.22766e+02     5.71467e+03     3.40817e+02     3.64823e+02
   0.50621     3.17569e+02     5.66241e+03     3.32300e+02     3.62543e+02
   0.51235     3.14626e+02     5.62158e+03     3.32635e+02     3.15119e+02
   0.51849     3.15730e+02     5.53281e+03     3.23659e+02     3.60857e+02
   0.52462     3.09269e+02     5.45560e+03     3.16839e+02     3.28419e+02
   0.53076     3.05389e+02     5.25239e+03     3.15407e+02     3.19466e+02
   0.53689     3.01081e+02     5.08919e+03     3.06489e+02     3.22265e+02
   0.54303     3.04831e+02     4.99176e+03     2.96360e+02     2.76180e+02
   0.54917     2.90078e+02     4.93166e+03     2.94486e+02     2.98253e+02
   0.55530     2.86533e+02     4.87276e+03     2.98145e+02     3.20738e+02
   0.56144     2.85670e+02     4.79767e+03     2.83932e+02     2.80474e+02
   0.56757     2.71077e+02     4.79786e+03     2.82115e+02     2.67493e+02
   0.57371     2.67439e+02     4.76492e+03     2.81856e+02     2.88776e+02
   0.57984     2.60553e+02     4.71447e+03     2.76443e+02     2.84211e+02
   0.58598     2.56565e+02     4.67396e+03     2.77906e+02     2.79237e+02
   0.59212     2.53377e+02     4.59389e+03     2.69597e+02     2.49705e+02
   0.59825     2.52770e+02     4.58939e+03     2.71891e+02     2.79854e+02
   0.60439     2.47787e+02     4.53317e+03     2.62673e+02     2.49622e+02
   0.61052     2.44324e+02     4.52823e+03     2.65328e+02     2.64809e+02
   0.61666     2.44466e+02     4.46011e+03     2.60251e+02     2.60391e+02
   0.62280     2.46663e+02     4.36595e+03     2.54747e+02     2.18993e+02
   0.62893     2.39673e+02     4.29706e+03     2.53004e+02     2.38153e+02
   0.63507     2.38614e+02     4.29487e+03     2.51390e+02     2.28629e+02
   0.64120     2.38819e+02     4.23350e+03     2.50967e+02     2.37784e+02
   0.64734     2.33377e+02     4.19727e+03     2.44593e+02     2.37027e+02
   0.65348     2.28138e+02     4.12331e+03     2.38793e+02     2.31714e+02
   0.65961     2.27261e+02     4.05984e+03     2.39462e+02     2.10897e+02
   0.66575     2.21253e+02     4.04491e+03     2.33936e+02     2.21644e+02
   0.67188     2.17334e+02     3.96065e+03     2.34564e+02     2.07498e+02
   0.67802     2.13616e+02     3.93024e+03     2.30958e+02     2.04996e+02
   0.68416     2.10540e+02     3.93521e+03     2.33554e+02     2.22547e+02
   0.69029     2.07178e+02     3.89635e+03     2.29073e+02     2.16538e+02
   0.69643     2.06281e+02     3.90338e+03     2.26150e+02     2.04685e+02
   0.70256     2.04687e+02     3.91951e+03     2.28519e+02     1.86795e+02
   0.70870     2.01405e+02     3.87790e+03     2.23855e+02     2.03566e+02
   0.71484     2.01380e+02     3.84791e+03     2.25861e+02     1.91796e+02
   0.72097     2.00850e+02     3.83834e+03     2.23149e+02     2.12510e+02
   0.72711     1.97622e+02     3.78036e+03     2.20716e+02     1.95721e+02
   0.73324     1.95663e+02     3.71839e+03     2.14772e+02     1.80084e+02
   0.73938     1.95387e+02     3.65578e+03     2.10855e+02     1.72712e+02
   0.74551     1.92477e+02     3.60521e+03     2.09448e+02     1.73730e+02
   0.75165     1.91561e+02     3.55354e+03     2.10985e+02     1.72741e+02
   0.75779     1.90090e+02     3.49697e+03     2.04163e+02     1.68661e+02
   0.76392     1.87113e+02     3.47368e+03     2.04692e+02     1.77912e+02
   0.77006     1.84189e+02     3.47346e+03     2.01537e+02     1.67526e+02
   0.77619     1.82308e+02     3.43580e+03     2.01300e+02     1.78483e+02
