#        k    p_h_pos  p_h1_mass   p_hp_h1m   p_hp_h1m
   0.51849     3.56404e+02     5.53488e+03     3.64771e+02     3.95280e+02
   0.52462     3.58355e+02     5.46815e+03     3.56854e+02     3.83785e+02
   0.53076     3.43321e+02     5.26761e+03     3.54094e+02     4.00346e+02
   0.53689     3.47183e+02     5.10451e+03     3.45252e+02     3.63512e+02
   0.54303     3.34431e+02     5.03031e+03     3.34917e+02     3.76297e+02
   0.54917     3.37139e+02     4.98996e+03     3.34495e+02     3.38071e+02
   0.55530     3.25173e+02     4.92917e+03     3.36948e+02     3.60667e+02
   0.56144     3.28826e+02     4.86587e+03     3.24018e+02     3.42735e+02
   0.56757     3.10438e+02     4.86484e+03     3.23035e+02     3.44860e+02
   0.57371     3.06615e+02     4.83190e+03     3.22356e+02     3.44222e+02
   0.57984     2.96400e+02     4.78135e+03     3.09963e+02     3.08389e+02
   0.58598     2.91705e+02     4.74286e+03     3.10786e+02     3.39407e+02
   0.59212     2.90202e+02     4.66844e+03     3.13041e+02     2.98276e+02
   0.59825     2.86874e+02     4.66133e+03     3.03871e+02     2.87900e+02
   0.60439     2.85720e+02     4.60286e+03     3.02918e+02     3.05908e+02
   0.61052     2.82464e+02     4.55553e+03     2.96852e+02     3.24240e+02
   0.61666     2.81660e+02     4.48505e+03     2.94975e+02     2.89075e+02
   0.62280     2.83121e+02     4.40229e+03     2.91837e+02     2.69245e+02
   0.62893     2.77625e+02     4.33301e+03     2.91223e+02     3.02954e+02
   0.63507     2.75704e+02     4.34825e+03     2.88300e+02     2.86066e+02
   0.64120     2.66992e+02     4.29836e+03     2.88937e+02     2.76629e+02
   0.64734     2.67852e+02     4.24329e+03     2.77938e+02     2.78829e+02
   0.65348     2.62352e+02     4.16473e+03     2.73856e+02     2.53099e+02
   0.65961     2.62603e+02     4.08516e+03     2.69210e+02     2.36569e+02
   0.66575     2.53542e+02     4.08726e+03     2.71449e+02     2.47915e+02
   0.67188     2.49841e+02     4.01949e+03     2.66787e+02     2.52970e+02
   0.67802     2.44874e+02     3.97882e+03     2.60912e+02     2.45660e+02
   0.68416     2.42234e+02     3.98098e+03     2.62934e+02     2.70607e+02
   0.69029     2.39439e+02     3.94573e+03     2.57937e+02     2.51751e+02
   0.69643     2.37063e+02     3.95830e+03     2.58040e+02     2.47199e+02
   0.70256     2.35213e+02     3.96108e+03     2.55980e+02     2.31055e+02
   0.70870     2.34667e+02     3.94174e+03     2.55590e+02     2.39660e+02
