# k, P(k), Nmodes
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
8.691056022563805813e-03 3.067705537070422906e+03 2.600000000000000000e+01
1.503254434404273886e-02 3.612882048146907891e+03 7.200000000000000000e+01
2.104537904654678673e-02 3.519445431721374916e+03 1.520000000000000000e+02
2.718418752217394846e-02 3.146535223473081714e+03 2.340000000000000000e+02
3.359305548768203725e-02 2.694634056638805305e+03 4.160000000000000000e+02
3.967812110980351720e-02 2.292298730861320109e+03 4.800000000000000000e+02
4.573133090443888549e-02 1.989136740260886199e+03 7.220000000000000000e+02
5.186912300623527233e-02 1.792642285437276541e+03 8.740000000000000000e+02
5.807971256735403043e-02 1.675403115361352093e+03 1.162000000000000000e+03
6.422094742881356844e-02 1.535909724922092437e+03 1.358000000000000000e+03
7.029194303550849454e-02 1.442923833602498462e+03 1.632000000000000000e+03
7.656976085866129544e-02 1.307601284867178038e+03 2.036000000000000000e+03
8.283279975513359317e-02 1.163694645097546754e+03 2.310000000000000000e+03
8.886264192081894109e-02 1.021907668302076559e+03 2.528000000000000000e+03
9.493524398572131262e-02 8.986028148616109092e+02 3.068000000000000000e+03
1.010510809291368245e-01 8.144013246971107947e+02 3.306000000000000000e+03
1.071918355362574127e-01 7.392734571007524664e+02 3.934000000000000000e+03
1.133640700251744293e-01 6.961401803038413618e+02 4.266000000000000000e+03
1.195184611122857843e-01 6.617597411202403919e+02 4.794000000000000000e+03
1.256657517103361710e-01 6.394833450281428213e+02 5.270000000000000000e+03
1.317871926578333408e-01 6.105060281863685532e+02 5.754000000000000000e+03
1.378887696062481294e-01 5.636723614988443387e+02 6.344000000000000000e+03
1.440612672229828750e-01 5.256939259319944995e+02 7.014000000000000000e+03
1.501845201433902877e-01 4.772128362629952107e+02 7.364000000000000000e+03
1.563418093457785985e-01 4.362125958641632906e+02 8.402000000000000000e+03
1.625438955957596576e-01 4.032547448177921297e+02 8.738000000000000000e+03
1.686940235306336466e-01 3.822359155514433269e+02 9.670000000000000000e+03
1.747987378343396903e-01 3.605253783086306498e+02 9.880000000000000000e+03
1.809057159377772395e-01 3.428769393295028181e+02 1.113000000000000000e+04
1.870079494254630881e-01 3.333773386056253116e+02 1.140000000000000000e+04
1.931644028143169878e-01 3.239736621255757996e+02 1.272200000000000000e+04
1.993257601852206906e-01 3.045401998455744774e+02 1.317000000000000000e+04
2.054762598507901550e-01 2.873935332454270792e+02 1.418600000000000000e+04
2.116257382464896697e-01 2.715757340584921167e+02 1.495800000000000000e+04
2.177578654451892970e-01 2.554572859861020220e+02 1.580200000000000000e+04
2.238991135097555263e-01 2.369884619482658366e+02 1.674600000000000000e+04
2.300081978121491233e-01 2.293144551684488874e+02 1.753400000000000000e+04
2.361454707693454169e-01 2.185534584672983556e+02 1.869000000000000000e+04
2.422857100963227428e-01 2.085526551519201348e+02 1.958600000000000000e+04
2.484099584913142256e-01 2.042322218705315322e+02 2.052400000000000000e+04
2.545441957051269855e-01 1.967086117310312261e+02 2.165200000000000000e+04
2.606917133414053955e-01 1.886916815405433852e+02 2.276000000000000000e+04
2.668580198415695381e-01 1.801862959230864192e+02 2.389200000000000000e+04
2.730019564931540632e-01 1.732777810806413186e+02 2.485400000000000000e+04
2.791389873202678173e-01 1.663481554403004736e+02 2.604000000000000000e+04
2.852424996643880273e-01 1.598119278825413687e+02 2.680400000000000000e+04
2.913531997893986092e-01 1.520398020166431650e+02 2.850000000000000000e+04
2.975143171497069416e-01 1.455551388832195414e+02 2.956400000000000000e+04
3.036544665973567314e-01 1.411877909016668013e+02 3.083400000000000000e+04
3.097883787544665757e-01 1.369797569250216327e+02 3.189000000000000000e+04
3.159486680635095190e-01 1.322601665937499433e+02 3.376600000000000000e+04
3.221066234444813769e-01 1.289297218461223054e+02 3.446400000000000000e+04
3.282572612915165555e-01 1.236403685553503067e+02 3.622000000000000000e+04
3.343544383171894174e-01 1.197197948631921207e+02 3.667000000000000000e+04
3.404813620364756654e-01 1.152293861692354398e+02 3.911400000000000000e+04
3.466259536752008263e-01 1.120366608227878658e+02 3.989800000000000000e+04
3.527314914776840671e-01 1.075758388678956834e+02 4.126400000000000000e+04
3.588700951741782830e-01 1.044566923860142680e+02 4.332000000000000000e+04
3.650083489029407047e-01 1.011662734297833879e+02 4.418400000000000000e+04
3.711704037116136945e-01 9.964388693836929178e+01 4.654800000000000000e+04
