# k, P(k), Nmodes
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
8.691056022563805813e-03 3.901745781232153604e+03 2.600000000000000000e+01
1.503254434404273886e-02 4.707725303208330843e+03 7.200000000000000000e+01
2.104537904654678673e-02 4.501626568982248500e+03 1.520000000000000000e+02
2.718418752217394846e-02 4.021293944814740371e+03 2.340000000000000000e+02
3.359305548768203725e-02 3.431400583398382423e+03 4.160000000000000000e+02
3.967812110980351720e-02 2.910690439587658148e+03 4.800000000000000000e+02
4.573133090443888549e-02 2.549065320561286171e+03 7.220000000000000000e+02
5.186912300623527233e-02 2.267824591333089757e+03 8.740000000000000000e+02
5.807971256735403043e-02 2.125033128470201973e+03 1.162000000000000000e+03
6.422094742881356844e-02 1.954266808430989613e+03 1.358000000000000000e+03
7.029194303550849454e-02 1.846488078321717694e+03 1.632000000000000000e+03
7.656976085866129544e-02 1.653496462398919448e+03 2.036000000000000000e+03
8.283279975513359317e-02 1.482183880276168566e+03 2.310000000000000000e+03
8.886264192081894109e-02 1.289039206076137134e+03 2.528000000000000000e+03
9.493524398572131262e-02 1.142211051544240036e+03 3.068000000000000000e+03
1.010510809291368245e-01 1.028815592770245985e+03 3.306000000000000000e+03
1.071918355362574127e-01 9.397462043852465285e+02 3.934000000000000000e+03
1.133640700251744293e-01 8.771442776349862243e+02 4.266000000000000000e+03
1.195184611122857843e-01 8.324121905681063254e+02 4.794000000000000000e+03
1.256657517103361710e-01 8.059136841700707237e+02 5.270000000000000000e+03
1.317871926578333408e-01 7.610061251746056996e+02 5.754000000000000000e+03
1.378887696062481294e-01 7.057243443187589946e+02 6.344000000000000000e+03
1.440612672229828750e-01 6.612176467138840508e+02 7.014000000000000000e+03
1.501845201433902877e-01 5.978049894245516498e+02 7.364000000000000000e+03
1.563418093457785985e-01 5.510619824230006998e+02 8.402000000000000000e+03
1.625438955957596576e-01 5.076934706611828574e+02 8.738000000000000000e+03
1.686940235306336466e-01 4.846501818916167963e+02 9.670000000000000000e+03
1.747987378343396903e-01 4.551318263786030229e+02 9.880000000000000000e+03
1.809057159377772395e-01 4.338574095447354466e+02 1.113000000000000000e+04
1.870079494254630881e-01 4.185362246295824207e+02 1.140000000000000000e+04
1.931644028143169878e-01 4.082394362329960131e+02 1.272200000000000000e+04
1.993257601852206906e-01 3.818125007231113841e+02 1.317000000000000000e+04
2.054762598507901550e-01 3.580429810682348943e+02 1.418600000000000000e+04
2.116257382464896697e-01 3.410361238318364485e+02 1.495800000000000000e+04
2.177578654451892970e-01 3.221479050007229716e+02 1.580200000000000000e+04
2.238991135097555263e-01 2.968976999826496694e+02 1.674600000000000000e+04
2.300081978121491233e-01 2.896666327560389504e+02 1.753400000000000000e+04
2.361454707693454169e-01 2.763764306719110095e+02 1.869000000000000000e+04
2.422857100963227428e-01 2.611825424229351142e+02 1.958600000000000000e+04
2.484099584913142256e-01 2.568997704548618799e+02 2.052400000000000000e+04
2.545441957051269855e-01 2.482885386563189627e+02 2.165200000000000000e+04
2.606917133414053955e-01 2.363368219314676253e+02 2.276000000000000000e+04
2.668580198415695381e-01 2.258284138187657391e+02 2.389200000000000000e+04
2.730019564931540632e-01 2.162675771819448869e+02 2.485400000000000000e+04
2.791389873202678173e-01 2.096814013866914763e+02 2.604000000000000000e+04
2.852424996643880273e-01 2.022291016817536047e+02 2.680400000000000000e+04
2.913531997893986092e-01 1.909525476722911321e+02 2.850000000000000000e+04
2.975143171497069416e-01 1.835500373655460464e+02 2.956400000000000000e+04
3.036544665973567314e-01 1.775465014788461815e+02 3.083400000000000000e+04
3.097883787544665757e-01 1.727132494057211431e+02 3.189000000000000000e+04
3.159486680635095190e-01 1.665762972989956268e+02 3.376600000000000000e+04
3.221066234444813769e-01 1.616963650174439522e+02 3.446400000000000000e+04
3.282572612915165555e-01 1.561241501662187545e+02 3.622000000000000000e+04
3.343544383171894174e-01 1.497954944547212222e+02 3.667000000000000000e+04
3.404813620364756654e-01 1.452802550787554594e+02 3.911400000000000000e+04
3.466259536752008263e-01 1.411610886055794083e+02 3.989800000000000000e+04
