     z         OmHI     b1           SN   fsat
  6.00   7.7852e-06   4.27   2.9632e+01   0.00
  5.50   1.0830e-05   3.90   2.8001e+01   0.00
  5.00   1.4722e-05   3.54   2.7440e+01   0.00
  4.50   2.0120e-05   3.20   2.7643e+01   0.00
  4.00   2.7393e-05   2.89   2.9346e+01   0.00
  3.50   3.5984e-05   2.58   3.2976e+01   0.00
  3.00   4.6673e-05   2.30   3.9749e+01   0.00
  2.50   5.9440e-05   2.05   5.1612e+01   0.00
  2.00   7.5176e-05   1.81   7.2969e+01   0.00
