     z         OmHI     b1           SN   fsat
  6.00   7.7850e-06   4.36   2.9854e+01   0.00
  5.50   1.0827e-05   3.98   2.8343e+01   0.00
  5.00   1.4717e-05   3.62   2.7807e+01   0.00
  4.50   2.0113e-05   3.27   2.7854e+01   0.00
  4.00   2.7382e-05   2.95   2.9564e+01   0.00
  3.50   3.5973e-05   2.64   3.3284e+01   0.00
  3.00   4.6655e-05   2.36   3.9573e+01   0.00
  2.50   5.9400e-05   2.09   5.1885e+01   0.00
  2.00   7.5130e-05   1.85   7.3034e+01   0.00
