# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 2.5466e+02 4.2067e-04 -2.0175e-04 5.4914e+02 3.1310e+01 -2.5052e-04 9.1933e+00 1.7610e-03 1.5484e-03 1.1708e-03 2.4508e+01 1.6334e+01 0.0000e+00 0.0000e+00
1.1775e-03 2.9604e+02 6.8930e-04 -3.2453e-04 6.1558e+02 1.1222e+02 -3.4452e-04 9.1931e+00 2.4432e-03 2.1462e-03 1.6181e-03 2.4505e+01 1.6331e+01 0.0000e+00 0.0000e+00
1.3865e-03 3.4377e+02 1.1221e-03 -5.2122e-04 7.0514e+02 1.9714e+02 -4.7236e-04 9.1930e+00 3.3904e-03 2.9737e-03 2.2337e-03 2.4501e+01 1.6325e+01 0.0000e+00 0.0000e+00
1.6326e-03 3.9858e+02 1.8158e-03 -8.3533e-04 8.1325e+02 2.8618e+02 -6.4497e-04 9.1928e+00 4.7060e-03 4.1177e-03 3.0791e-03 2.4495e+01 1.6318e+01 0.0000e+00 0.0000e+00
1.9224e-03 4.6118e+02 2.9221e-03 -1.3350e-03 9.3607e+02 3.7944e+02 -8.7565e-04 9.1925e+00 6.5342e-03 5.6958e-03 4.2362e-03 2.4487e+01 1.6308e+01 0.0000e+00 0.0000e+00
2.2636e-03 5.3212e+02 4.6772e-03 -2.1253e-03 1.0749e+03 4.7695e+02 -1.1795e-03 9.1920e+00 9.0764e-03 7.8662e-03 5.8134e-03 2.4476e+01 1.6294e+01 0.0000e+00 0.0000e+00
2.6654e-03 6.1175e+02 7.4457e-03 -3.3668e-03 1.2306e+03 5.7866e+02 -1.5716e-03 9.1914e+00 1.2614e-02 1.0837e-02 7.9513e-03 2.4461e+01 1.6275e+01 0.0000e+00 0.0000e+00
3.1386e-03 7.0010e+02 1.1784e-02 -5.2998e-03 1.4040e+03 6.8443e+02 -2.0618e-03 9.1906e+00 1.7543e-02 1.4874e-02 1.0829e-02 2.4440e+01 1.6249e+01 0.0000e+00 0.0000e+00
3.6957e-03 7.9692e+02 1.8533e-02 -8.2778e-03 1.5950e+03 7.9396e+02 -2.6453e-03 9.1895e+00 2.4417e-02 2.0306e-02 1.4665e-02 2.4410e+01 1.6214e+01 0.0000e+00 0.0000e+00
4.3517e-03 9.0161e+02 2.8937e-02 -1.2810e-02 1.8025e+03 9.0670e+02 -3.2824e-03 9.1879e+00 3.4015e-02 2.7506e-02 1.9716e-02 2.4370e+01 1.6167e+01 0.0000e+00 0.0000e+00
5.1241e-03 1.0130e+03 4.4807e-02 -1.9608e-02 2.0242e+03 1.0218e+03 -3.8623e-03 9.1858e+00 4.7436e-02 3.6853e-02 2.6260e-02 2.4315e+01 1.6103e+01 0.0000e+00 0.0000e+00
6.0336e-03 1.1290e+03 6.8706e-02 -2.9627e-02 2.2559e+03 1.1379e+03 -4.1391e-03 9.1828e+00 6.6227e-02 4.8639e-02 3.4558e-02 2.4241e+01 1.6017e+01 0.0000e+00 0.0000e+00
7.1046e-03 1.2461e+03 1.0415e-01 -4.4074e-02 2.4909e+03 1.2528e+03 -3.6217e-03 9.1788e+00 9.2566e-02 6.2914e-02 4.4782e-02 2.4139e+01 1.5905e+01 0.0000e+00 0.0000e+00
8.3657e-03 1.3600e+03 1.5575e-01 -6.4367e-02 2.7199e+03 1.3636e+03 -1.3964e-03 9.1732e+00 1.2950e-01 7.9280e-02 5.6896e-02 2.4003e+01 1.5758e+01 0.0000e+00 0.0000e+00
9.8506e-03 1.4649e+03 2.2922e-01 -9.1963e-02 2.9305e+03 1.4656e+03 4.1448e-03 9.1656e+00 1.8127e-01 9.6667e-02 7.0479e-02 2.3820e+01 1.5568e+01 0.0000e+00 0.0000e+00
1.1599e-02 1.5532e+03 3.3105e-01 -1.2798e-01 3.1077e+03 1.5525e+03 1.5689e-02 9.1552e+00 2.5365e-01 1.1314e-01 8.4505e-02 2.3579e+01 1.5329e+01 0.0000e+00 0.0000e+00
1.3658e-02 1.6164e+03 4.6753e-01 -1.7259e-01 3.2341e+03 1.6159e+03 3.7474e-02 9.1411e+00 3.5434e-01 1.2563e-01 9.7118e-02 2.3265e+01 1.5031e+01 0.0000e+00 0.0000e+00
