# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 7.2533e+02 3.2810e-03 -1.6368e-03 1.5029e+03 8.9179e+01 -2.0325e-03 7.4586e+01 1.4288e-02 1.2562e-02 9.4991e-03 1.9884e+02 1.3252e+02 0.0000e+00 0.0000e+00
1.1775e-03 8.4321e+02 5.3796e-03 -2.6329e-03 1.7386e+03 3.1963e+02 -2.7951e-03 7.4585e+01 1.9822e-02 1.7412e-02 1.3128e-02 1.9881e+02 1.3249e+02 0.0000e+00 0.0000e+00
1.3865e-03 9.7915e+02 8.7609e-03 -4.2286e-03 2.0085e+03 5.6151e+02 -3.8323e-03 7.4584e+01 2.7507e-02 2.4126e-02 1.8122e-02 1.9878e+02 1.3245e+02 0.0000e+00 0.0000e+00
1.6326e-03 1.1353e+03 1.4181e-02 -6.7771e-03 2.3164e+03 8.1515e+02 -5.2326e-03 7.4582e+01 3.8180e-02 3.3407e-02 2.4981e-02 1.9873e+02 1.3239e+02 0.0000e+00 0.0000e+00
1.9224e-03 1.3136e+03 2.2824e-02 -1.0830e-02 2.6662e+03 1.0808e+03 -7.1041e-03 7.4579e+01 5.3012e-02 4.6210e-02 3.4368e-02 1.9867e+02 1.3231e+02 0.0000e+00 0.0000e+00
2.2636e-03 1.5156e+03 3.6533e-02 -1.7242e-02 3.0615e+03 1.3585e+03 -9.5695e-03 7.4576e+01 7.3637e-02 6.3817e-02 4.7163e-02 1.9858e+02 1.3220e+02 0.0000e+00 0.0000e+00
2.6654e-03 1.7424e+03 5.8154e-02 -2.7314e-02 3.5052e+03 1.6482e+03 -1.2750e-02 7.4571e+01 1.0234e-01 8.7917e-02 6.4508e-02 1.9845e+02 1.3204e+02 0.0000e+00 0.0000e+00
3.1386e-03 1.9941e+03 9.2031e-02 -4.2996e-02 3.9991e+03 1.9495e+03 -1.6727e-02 7.4564e+01 1.4233e-01 1.2067e-01 8.7850e-02 1.9828e+02 1.3183e+02 0.0000e+00 0.0000e+00
3.6957e-03 2.2698e+03 1.4471e-01 -6.7155e-02 4.5430e+03 2.2615e+03 -2.1461e-02 7.4554e+01 1.9809e-01 1.6473e-01 1.1897e-01 1.9804e+02 1.3154e+02 0.0000e+00 0.0000e+00
4.3517e-03 2.5679e+03 2.2591e-01 -1.0392e-01 5.1341e+03 2.5826e+03 -2.6629e-02 7.4542e+01 2.7595e-01 2.2314e-01 1.5994e-01 1.9771e+02 1.3116e+02 0.0000e+00 0.0000e+00
5.1241e-03 2.8852e+03 3.4971e-01 -1.5906e-01 5.7656e+03 2.9105e+03 -3.1333e-02 7.4524e+01 3.8483e-01 2.9895e-01 2.1302e-01 1.9726e+02 1.3064e+02 0.0000e+00 0.0000e+00
6.0336e-03 3.2153e+03 5.3606e-01 -2.4033e-01 6.4253e+03 3.2411e+03 -3.3578e-02 7.4499e+01 5.3726e-01 3.9454e-01 2.8033e-01 1.9665e+02 1.2994e+02 0.0000e+00 0.0000e+00
7.1046e-03 3.5486e+03 8.1224e-01 -3.5750e-01 7.0945e+03 3.5686e+03 -2.9381e-02 7.4465e+01 7.5090e-01 5.1029e-01 3.6324e-01 1.9583e+02 1.2902e+02 0.0000e+00 0.0000e+00
8.3657e-03 3.8726e+03 1.2140e+00 -5.2206e-01 7.7465e+03 3.8841e+03 -1.1334e-02 7.4419e+01 1.0505e+00 6.4297e-01 4.6147e-01 1.9471e+02 1.2783e+02 0.0000e+00 0.0000e+00
