# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 1.2395e+02 1.0075e-04 -4.7803e-05 2.6194e+02 1.5241e+01 -5.9359e-05 2.1783e+00 4.1727e-04 3.6687e-04 2.7742e-04 5.8071e+00 3.8704e+00 0.0000e+00 0.0000e+00
1.1775e-03 1.4410e+02 1.6505e-04 -7.6896e-05 2.9835e+02 5.4624e+01 -8.1632e-05 2.1783e+00 5.7891e-04 5.0853e-04 3.8340e-04 5.8064e+00 3.8694e+00 0.0000e+00 0.0000e+00
1.3865e-03 1.6734e+02 2.6864e-04 -1.2350e-04 3.3728e+02 9.5961e+01 -1.1192e-04 2.1782e+00 8.0334e-04 7.0461e-04 5.2927e-04 5.8054e+00 3.8682e+00 0.0000e+00 0.0000e+00
1.6326e-03 1.9402e+02 4.3470e-04 -1.9793e-04 3.9663e+02 1.3931e+02 -1.5282e-04 2.1782e+00 1.1151e-03 9.7567e-04 7.2957e-04 5.8040e+00 3.8665e+00 0.0000e+00 0.0000e+00
1.9224e-03 2.2449e+02 6.9954e-04 -3.1631e-04 4.5912e+02 1.8470e+02 -2.0748e-04 2.1781e+00 1.5482e-03 1.3496e-03 1.0037e-03 5.8021e+00 3.8641e+00 0.0000e+00 0.0000e+00
2.2636e-03 2.5902e+02 1.1197e-03 -5.0358e-04 5.2108e+02 2.3216e+02 -2.7948e-04 2.1780e+00 2.1506e-03 1.8639e-03 1.3775e-03 5.7995e+00 3.8608e+00 0.0000e+00 0.0000e+00
2.6654e-03 2.9778e+02 1.7825e-03 -7.9775e-04 5.9743e+02 2.8167e+02 -3.7238e-04 2.1779e+00 2.9889e-03 2.5677e-03 1.8840e-03 5.7958e+00 3.8563e+00 0.0000e+00 0.0000e+00
3.1386e-03 3.4079e+02 2.8212e-03 -1.2558e-03 6.8343e+02 3.3316e+02 -4.8854e-04 2.1777e+00 4.1568e-03 3.5244e-03 2.5658e-03 5.7908e+00 3.8502e+00 0.0000e+00 0.0000e+00
3.6957e-03 3.8792e+02 4.4371e-03 -1.9614e-03 7.7639e+02 3.8647e+02 -6.2679e-04 2.1774e+00 5.7854e-03 4.8114e-03 3.4747e-03 5.7839e+00 3.8419e+00 0.0000e+00 0.0000e+00
4.3517e-03 4.3889e+02 6.9283e-03 -3.0353e-03 8.7742e+02 4.4136e+02 -7.7775e-04 2.1770e+00 8.0597e-03 6.5175e-03 4.6716e-03 5.7745e+00 3.8306e+00 0.0000e+00 0.0000e+00
5.1241e-03 4.9313e+02 1.0729e-02 -4.6461e-03 9.8535e+02 4.9738e+02 -9.1518e-04 2.1765e+00 1.1240e-02 8.7324e-03 6.2223e-03 5.7615e+00 3.8155e+00 0.0000e+00 0.0000e+00
