# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 1.3701e+02 1.2294e-04 -5.8397e-05 2.9010e+02 1.6845e+01 -7.2513e-05 2.6610e+00 5.0974e-04 4.4818e-04 3.3890e-04 7.0940e+00 4.7280e+00 0.0000e+00 0.0000e+00
1.1775e-03 1.5927e+02 2.0142e-04 -9.3936e-05 3.2990e+02 6.0374e+01 -9.9722e-05 2.6610e+00 7.0721e-04 6.2122e-04 4.6836e-04 7.0931e+00 4.7269e+00 0.0000e+00 0.0000e+00
1.3865e-03 1.8495e+02 3.2784e-04 -1.5087e-04 3.7209e+02 1.0606e+02 -1.3673e-04 2.6609e+00 9.8136e-04 8.6075e-04 6.4656e-04 7.0919e+00 4.7254e+00 0.0000e+00 0.0000e+00
1.6326e-03 2.1444e+02 5.3049e-04 -2.4179e-04 4.3847e+02 1.5397e+02 -1.8669e-04 2.6609e+00 1.3622e-03 1.1919e-03 8.9125e-04 7.0902e+00 4.7233e+00 0.0000e+00 0.0000e+00
1.9224e-03 2.4812e+02 8.5368e-04 -3.8641e-04 5.0785e+02 2.0414e+02 -2.5346e-04 2.6608e+00 1.8913e-03 1.6487e-03 1.2262e-03 7.0879e+00 4.7204e+00 0.0000e+00 0.0000e+00
2.2636e-03 2.8629e+02 1.3664e-03 -6.1518e-04 5.7568e+02 2.5660e+02 -3.4142e-04 2.6607e+00 2.6272e-03 2.2769e-03 1.6827e-03 7.0847e+00 4.7164e+00 0.0000e+00 0.0000e+00
2.6654e-03 3.2913e+02 2.1753e-03 -9.7454e-04 6.6209e+02 3.1132e+02 -4.5490e-04 2.6605e+00 3.6513e-03 3.1368e-03 2.3016e-03 7.0802e+00 4.7109e+00 0.0000e+00 0.0000e+00
3.1386e-03 3.7666e+02 3.4429e-03 -1.5341e-03 7.5537e+02 3.6823e+02 -5.9681e-04 2.6603e+00 5.0779e-03 4.3054e-03 3.1344e-03 7.0741e+00 4.7035e+00 0.0000e+00 0.0000e+00
3.6957e-03 4.2875e+02 5.4147e-03 -2.3961e-03 8.5812e+02 4.2715e+02 -7.6570e-04 2.6599e+00 7.0675e-03 5.8777e-03 4.2448e-03 7.0657e+00 4.6933e+00 0.0000e+00 0.0000e+00
4.3517e-03 4.8508e+02 8.4549e-03 -3.7079e-03 9.6978e+02 4.8781e+02 -9.5010e-04 2.6595e+00 9.8458e-03 7.9618e-03 5.7069e-03 7.0541e+00 4.6795e+00 0.0000e+00 0.0000e+00
5.1241e-03 5.4504e+02 1.3093e-02 -5.6757e-03 1.0891e+03 5.4974e+02 -1.1180e-03 2.6589e+00 1.3731e-02 1.0668e-02 7.6012e-03 7.0383e+00 4.6610e+00 0.0000e+00 0.0000e+00
6.0336e-03 6.0744e+02 2.0078e-02 -8.5760e-03 1.2137e+03 6.1218e+02 -1.1981e-03 2.6580e+00 1.9170e-02 1.4079e-02 1.0003e-02 7.0167e+00 4.6363e+00 0.0000e+00 0.0000e+00
7.1046e-03 6.7044e+02 3.0438e-02 -1.2758e-02 1.3401e+03 6.7404e+02 -1.0483e-03 2.6568e+00 2.6794e-02 1.8212e-02 1.2963e-02 6.9874e+00 4.6037e+00 0.0000e+00 0.0000e+00
8.3657e-03 7.3173e+02 4.5524e-02 -1.8632e-02 1.4633e+03 7.3362e+02 -4.0415e-04 2.6552e+00 3.7486e-02 2.2950e-02 1.6470e-02 6.9479e+00 4.5612e+00 0.0000e+00 0.0000e+00
9.8506e-03 7.8818e+02 6.7011e-02 -2.6621e-02 1.5767e+03 7.8851e+02 1.2000e-03 2.6531e+00 5.2472e-02 2.7984e-02 2.0403e-02 6.8951e+00 4.5065e+00 0.0000e+00 0.0000e+00
1.1599e-02 8.3576e+02 9.6801e-02 -3.7050e-02 1.6720e+03 8.3526e+02 4.5421e-03 2.6501e+00 7.3427e-02 3.2755e-02 2.4464e-02 6.8255e+00 4.4372e+00 0.0000e+00 0.0000e+00
1.3658e-02 8.6981e+02 1.3674e-01 -4.9966e-02 1.7400e+03 8.6932e+02 1.0849e-02 2.6460e+00 1.0258e-01 3.6375e-02 2.8117e-02 6.7346e+00 4.3512e+00 0.0000e+00 0.0000e+00
1.6082e-02 8.8509e+02 1.8807e-01 -6.4876e-02 1.7705e+03 8.8516e+02 2.1929e-02 2.6405e+00 1.4276e-01 3.7459e-02 3.0554e-02 6.6179e+00 4.2463e+00 0.0000e+00 0.0000e+00
1.8937e-02 8.7655e+02 2.5060e-01 -8.0449e-02 1.7536e+03 8.7715e+02 4.0220e-02 2.6331e+00 1.9735e-01 3.4014e-02 3.0742e-02 6.4709e+00 4.1212e+00 0.0000e+00 0.0000e+00
2.2298e-02 8.4061e+02 3.2182e-01 -9.4368e-02 1.6820e+03 8.4132e+02 6.8649e-02 2.6231e+00 2.6997e-01 2.3988e-02 2.7599e-02 6.2895e+00 3.9747e+00 0.0000e+00 0.0000e+00
2.6256e-02 7.7716e+02 3.9646e-01 -1.0358e-01 1.5553e+03 7.7780e+02 1.1017e-01 2.6098e+00 3.6382e-01 6.2124e-03 2.0297e-02 6.0705e+00 3.8063e+00 0.0000e+00 0.0000e+00
