# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
5.9435e-02 1.0889e+04 3.1083e+02 -5.1419e+01 2.3195e+04 1.2307e+04 4.5665e+02 2.1291e+03 9.8584e+02 -1.8212e+02 -7.3948e+01 3.7498e+03 2.3069e+03 0.0000e+00 0.0000e+00
6.9985e-02 9.4177e+03 3.1385e+02 -3.0497e+01 2.0442e+04 1.1050e+04 5.7374e+02 2.0588e+03 1.1663e+03 -2.4435e+02 -1.0640e+02 3.3397e+03 2.0776e+03 0.0000e+00 0.0000e+00
8.2407e-02 7.4859e+03 2.8409e+02 3.8232e+00 1.6672e+04 9.2379e+03 6.9598e+02 1.9727e+03 1.3414e+03 -3.0233e+02 -1.3627e+02 2.9318e+03 1.8530e+03 0.0000e+00 0.0000e+00
9.7035e-02 5.5184e+03 2.3158e+02 3.7484e+01 1.2709e+04 7.2714e+03 7.8922e+02 1.8705e+03 1.4736e+03 -3.4228e+02 -1.5606e+02 2.5387e+03 1.6336e+03 0.0000e+00 0.0000e+00
1.1426e-01 4.3154e+03 1.8407e+02 5.2742e+01 1.0269e+04 6.0883e+03 8.4416e+02 1.7533e+03 1.5551e+03 -3.6912e+02 -1.6862e+02 2.1607e+03 1.4256e+03 0.0000e+00 0.0000e+00
1.3454e-01 3.4822e+03 1.3040e+02 6.0458e+01 8.5601e+03 5.2847e+03 8.8716e+02 1.6230e+03 1.6109e+03 -3.9095e+02 -1.7805e+02 1.8073e+03 1.2345e+03 0.0000e+00 0.0000e+00
1.5842e-01 2.5250e+03 6.7976e+01 6.6068e+01 6.4856e+03 4.2149e+03 8.9659e+02 1.4820e+03 1.6156e+03 -3.9608e+02 -1.7788e+02 1.4938e+03 1.0586e+03 0.0000e+00 0.0000e+00
1.8654e-01 1.9094e+03 6.3550e+00 5.8320e+01 5.0748e+03 3.4909e+03 8.6146e+02 1.3345e+03 1.5616e+03 -3.8689e+02 -1.6989e+02 1.2172e+03 8.9949e+02 0.0000e+00 0.0000e+00
2.1965e-01 1.3985e+03 -5.0654e+01 4.4528e+01 3.8426e+03 2.8279e+03 8.0294e+02 1.1845e+03 1.4710e+03 -3.6914e+02 -1.5734e+02 9.7936e+02 7.5750e+02 0.0000e+00 0.0000e+00
2.5864e-01 1.0163e+03 -1.0145e+02 2.6203e+01 2.8521e+03 2.2741e+03 7.1602e+02 1.0360e+03 1.3412e+03 -3.4203e+02 -1.4032e+02 7.7842e+02 6.3170e+02 0.0000e+00 0.0000e+00
3.0455e-01 7.2122e+02 -1.4084e+02 6.1316e+00 2.0380e+03 1.7922e+03 6.1285e+02 8.9277e+02 1.1867e+03 -3.0908e+02 -1.2112e+02 6.1100e+02 5.2131e+02 0.0000e+00 0.0000e+00
3.5861e-01 5.0093e+02 -1.6744e+02 -1.2485e+01 1.3905e+03 1.3834e+03 5.0068e+02 7.5759e+02 1.0169e+03 -2.7189e+02 -1.0105e+02 4.7310e+02 4.2525e+02 0.0000e+00 0.0000e+00
4.2226e-01 3.3746e+02 -1.7854e+02 -2.6744e+01 8.8768e+02 1.0375e+03 3.8827e+02 6.3264e+02 8.4234e+02 -2.3223e+02 -8.1339e+01 3.6072e+02 3.4238e+02 0.0000e+00 0.0000e+00
4.9721e-01 2.1894e+02 -1.7364e+02 -3.4609e+01 5.1624e+02 7.5112e+02 2.8387e+02 5.1942e+02 6.7270e+02 -1.9180e+02 -6.3002e+01 2.7017e+02 2.7160e+02 0.0000e+00 0.0000e+00
5.8547e-01 1.3587e+02 -1.5464e+02 -3.5524e+01 2.6185e+02 5.2209e+02 1.9436e+02 4.1882e+02 5.1668e+02 -1.5245e+02 -4.6816e+01 1.9823e+02 2.1193e+02 0.0000e+00 0.0000e+00
6.8939e-01 8.0295e+01 -1.2618e+02 -3.0805e+01 1.0550e+02 3.4741e+02 1.2408e+02 3.3133e+02 3.8108e+02 -1.1613e+02 -3.3306e+01 1.4217e+02 1.6245e+02 0.0000e+00 0.0000e+00
8.1176e-01 4.5199e+01 -9.4556e+01 -2.3166e+01 2.2896e+01 2.2161e+02 7.3879e+01 2.5700e+02 2.7002e+02 -8.4601e+01 -2.2688e+01 9.9537e+01 1.2224e+02 0.0000e+00 0.0000e+00
9.5585e-01 2.4376e+01 -6.5582e+01 -1.5426e+01 -1.1935e+01 1.3631e+02 4.1287e+01 1.9545e+02 1.8434e+02 -5.9017e+01 -1.4843e+01 6.8060e+01 9.0325e+01 0.0000e+00 0.0000e+00
1.1255e+00 1.2723e+01 -4.2663e+01 -9.3208e+00 -2.1086e+01 8.1581e+01 2.1904e+01 1.4583e+02 1.2186e+02 -3.9604e+01 -9.3785e+00 4.5533e+01 6.5614e+01 0.0000e+00 0.0000e+00
1.3253e+00 6.5029e+00 -2.6452e+01 -5.2488e+00 -1.9354e+01 4.7954e+01 1.1178e+01 1.0690e+02 7.8478e+01 -2.5740e+01 -5.7634e+00 2.9890e+01 4.6933e+01 0.0000e+00 0.0000e+00
1.5605e+00 3.2876e+00 -1.5870e+01 -2.8233e+00 -1.4569e+01 2.7899e+01 5.5518e+00 7.7107e+01 4.9530e+01 -1.6319e+01 -3.4687e+00 1.9315e+01 3.3116e+01 0.0000e+00 0.0000e+00
1.8375e+00 1.6563e+00 -9.3230e+00 -1.4782e+00 -9.9624e+00 1.6152e+01 2.7055e+00 5.4826e+01 3.0792e+01 -1.0157e+01 -2.0565e+00 1.2323e+01 2.3092e+01 0.0000e+00 0.0000e+00
2.1637e+00 8.3549e-01 -5.4081e+00 -7.6319e-01 -6.4527e+00 9.3364e+00 1.2996e+00 3.8495e+01 1.8931e+01 -6.2378e+00 -1.2066e+00 7.7830e+00 1.5938e+01 0.0000e+00 0.0000e+00
2.5478e+00 4.2316e-01 -3.1148e+00 -3.9174e-01 -4.0439e+00 5.3984e+00 6.1629e-01 2.6732e+01 1.1545e+01 -3.7943e+00 -7.0302e-01 4.8763e+00 1.0902e+01 0.0000e+00 0.0000e+00
3.0000e+00 2.1552e-01 -1.7875e+00 -2.0091e-01 -2.4818e+00 3.1257e+00 2.8819e-01 1.8385e+01 6.9991e+00 -2.2923e+00 -4.0770e-01 3.0357e+00 7.3994e+00 0.0000e+00 0.0000e+00
