# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
5.9435e-02 3.7320e+02 6.9819e-01 -4.5591e-02 7.4852e+02 3.7475e+02 5.1201e-01 2.2187e+00 1.0710e+00 -1.9066e-01 -8.0020e-02 3.9577e+00 2.4256e+00 0.0000e+00 0.0000e+00
6.9985e-02 3.2941e+02 7.8814e-01 -1.5095e-02 6.6131e+02 3.3124e+02 6.6186e-01 2.1596e+00 1.2919e+00 -2.6095e-01 -1.1824e-01 3.5513e+00 2.1987e+00 0.0000e+00 0.0000e+00
8.2407e-02 2.6625e+02 8.1232e-01 3.8326e-02 5.3523e+02 2.6827e+02 8.3226e-01 2.0863e+00 1.5231e+00 -3.2980e-01 -1.5604e-01 3.1434e+00 1.9754e+00 0.0000e+00 0.0000e+00
9.7035e-02 1.9691e+02 7.6501e-01 9.8679e-02 3.9661e+02 1.9898e+02 9.8348e-01 1.9979e+00 1.7203e+00 -3.7953e-01 -1.8388e-01 2.7473e+00 1.7549e+00 0.0000e+00 0.0000e+00
1.1426e-01 1.5678e+02 7.6406e-01 1.3878e-01 3.1648e+02 1.5895e+02 1.1007e+00 1.8949e+00 1.8704e+00 -4.1508e-01 -2.0485e-01 2.3589e+00 1.5432e+00 0.0000e+00 0.0000e+00
1.3454e-01 1.3228e+02 7.9661e-01 1.7820e-01 2.6770e+02 1.3461e+02 1.2268e+00 1.7784e+00 2.0148e+00 -4.5027e-01 -2.2606e-01 1.9863e+00 1.3483e+00 0.0000e+00 0.0000e+00
1.5842e-01 9.4233e+01 7.0737e-01 2.2707e-01 1.9148e+02 9.6481e+01 1.3279e+00 1.6490e+00 2.1133e+00 -4.6496e-01 -2.3602e-01 1.6527e+00 1.1663e+00 0.0000e+00 0.0000e+00
1.8654e-01 7.4013e+01 6.7864e-01 2.4946e-01 1.5102e+02 7.6247e+01 1.3686e+00 1.5103e+00 2.1352e+00 -4.5918e-01 -2.3527e-01 1.3517e+00 9.9974e-01 0.0000e+00 0.0000e+00
2.1965e-01 5.4326e+01 6.0817e-01 2.7284e-01 1.1151e+02 5.6459e+01 1.3970e+00 1.3653e+00 2.1292e+00 -4.4604e-01 -2.3022e-01 1.0890e+00 8.5049e-01 0.0000e+00 0.0000e+00
2.5864e-01 4.1177e+01 5.5527e-01 2.7834e-01 8.5059e+01 4.3198e+01 1.3717e+00 1.2180e+00 2.0566e+00 -4.1650e-01 -2.1625e-01 8.6503e-01 7.1708e-01 0.0000e+00 0.0000e+00
3.0455e-01 2.9520e+01 4.7919e-01 2.7735e-01 6.1502e+01 3.1363e+01 1.3199e+00 1.0720e+00 1.9477e+00 -3.8061e-01 -1.9849e-01 6.7816e-01 5.9947e-01 0.0000e+00 0.0000e+00
3.5861e-01 2.1502e+01 4.1564e-01 2.6716e-01 4.5230e+01 2.3171e+01 1.2406e+00 9.3097e-01 1.8052e+00 -3.3974e-01 -1.7776e-01 5.2475e-01 4.9711e-01 0.0000e+00 0.0000e+00
4.2226e-01 1.5539e+01 3.5516e-01 2.5008e-01 3.3053e+01 1.7022e+01 1.1398e+00 7.9798e-01 1.6387e+00 -2.9646e-01 -1.5546e-01 4.0139e-01 4.0880e-01 0.0000e+00 0.0000e+00
4.9721e-01 1.1129e+01 2.9886e-01 2.2849e-01 2.3982e+01 1.2425e+01 1.0264e+00 6.7532e-01 1.4596e+00 -2.5373e-01 -1.3320e-01 3.0378e-01 3.3342e-01 0.0000e+00 0.0000e+00
5.8547e-01 7.9218e+00 2.4832e-01 2.0434e-01 1.7325e+01 9.0369e+00 9.0739e-01 5.6455e-01 1.2776e+00 -2.1347e-01 -1.1207e-01 2.2768e-01 2.6976e-01 0.0000e+00 0.0000e+00
6.8939e-01 5.6051e+00 2.0385e-01 1.7925e-01 1.2466e+01 6.5512e+00 7.8880e-01 4.6647e-01 1.1004e+00 -1.7689e-01 -9.2760e-02 1.6916e-01 2.1654e-01 0.0000e+00 0.0000e+00
8.1176e-01 3.9495e+00 1.6566e-01 1.5459e-01 8.9496e+00 4.7423e+00 6.7531e-01 3.8119e-01 9.3386e-01 -1.4459e-01 -7.5655e-02 1.2470e-01 1.7250e-01 0.0000e+00 0.0000e+00
9.5585e-01 2.7732e+00 1.3338e-01 1.3139e-01 6.4155e+00 3.4298e+00 5.7024e-01 3.0829e-01 7.8191e-01 -1.1678e-01 -6.0905e-02 9.1292e-02 1.3642e-01 0.0000e+00 0.0000e+00
1.1255e+00 1.9419e+00 1.0651e-01 1.1030e-01 4.5955e+00 2.4803e+00 4.7561e-01 2.4693e-01 6.4674e-01 -9.3360e-02 -4.8470e-02 6.6428e-02 1.0713e-01 0.0000e+00 0.0000e+00
1.3253e+00 1.3570e+00 8.4429e-02 9.1581e-02 3.2913e+00 1.7944e+00 3.9235e-01 1.9602e-01 5.2907e-01 -7.3979e-02 -3.8184e-02 4.8085e-02 8.3582e-02 0.0000e+00 0.0000e+00
1.5605e+00 9.4689e-01 6.6485e-02 7.5288e-02 2.3584e+00 1.2993e+00 3.2049e-01 1.5433e-01 4.2853e-01 -5.8197e-02 -2.9818e-02 3.4652e-02 6.4807e-02 0.0000e+00 0.0000e+00
1.8375e+00 6.6021e-01 5.2049e-02 6.1328e-02 1.6915e+00 9.4220e-01 2.5955e-01 1.2059e-01 3.4405e-01 -4.5495e-02 -2.3108e-02 2.4878e-02 4.9963e-02 0.0000e+00 0.0000e+00
2.1637e+00 4.6019e-01 4.0530e-02 4.9546e-02 1.2149e+00 6.8441e-01 2.0858e-01 9.3576e-02 2.7406e-01 -3.5371e-02 -1.7791e-02 1.7807e-02 3.8315e-02 0.0000e+00 0.0000e+00
2.5478e+00 3.2083e-01 3.1409e-02 3.9749e-02 8.7402e-01 4.9815e-01 1.6651e-01 7.2165e-02 2.1679e-01 -2.7398e-02 -1.3621e-02 1.2716e-02 2.9241e-02 0.0000e+00 0.0000e+00
3.0000e+00 2.2381e-01 2.4233e-02 3.1688e-02 6.3004e-01 3.6338e-01 1.3215e-01 5.5342e-02 1.7043e-01 -2.1181e-02 -1.0379e-02 9.0640e-03 2.2219e-02 0.0000e+00 0.0000e+00
