# k[h/Mpc]   Q1   Q2    Q3    Q5    Q8     Qs2    
# 
1.0000e-04 4.1591e-07 -1.0237e-07 1.5686e-07 1.5676e-07 9.0751e-03 1.8149e-02
1.0093e-04 4.3146e-07 -1.0619e-07 1.6273e-07 1.6263e-07 9.2439e-03 1.8487e-02
1.0186e-04 4.4760e-07 -1.1014e-07 1.6883e-07 1.6872e-07 9.4159e-03 1.8830e-02
1.0280e-04 4.6434e-07 -1.1425e-07 1.7515e-07 1.7504e-07 9.5910e-03 1.9181e-02
1.0375e-04 4.8170e-07 -1.1850e-07 1.8171e-07 1.8159e-07 9.7694e-03 1.9537e-02
1.0472e-04 4.9972e-07 -1.2292e-07 1.8851e-07 1.8839e-07 9.9511e-03 1.9901e-02
1.0568e-04 5.1840e-07 -1.2750e-07 1.9557e-07 1.9544e-07 1.0136e-02 2.0271e-02
1.0666e-04 5.3779e-07 -1.3224e-07 2.0290e-07 2.0276e-07 1.0325e-02 2.0648e-02
1.0765e-04 5.5789e-07 -1.3717e-07 2.1049e-07 2.1035e-07 1.0517e-02 2.1032e-02
1.0865e-04 5.7875e-07 -1.4228e-07 2.1837e-07 2.1823e-07 1.0712e-02 2.1423e-02
1.0965e-04 6.0039e-07 -1.4757e-07 2.2655e-07 2.2640e-07 1.0912e-02 2.1822e-02
1.1067e-04 6.2284e-07 -1.5307e-07 2.3503e-07 2.3487e-07 1.1115e-02 2.2227e-02
1.1169e-04 6.4612e-07 -1.5877e-07 2.4383e-07 2.4367e-07 1.1321e-02 2.2641e-02
1.1273e-04 6.7028e-07 -1.6468e-07 2.5296e-07 2.5279e-07 1.1532e-02 2.3062e-02
1.1377e-04 6.9533e-07 -1.7081e-07 2.6243e-07 2.6225e-07 1.1746e-02 2.3491e-02
1.1482e-04 7.2132e-07 -1.7716e-07 2.7226e-07 2.7207e-07 1.1965e-02 2.3928e-02
1.1589e-04 7.4829e-07 -1.8376e-07 2.8245e-07 2.8225e-07 1.2187e-02 2.4373e-02
1.1696e-04 7.7626e-07 -1.9060e-07 2.9303e-07 2.9282e-07 1.2414e-02 2.4826e-02
1.1804e-04 8.0527e-07 -1.9769e-07 3.0400e-07 3.0378e-07 1.2645e-02 2.5288e-02
1.1913e-04 8.3537e-07 -2.0505e-07 3.1538e-07 3.1515e-07 1.2880e-02 2.5758e-02
1.2024e-04 8.6659e-07 -2.1267e-07 3.2718e-07 3.2694e-07 1.3120e-02 2.6237e-02
1.2135e-04 8.9897e-07 -2.2059e-07 3.3943e-07 3.3918e-07 1.3364e-02 2.6725e-02
1.2247e-04 9.3257e-07 -2.2879e-07 3.5214e-07 3.5187e-07 1.3612e-02 2.7222e-02
1.2361e-04 9.6741e-07 -2.3730e-07 3.6532e-07 3.6504e-07 1.3866e-02 2.7728e-02
1.2475e-04 1.0036e-06 -2.4613e-07 3.7899e-07 3.7870e-07 1.4124e-02 2.8244e-02
1.2591e-04 1.0411e-06 -2.5528e-07 3.9318e-07 3.9287e-07 1.4386e-02 2.8769e-02
1.2707e-04 1.0800e-06 -2.6478e-07 4.0789e-07 4.0758e-07 1.4654e-02 2.9304e-02
1.2825e-04 1.1203e-06 -2.7462e-07 4.2316e-07 4.2283e-07 1.4926e-02 2.9850e-02
1.2944e-04 1.1622e-06 -2.8483e-07 4.3900e-07 4.3865e-07 1.5204e-02 3.0405e-02
1.3063e-04 1.2056e-06 -2.9542e-07 4.5543e-07 4.5506e-07 1.5487e-02 3.0970e-02
1.3184e-04 1.2506e-06 -3.0641e-07 4.7247e-07 4.7209e-07 1.5775e-02 3.1546e-02
1.3306e-04 1.2973e-06 -3.1780e-07 4.9015e-07 4.8975e-07 1.6068e-02 3.2133e-02
1.3430e-04 1.3458e-06 -3.2961e-07 5.0850e-07 5.0808e-07 1.6367e-02 3.2730e-02
1.3554e-04 1.3961e-06 -3.4186e-07 5.2752e-07 5.2709e-07 1.6672e-02 3.3339e-02
1.3679e-04 1.4482e-06 -3.5456e-07 5.4726e-07 5.4681e-07 1.6982e-02 3.3959e-02
1.3806e-04 1.5023e-06 -3.6774e-07 5.6774e-07 5.6726e-07 1.7298e-02 3.4591e-02
1.3934e-04 1.5584e-06 -3.8140e-07 5.8899e-07 5.8848e-07 1.7619e-02 3.5234e-02
1.4063e-04 1.6166e-06 -3.9557e-07 6.1103e-07 6.1050e-07 1.7947e-02 3.5889e-02
1.4193e-04 1.6770e-06 -4.1027e-07 6.3389e-07 6.3334e-07 1.8281e-02 3.6557e-02
1.4324e-04 1.7396e-06 -4.2551e-07 6.5760e-07 6.5703e-07 1.8621e-02 3.7237e-02
