# k[h/Mpc]   Q1   Q2    Q3    Q5    Q8     Qs2    
# 
1.6600e-04 2.8361e-06 -6.9143e-07 1.0734e-06 1.0723e-06 2.2682e-02 4.5356e-02
1.6754e-04 2.9419e-06 -7.1707e-07 1.1135e-06 1.1124e-06 2.3104e-02 4.6199e-02
1.6909e-04 3.0516e-06 -7.4366e-07 1.1552e-06 1.1540e-06 2.3534e-02 4.7058e-02
1.7065e-04 3.1655e-06 -7.7123e-07 1.1984e-06 1.1971e-06 2.3971e-02 4.7933e-02
1.7223e-04 3.2835e-06 -7.9982e-07 1.2432e-06 1.2418e-06 2.4417e-02 4.8825e-02
1.7383e-04 3.4060e-06 -8.2946e-07 1.2896e-06 1.2883e-06 2.4871e-02 4.9733e-02
1.7544e-04 3.5331e-06 -8.6020e-07 1.3379e-06 1.3364e-06 2.5334e-02 5.0658e-02
1.7706e-04 3.6648e-06 -8.9208e-07 1.3879e-06 1.3864e-06 2.5805e-02 5.1600e-02
1.7870e-04 3.8015e-06 -9.2513e-07 1.4398e-06 1.4382e-06 2.6285e-02 5.2559e-02
1.8035e-04 3.9433e-06 -9.5940e-07 1.4936e-06 1.4919e-06 2.6774e-02 5.3536e-02
1.8202e-04 4.0903e-06 -9.9494e-07 1.5494e-06 1.5477e-06 2.7272e-02 5.4532e-02
1.8371e-04 4.2429e-06 -1.0318e-06 1.6073e-06 1.6055e-06 2.7779e-02 5.5546e-02
1.8541e-04 4.4011e-06 -1.0700e-06 1.6674e-06 1.6655e-06 2.8296e-02 5.6579e-02
1.8713e-04 4.5651e-06 -1.1096e-06 1.7298e-06 1.7277e-06 2.8822e-02 5.7631e-02
1.8886e-04 4.7353e-06 -1.1507e-06 1.7944e-06 1.7923e-06 2.9358e-02 5.8703e-02
1.9061e-04 4.9119e-06 -1.1933e-06 1.8615e-06 1.8592e-06 2.9905e-02 5.9794e-02
1.9237e-04 5.0950e-06 -1.2375e-06 1.9310e-06 1.9287e-06 3.0461e-02 6.0906e-02
1.9415e-04 5.2849e-06 -1.2833e-06 2.0032e-06 2.0008e-06 3.1027e-02 6.2039e-02
1.9595e-04 5.4818e-06 -1.3308e-06 2.0781e-06 2.0755e-06 3.1604e-02 6.3192e-02
1.9776e-04 5.6862e-06 -1.3800e-06 2.1557e-06 2.1530e-06 3.2192e-02 6.4367e-02
1.9960e-04 5.8981e-06 -1.4311e-06 2.2363e-06 2.2335e-06 3.2791e-02 6.5564e-02
2.0144e-04 6.1178e-06 -1.4840e-06 2.3198e-06 2.3169e-06 3.3401e-02 6.6784e-02
2.0331e-04 6.3458e-06 -1.5389e-06 2.4065e-06 2.4034e-06 3.4022e-02 6.8025e-02
2.0519e-04 6.5823e-06 -1.5958e-06 2.4964e-06 2.4932e-06 3.4655e-02 6.9290e-02
2.0709e-04 6.8275e-06 -1.6548e-06 2.5897e-06 2.5863e-06 3.5300e-02 7.0579e-02
2.0901e-04 7.0819e-06 -1.7160e-06 2.6865e-06 2.6829e-06 3.5956e-02 7.1891e-02
2.1094e-04 7.3457e-06 -1.7794e-06 2.7868e-06 2.7831e-06 3.6625e-02 7.3228e-02
2.1289e-04 7.6193e-06 -1.8452e-06 2.8909e-06 2.8870e-06 3.7306e-02 7.4589e-02
2.1487e-04 7.9031e-06 -1.9134e-06 2.9989e-06 2.9948e-06 3.8000e-02 7.5976e-02
2.1685e-04 8.1974e-06 -1.9841e-06 3.1109e-06 3.1066e-06 3.8707e-02 7.7389e-02
2.1886e-04 8.5027e-06 -2.0574e-06 3.2271e-06 3.2226e-06 3.9427e-02 7.8828e-02
2.2089e-04 8.8194e-06 -2.1334e-06 3.3477e-06 3.3429e-06 4.0160e-02 8.0294e-02
2.2293e-04 9.1478e-06 -2.2122e-06 3.4727e-06 3.4677e-06 4.0907e-02 8.1786e-02
2.2500e-04 9.4884e-06 -2.2939e-06 3.6024e-06 3.5972e-06 4.1668e-02 8.3307e-02
