# k[h/Mpc]   R1   R2 
# 
1.0000e-04 2.1606e-04 -5.4010e-05
1.0093e-04 2.2205e-04 -5.5508e-05
1.0186e-04 2.2821e-04 -5.7047e-05
1.0280e-04 2.3453e-04 -5.8628e-05
1.0375e-04 2.4104e-04 -6.0254e-05
1.0472e-04 2.4772e-04 -6.1924e-05
1.0568e-04 2.5458e-04 -6.3640e-05
1.0666e-04 2.6164e-04 -6.5404e-05
1.0765e-04 2.6889e-04 -6.7216e-05
1.0865e-04 2.7634e-04 -6.9079e-05
1.0965e-04 2.8400e-04 -7.0994e-05
1.1067e-04 2.9188e-04 -7.2962e-05
1.1169e-04 2.9997e-04 -7.4985e-05
1.1273e-04 3.0829e-04 -7.7064e-05
1.1377e-04 3.1684e-04 -7.9201e-05
1.1482e-04 3.2562e-04 -8.1397e-05
1.1589e-04 3.3466e-04 -8.3655e-05
1.1696e-04 3.4393e-04 -8.5975e-05
1.1804e-04 3.5347e-04 -8.8358e-05
1.1913e-04 3.6327e-04 -9.0808e-05
1.2024e-04 3.7334e-04 -9.3325e-05
1.2135e-04 3.8369e-04 -9.5912e-05
1.2247e-04 3.9433e-04 -9.8570e-05
1.2361e-04 4.0526e-04 -1.0130e-04
1.2475e-04 4.1649e-04 -1.0411e-04
1.2591e-04 4.2804e-04 -1.0700e-04
1.2707e-04 4.3990e-04 -1.0996e-04
1.2825e-04 4.5210e-04 -1.1301e-04
1.2944e-04 4.6463e-04 -1.1614e-04
1.3063e-04 4.7751e-04 -1.1936e-04
1.3184e-04 4.9075e-04 -1.2267e-04
1.3306e-04 5.0435e-04 -1.2607e-04
1.3430e-04 5.1833e-04 -1.2957e-04
1.3554e-04 5.3270e-04 -1.3316e-04
1.3679e-04 5.4747e-04 -1.3685e-04
1.3806e-04 5.6264e-04 -1.4064e-04
1.3934e-04 5.7824e-04 -1.4454e-04
1.4063e-04 5.9427e-04 -1.4855e-04
1.4193e-04 6.1074e-04 -1.5266e-04
1.4324e-04 6.2767e-04 -1.5689e-04
1.4457e-04 6.4506e-04 -1.6124e-04
1.4591e-04 6.6294e-04 -1.6571e-04
1.4726e-04 6.8131e-04 -1.7030e-04
1.4862e-04 7.0019e-04 -1.7502e-04
1.5000e-04 7.1960e-04 -1.7987e-04
1.5139e-04 7.3954e-04 -1.8485e-04
1.5279e-04 7.6003e-04 -1.8998e-04
1.5420e-04 7.8109e-04 -1.9524e-04
1.5563e-04 8.0274e-04 -2.0065e-04
1.5707e-04 8.2499e-04 -2.0621e-04
1.5853e-04 8.4785e-04 -2.1192e-04
1.5999e-04 8.7134e-04 -2.1780e-04
1.6147e-04 8.9550e-04 -2.2383e-04
1.6297e-04 9.2032e-04 -2.3004e-04
1.6448e-04 9.4584e-04 -2.3641e-04
1.6600e-04 9.7206e-04 -2.4297e-04
1.6754e-04 9.9901e-04 -2.4970e-04
1.6909e-04 1.0267e-03 -2.5663e-04
1.7065e-04 1.0552e-03 -2.6374e-04
1.7223e-04 1.0844e-03 -2.7105e-04
1.7383e-04 1.1145e-03 -2.7857e-04
1.7544e-04 1.1454e-03 -2.8629e-04
1.7706e-04 1.1771e-03 -2.9422e-04
1.7870e-04 1.2098e-03 -3.0237e-04
1.8035e-04 1.2433e-03 -3.1075e-04
1.8202e-04 1.2777e-03 -3.1936e-04
1.8371e-04 1.3131e-03 -3.2821e-04
1.8541e-04 1.3495e-03 -3.3730e-04
1.8713e-04 1.3869e-03 -3.4664e-04
1.8886e-04 1.4254e-03 -3.5625e-04
1.9061e-04 1.4649e-03 -3.6612e-04
1.9237e-04 1.5055e-03 -3.7627e-04
1.9415e-04 1.5472e-03 -3.8670e-04
1.9595e-04 1.5901e-03 -3.9741e-04
1.9776e-04 1.6341e-03 -4.0843e-04
1.9960e-04 1.6794e-03 -4.1974e-04
2.0144e-04 1.7260e-03 -4.3137e-04
2.0331e-04 1.7738e-03 -4.4333e-04
2.0519e-04 1.8230e-03 -4.5561e-04
2.0709e-04 1.8735e-03 -4.6823e-04
2.0901e-04 1.9254e-03 -4.8120e-04
2.1094e-04 1.9787e-03 -4.9453e-04
2.1289e-04 2.0336e-03 -5.0823e-04
2.1487e-04 2.0899e-03 -5.2232e-04
2.1685e-04 2.1478e-03 -5.3679e-04
2.1886e-04 2.2074e-03 -5.5166e-04
2.2089e-04 2.2685e-03 -5.6695e-04
2.2293e-04 2.3314e-03 -5.8266e-04
2.2500e-04 2.3960e-03 -5.9880e-04
2.2708e-04 2.4624e-03 -6.1540e-04
2.2918e-04 2.5307e-03 -6.3244e-04
2.3130e-04 2.6008e-03 -6.4996e-04
2.3344e-04 2.6728e-03 -6.6796e-04
2.3561e-04 2.7468e-03 -6.8645e-04
2.3779e-04 2.8229e-03 -7.0546e-04
2.3999e-04 2.9011e-03 -7.2500e-04
2.4221e-04 2.9814e-03 -7.4507e-04
2.4445e-04 3.0640e-03 -7.6570e-04
2.4672e-04 3.1489e-03 -7.8691e-04
2.4900e-04 3.2361e-03 -8.0871e-04
2.5130e-04 3.3258e-03 -8.3111e-04
2.5363e-04 3.4180e-03 -8.5413e-04
2.5598e-04 3.5127e-03 -8.7780e-04
2.5835e-04 3.6100e-03 -9.0211e-04
2.6074e-04 3.7100e-03 -9.2709e-04
2.6315e-04 3.8128e-03 -9.5277e-04
2.6559e-04 3.9184e-03 -9.7915e-04
2.6805e-04 4.0269e-03 -1.0063e-03
2.7053e-04 4.1384e-03 -1.0341e-03
2.7303e-04 4.2530e-03 -1.0627e-03
2.7556e-04 4.3707e-03 -1.0922e-03
2.7811e-04 4.4918e-03 -1.1224e-03
2.8069e-04 4.6161e-03 -1.1535e-03
2.8329e-04 4.7440e-03 -1.1854e-03
2.8591e-04 4.8753e-03 -1.2182e-03
2.8856e-04 5.0103e-03 -1.2519e-03
2.9123e-04 5.1491e-03 -1.2866e-03
2.9392e-04 5.2917e-03 -1.3222e-03
2.9664e-04 5.4382e-03 -1.3588e-03
2.9939e-04 5.5888e-03 -1.3964e-03
3.0216e-04 5.7436e-03 -1.4351e-03
3.0496e-04 5.9027e-03 -1.4748e-03
3.0778e-04 6.0661e-03 -1.5156e-03
3.1063e-04 6.2341e-03 -1.5576e-03
3.1351e-04 6.4067e-03 -1.6007e-03
