# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 2.6738e+02 4.6331e-04 -2.2243e-04 5.7773e+02 3.2875e+01 -2.7620e-04 1.0136e+01 1.9416e-03 1.7071e-03 1.2908e-03 2.7020e+01 1.8009e+01 0.0000e+00 0.0000e+00
1.1775e-03 3.1084e+02 7.5917e-04 -3.5779e-04 6.4664e+02 1.1783e+02 -3.7983e-04 1.0135e+01 2.6937e-03 2.3662e-03 1.7839e-03 2.7017e+01 1.8004e+01 0.0000e+00 0.0000e+00
1.3865e-03 3.6096e+02 1.2358e-03 -5.7464e-04 7.4039e+02 2.0699e+02 -5.2078e-04 1.0135e+01 3.7379e-03 3.2785e-03 2.4627e-03 2.7012e+01 1.7999e+01 0.0000e+00 0.0000e+00
1.6326e-03 4.1851e+02 1.9998e-03 -9.2095e-04 8.5391e+02 3.0049e+02 -7.1107e-04 1.0135e+01 5.1883e-03 4.5397e-03 3.3947e-03 2.7006e+01 1.7991e+01 0.0000e+00 0.0000e+00
1.9224e-03 4.8424e+02 3.2183e-03 -1.4718e-03 9.8287e+02 3.9841e+02 -9.6540e-04 1.0135e+01 7.2039e-03 6.2797e-03 4.6704e-03 2.6997e+01 1.7980e+01 0.0000e+00 0.0000e+00
2.2636e-03 5.5873e+02 5.1514e-03 -2.3432e-03 1.1286e+03 5.0079e+02 -1.3004e-03 1.0134e+01 1.0007e-02 8.6724e-03 6.4092e-03 2.6985e+01 1.7964e+01 0.0000e+00 0.0000e+00
2.6654e-03 6.4233e+02 8.2006e-03 -3.7119e-03 1.2922e+03 6.0759e+02 -1.7327e-03 1.0134e+01 1.3907e-02 1.1948e-02 8.7663e-03 2.6968e+01 1.7943e+01 0.0000e+00 0.0000e+00
3.1386e-03 7.3511e+02 1.2979e-02 -5.8431e-03 1.4742e+03 7.1865e+02 -2.2732e-03 1.0133e+01 1.9341e-02 1.6399e-02 1.1939e-02 2.6945e+01 1.7915e+01 0.0000e+00 0.0000e+00
3.6957e-03 8.3676e+02 2.0412e-02 -9.1263e-03 1.6747e+03 8.3365e+02 -2.9164e-03 1.0131e+01 2.6919e-02 2.2387e-02 1.6168e-02 2.6912e+01 1.7876e+01 0.0000e+00 0.0000e+00
4.3517e-03 9.4669e+02 3.1870e-02 -1.4123e-02 1.8927e+03 9.5204e+02 -3.6188e-03 1.0130e+01 3.7501e-02 3.0325e-02 2.1736e-02 2.6868e+01 1.7824e+01 0.0000e+00 0.0000e+00
5.1241e-03 1.0637e+03 4.9348e-02 -2.1618e-02 2.1255e+03 1.0729e+03 -4.2582e-03 1.0127e+01 5.2298e-02 4.0630e-02 2.8951e-02 2.6808e+01 1.7753e+01 0.0000e+00 0.0000e+00
6.0336e-03 1.1855e+03 7.5670e-02 -3.2664e-02 2.3687e+03 1.1948e+03 -4.5634e-03 1.0124e+01 7.3015e-02 5.3624e-02 3.8100e-02 2.6725e+01 1.7659e+01 0.0000e+00 0.0000e+00
7.1046e-03 1.3084e+03 1.1470e-01 -4.8591e-02 2.6154e+03 1.3155e+03 -3.9929e-03 1.0120e+01 1.0205e-01 6.9362e-02 4.9372e-02 2.6614e+01 1.7535e+01 0.0000e+00 0.0000e+00
8.3657e-03 1.4280e+03 1.7153e-01 -7.0964e-02 2.8559e+03 1.4318e+03 -1.5396e-03 1.0113e+01 1.4278e-01 8.7405e-02 6.2728e-02 2.6463e+01 1.7373e+01 0.0000e+00 0.0000e+00
