# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 6.9079e+02 2.9847e-03 -1.4846e-03 1.4314e+03 8.4933e+01 -1.8435e-03 6.7652e+01 1.2959e-02 1.1394e-02 8.6159e-03 1.8035e+02 1.2020e+02 0.0000e+00 0.0000e+00
1.1775e-03 8.0306e+02 4.8936e-03 -2.3882e-03 1.6558e+03 3.0441e+02 -2.5352e-03 6.7651e+01 1.7979e-02 1.5793e-02 1.1907e-02 1.8033e+02 1.2017e+02 0.0000e+00 0.0000e+00
1.3865e-03 9.3253e+02 7.9692e-03 -3.8355e-03 1.9128e+03 5.3478e+02 -3.4760e-03 6.7649e+01 2.4949e-02 2.1883e-02 1.6437e-02 1.8030e+02 1.2013e+02 0.0000e+00 0.0000e+00
1.6326e-03 1.0812e+03 1.2899e-02 -6.1470e-03 2.2061e+03 7.7633e+02 -4.7462e-03 6.7648e+01 3.4630e-02 3.0301e-02 2.2658e-02 1.8026e+02 1.2008e+02 0.0000e+00 0.0000e+00
1.9224e-03 1.2510e+03 2.0761e-02 -9.8235e-03 2.5393e+03 1.0293e+03 -6.4437e-03 6.7645e+01 4.8083e-02 4.1914e-02 3.1173e-02 1.8020e+02 1.2001e+02 0.0000e+00 0.0000e+00
2.2636e-03 1.4435e+03 3.3231e-02 -1.5639e-02 2.9157e+03 1.2938e+03 -8.6798e-03 6.7642e+01 6.6791e-02 5.7884e-02 4.2779e-02 1.8011e+02 1.1990e+02 0.0000e+00 0.0000e+00
2.6654e-03 1.6595e+03 5.2898e-02 -2.4775e-02 3.3383e+03 1.5697e+03 -1.1565e-02 6.7638e+01 9.2826e-02 7.9743e-02 5.8511e-02 1.8000e+02 1.1977e+02 0.0000e+00 0.0000e+00
3.1386e-03 1.8991e+03 8.3713e-02 -3.8999e-02 3.8086e+03 1.8567e+03 -1.5172e-02 6.7632e+01 1.2909e-01 1.0945e-01 7.9683e-02 1.7984e+02 1.1957e+02 0.0000e+00 0.0000e+00
3.6957e-03 2.1617e+03 1.3163e-01 -6.0912e-02 4.3267e+03 2.1538e+03 -1.9465e-02 6.7623e+01 1.7967e-01 1.4942e-01 1.0791e-01 1.7963e+02 1.1931e+02 0.0000e+00 0.0000e+00
4.3517e-03 2.4456e+03 2.0549e-01 -9.4257e-02 4.8896e+03 2.4596e+03 -2.4153e-02 6.7611e+01 2.5030e-01 2.0239e-01 1.4507e-01 1.7933e+02 1.1896e+02 0.0000e+00 0.0000e+00
5.1241e-03 2.7478e+03 3.1811e-01 -1.4428e-01 5.4910e+03 2.7719e+03 -2.8420e-02 6.7595e+01 3.4905e-01 2.7116e-01 1.9322e-01 1.7893e+02 1.1849e+02 0.0000e+00 0.0000e+00
6.0336e-03 3.0623e+03 4.8764e-01 -2.1799e-01 6.1194e+03 3.0868e+03 -3.0457e-02 6.7573e+01 4.8731e-01 3.5786e-01 2.5427e-01 1.7837e+02 1.1786e+02 0.0000e+00 0.0000e+00
7.1046e-03 3.3796e+03 7.3891e-01 -3.2427e-01 6.7567e+03 3.3987e+03 -2.6650e-02 6.7542e+01 6.8110e-01 4.6286e-01 3.2948e-01 1.7762e+02 1.1703e+02 0.0000e+00 0.0000e+00
