# k[h/Mpc]   R1   R2 
# 
1.0000e-04 2.3940e-04 -5.9844e-05
1.0093e-04 2.4604e-04 -6.1504e-05
1.0186e-04 2.5286e-04 -6.3210e-05
1.0280e-04 2.5987e-04 -6.4962e-05
1.0375e-04 2.6708e-04 -6.6763e-05
1.0472e-04 2.7448e-04 -6.8613e-05
1.0568e-04 2.8209e-04 -7.0515e-05
1.0666e-04 2.8990e-04 -7.2469e-05
1.0765e-04 2.9794e-04 -7.4478e-05
1.0865e-04 3.0620e-04 -7.6542e-05
1.0965e-04 3.1469e-04 -7.8664e-05
1.1067e-04 3.2341e-04 -8.0845e-05
1.1169e-04 3.3238e-04 -8.3086e-05
1.1273e-04 3.4159e-04 -8.5390e-05
1.1377e-04 3.5107e-04 -8.7758e-05
1.1482e-04 3.6080e-04 -9.0191e-05
1.1589e-04 3.7081e-04 -9.2693e-05
1.1696e-04 3.8109e-04 -9.5263e-05
1.1804e-04 3.9166e-04 -9.7904e-05
1.1913e-04 4.0252e-04 -1.0062e-04
1.2024e-04 4.1367e-04 -1.0341e-04
1.2135e-04 4.2514e-04 -1.0627e-04
1.2247e-04 4.3693e-04 -1.0922e-04
1.2361e-04 4.4904e-04 -1.1225e-04
1.2475e-04 4.6149e-04 -1.1536e-04
1.2591e-04 4.7428e-04 -1.1856e-04
1.2707e-04 4.8743e-04 -1.2184e-04
1.2825e-04 5.0094e-04 -1.2522e-04
1.2944e-04 5.1482e-04 -1.2869e-04
1.3063e-04 5.2910e-04 -1.3226e-04
1.3184e-04 5.4377e-04 -1.3592e-04
1.3306e-04 5.5884e-04 -1.3969e-04
1.3430e-04 5.7433e-04 -1.4356e-04
1.3554e-04 5.9025e-04 -1.4754e-04
1.3679e-04 6.0661e-04 -1.5163e-04
1.3806e-04 6.2343e-04 -1.5583e-04
1.3934e-04 6.4071e-04 -1.6015e-04
1.4063e-04 6.5847e-04 -1.6459e-04
1.4193e-04 6.7672e-04 -1.6915e-04
1.4324e-04 6.9547e-04 -1.7384e-04
1.4457e-04 7.1475e-04 -1.7866e-04
1.4591e-04 7.3456e-04 -1.8361e-04
1.4726e-04 7.5492e-04 -1.8870e-04
1.4862e-04 7.7584e-04 -1.9393e-04
1.5000e-04 7.9734e-04 -1.9930e-04
1.5139e-04 8.1943e-04 -2.0482e-04
1.5279e-04 8.4214e-04 -2.1050e-04
