# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 6.5626e+02 2.7016e-03 -1.3399e-03 1.3598e+03 8.0686e+01 -1.6638e-03 6.1056e+01 1.1696e-02 1.0283e-02 7.7759e-03 1.6277e+02 1.0848e+02 0.0000e+00 0.0000e+00
1.1775e-03 7.6291e+02 4.4293e-03 -2.1553e-03 1.5730e+03 2.8919e+02 -2.2881e-03 6.1055e+01 1.6226e-02 1.4254e-02 1.0746e-02 1.6275e+02 1.0846e+02 0.0000e+00 0.0000e+00
1.3865e-03 8.8591e+02 7.2127e-03 -3.4616e-03 1.8172e+03 5.0804e+02 -3.1371e-03 6.1054e+01 2.2517e-02 1.9749e-02 1.4835e-02 1.6272e+02 1.0842e+02 0.0000e+00 0.0000e+00
1.6326e-03 1.0272e+03 1.1674e-02 -5.5477e-03 2.0958e+03 7.3752e+02 -4.2834e-03 6.1052e+01 3.1254e-02 2.7347e-02 2.0449e-02 1.6268e+02 1.0837e+02 0.0000e+00 0.0000e+00
1.9224e-03 1.1885e+03 1.8789e-02 -8.8657e-03 2.4123e+03 9.7785e+02 -5.8154e-03 6.1050e+01 4.3395e-02 3.7827e-02 2.8134e-02 1.6263e+02 1.0831e+02 0.0000e+00 0.0000e+00
2.2636e-03 1.3713e+03 3.0076e-02 -1.4115e-02 2.7700e+03 1.2291e+03 -7.8335e-03 6.1047e+01 6.0279e-02 5.2241e-02 3.8608e-02 1.6255e+02 1.0821e+02 0.0000e+00 0.0000e+00
2.6654e-03 1.5765e+03 4.7875e-02 -2.2360e-02 3.1714e+03 1.4912e+03 -1.0437e-02 6.1043e+01 8.3776e-02 7.1968e-02 5.2806e-02 1.6245e+02 1.0809e+02 0.0000e+00 0.0000e+00
3.1386e-03 1.8042e+03 7.5766e-02 -3.5197e-02 3.6182e+03 1.7638e+03 -1.3693e-02 6.1038e+01 1.1651e-01 9.8781e-02 7.1914e-02 1.6231e+02 1.0792e+02 0.0000e+00 0.0000e+00
3.6957e-03 2.0536e+03 1.1914e-01 -5.4973e-02 4.1103e+03 2.0461e+03 -1.7568e-02 6.1030e+01 1.6215e-01 1.3485e-01 9.7387e-02 1.6211e+02 1.0768e+02 0.0000e+00 0.0000e+00
4.3517e-03 2.3234e+03 1.8599e-01 -8.5068e-02 4.6452e+03 2.3367e+03 -2.1798e-02 6.1019e+01 2.2589e-01 1.8266e-01 1.3093e-01 1.6185e+02 1.0736e+02 0.0000e+00 0.0000e+00
5.1241e-03 2.6104e+03 2.8793e-01 -1.3021e-01 5.2165e+03 2.6333e+03 -2.5650e-02 6.1005e+01 3.1502e-01 2.4473e-01 1.7438e-01 1.6148e+02 1.0694e+02 0.0000e+00 0.0000e+00
6.0336e-03 2.9092e+03 4.4138e-01 -1.9674e-01 5.8134e+03 2.9324e+03 -2.7487e-02 6.0985e+01 4.3980e-01 3.2298e-01 2.2948e-01 1.6098e+02 1.0637e+02 0.0000e+00 0.0000e+00
7.1046e-03 3.2107e+03 6.6883e-01 -2.9266e-01 6.4189e+03 3.2287e+03 -2.4052e-02 6.0957e+01 6.1470e-01 4.1774e-01 2.9736e-01 1.6030e+02 1.0562e+02 0.0000e+00 0.0000e+00
8.3657e-03 3.5039e+03 9.9973e-01 -4.2738e-01 7.0089e+03 3.5142e+03 -9.2773e-03 6.0919e+01 8.5994e-01 5.2636e-01 3.7777e-01 1.5939e+02 1.0464e+02 0.0000e+00 0.0000e+00
9.8506e-03 3.7738e+03 1.4705e+00 -6.1055e-01 7.5516e+03 3.7772e+03 2.7507e-02 6.0868e+01 1.2036e+00 6.4172e-01 4.6791e-01 1.5818e+02 1.0338e+02 0.0000e+00 0.0000e+00
1.1599e-02 4.0010e+03 2.1222e+00 -8.4958e-01 8.0080e+03 4.0012e+03 1.0413e-01 6.0797e+01 1.6841e+00 7.5094e-01 5.6095e-01 1.5657e+02 1.0178e+02 0.0000e+00 0.0000e+00
1.3658e-02 4.1630e+03 2.9943e+00 -1.1455e+00 8.3331e+03 4.1646e+03 2.4868e-01 6.0701e+01 2.3523e+00 8.3362e-01 6.4455e-01 1.5447e+02 9.9799e+01 0.0000e+00 0.0000e+00
1.6082e-02 4.2349e+03 4.1121e+00 -1.4869e+00 8.4785e+03 4.2407e+03 5.0249e-01 6.0571e+01 3.2731e+00 8.5795e-01 7.0017e-01 1.5177e+02 9.7382e+01 0.0000e+00 0.0000e+00
1.8937e-02 4.1925e+03 5.4694e+00 -1.8432e+00 8.3972e+03 4.2028e+03 9.2123e-01 6.0396e+01 4.5234e+00 7.7823e-01 7.0412e-01 1.4837e+02 9.4496e+01 0.0000e+00 0.0000e+00
2.2298e-02 4.0185e+03 7.0081e+00 -2.1613e+00 8.0540e+03 4.0319e+03 1.5715e+00 6.0160e+01 6.1855e+00 5.4745e-01 6.3164e-01 1.4418e+02 9.1117e+01 0.0000e+00 0.0000e+00
2.6256e-02 3.7127e+03 8.6102e+00 -2.3714e+00 7.4469e+03 3.7286e+03 2.5200e+00 5.9845e+01 8.3314e+00 1.3900e-01 4.6386e-01 1.3912e+02 8.7233e+01 0.0000e+00 0.0000e+00
3.0917e-02 3.3020e+03 1.0129e+01 -2.4102e+00 6.6303e+03 3.3217e+03 3.8143e+00 5.9425e+01 1.1003e+01 -4.5958e-01 1.9454e-01 1.3314e+02 8.2838e+01 0.0000e+00 0.0000e+00
3.6405e-02 2.8449e+03 1.1479e+01 -2.2573e+00 5.7212e+03 2.8689e+03 5.4665e+00 5.8869e+01 1.4198e+01 -1.2346e+00 -1.7155e-01 1.2622e+02 7.7944e+01 0.0000e+00 0.0000e+00
4.2867e-02 2.4199e+03 1.2763e+01 -1.9621e+00 4.8765e+03 2.4477e+03 7.4670e+00 5.8139e+01 1.7886e+01 -2.1795e+00 -6.3582e-01 1.1832e+02 7.2599e+01 0.0000e+00 0.0000e+00
5.0475e-02 2.0910e+03 1.4293e+01 -1.6072e+00 4.2251e+03 2.1239e+03 9.8529e+00 5.7189e+01 2.2074e+01 -3.3397e+00 -1.2302e+00 1.0944e+02 6.6926e+01 0.0000e+00 0.0000e+00
5.9435e-02 1.8596e+03 1.6305e+01 -1.1791e+00 3.7704e+03 1.8986e+03 1.2791e+01 5.5971e+01 2.6868e+01 -4.8073e+00 -2.0085e+00 9.9672e+01 6.1117e+01 0.0000e+00 0.0000e+00
6.9985e-02 1.6370e+03 1.8244e+01 -4.4221e-01 3.3341e+03 1.6829e+03 1.6473e+01 5.4433e+01 3.2326e+01 -6.5620e+00 -2.9573e+00 8.9349e+01 5.5354e+01 0.0000e+00 0.0000e+00
8.2407e-02 1.3203e+03 1.8634e+01 8.3780e-01 2.7064e+03 1.3707e+03 2.0615e+01 5.2527e+01 3.7985e+01 -8.2699e+00 -3.8869e+00 7.9003e+01 4.9686e+01 0.0000e+00 0.0000e+00
9.7035e-02 9.7649e+02 1.7414e+01 2.2598e+00 2.0197e+03 1.0279e+03 2.4228e+01 5.0233e+01 4.2745e+01 -9.4971e+00 -4.5628e+00 6.8967e+01 4.4097e+01 0.0000e+00 0.0000e+00
1.1426e-01 7.7608e+02 1.7191e+01 3.1707e+00 1.6213e+03 8.2963e+02 2.6957e+01 4.7570e+01 4.6293e+01 -1.0370e+01 -5.0629e+00 5.9158e+01 3.8743e+01 0.0000e+00 0.0000e+00
1.3454e-01 6.5100e+02 1.7602e+01 4.0270e+00 1.3757e+03 7.0807e+02 2.9818e+01 4.4563e+01 4.9611e+01 -1.1217e+01 -5.5542e+00 4.9789e+01 3.3819e+01 0.0000e+00 0.0000e+00
1.5842e-01 4.6642e+02 1.5513e+01 5.0586e+00 1.0034e+03 5.2147e+02 3.1999e+01 4.1240e+01 5.1739e+01 -1.1562e+01 -5.7664e+00 4.1419e+01 2.9234e+01 0.0000e+00 0.0000e+00
1.8654e-01 3.6509e+02 1.4594e+01 5.4798e+00 7.9949e+02 4.1935e+02 3.2719e+01 3.7694e+01 5.2008e+01 -1.1424e+01 -5.7205e+00 3.3903e+01 2.5051e+01 0.0000e+00 0.0000e+00
2.1965e-01 2.6974e+02 1.2918e+01 5.8642e+00 6.0495e+02 3.2127e+02 3.3060e+01 3.4009e+01 5.1518e+01 -1.1098e+01 -5.5632e+00 2.7369e+01 2.1309e+01 0.0000e+00 0.0000e+00
