# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
5.9435e-02 6.9058e+02 2.3607e+00 -1.5747e-01 1.3884e+03 6.9590e+02 1.7554e+00 7.6225e+00 3.6750e+00 -6.5495e-01 -2.7462e-01 1.3592e+01 8.3310e+00 0.0000e+00 0.0000e+00
6.9985e-02 6.0919e+02 2.6601e+00 -5.3653e-02 1.2269e+03 6.1549e+02 2.2674e+00 7.4181e+00 4.4308e+00 -8.9590e-01 -4.0549e-01 1.2194e+01 7.5505e+00 0.0000e+00 0.0000e+00
8.2407e-02 4.9217e+02 2.7367e+00 1.2789e-01 9.9365e+02 4.9910e+02 2.8482e+00 7.1646e+00 5.2199e+00 -1.1316e+00 -5.3465e-01 1.0791e+01 6.7824e+00 0.0000e+00 0.0000e+00
9.7035e-02 3.6399e+02 2.5734e+00 3.3228e-01 7.3748e+02 3.7109e+02 3.3618e+00 6.8589e+00 5.8912e+00 -1.3017e+00 -6.2951e-01 9.4286e+00 6.0239e+00 0.0000e+00 0.0000e+00
1.1426e-01 2.8972e+02 2.5642e+00 4.6705e-01 5.8932e+02 2.9713e+02 3.7578e+00 6.5033e+00 6.3999e+00 -1.4231e+00 -7.0073e-01 8.0941e+00 5.2963e+00 0.0000e+00 0.0000e+00
1.3454e-01 2.4413e+02 2.6638e+00 5.9837e-01 4.9890e+02 2.5208e+02 4.1816e+00 6.1010e+00 6.8864e+00 -1.5428e+00 -7.7229e-01 6.8148e+00 4.6265e+00 0.0000e+00 0.0000e+00
1.5842e-01 1.7415e+02 2.3625e+00 7.6023e-01 3.5850e+02 1.8183e+02 4.5181e+00 5.6548e+00 7.2145e+00 -1.5926e+00 -8.0536e-01 5.6703e+00 4.0014e+00 0.0000e+00 0.0000e+00
1.8654e-01 1.3669e+02 2.2580e+00 8.3289e-01 2.8349e+02 1.4430e+02 4.6490e+00 5.1769e+00 7.2816e+00 -1.5731e+00 -8.0201e-01 4.6387e+00 3.4299e+00 0.0000e+00 0.0000e+00
2.1965e-01 1.0049e+02 2.0196e+00 9.0698e-01 2.1061e+02 1.0776e+02 4.7356e+00 4.6781e+00 7.2510e+00 -1.5282e+00 -7.8380e-01 3.7390e+00 2.9180e+00 0.0000e+00 0.0000e+00
2.5864e-01 7.6168e+01 1.8365e+00 9.2219e-01 1.6142e+02 8.3036e+01 4.6420e+00 4.1719e+00 6.9964e+00 -1.4285e+00 -7.3572e-01 2.9726e+00 2.4607e+00 0.0000e+00 0.0000e+00
3.0455e-01 5.4810e+01 1.5835e+00 9.1525e-01 1.1789e+02 6.1077e+01 4.4592e+00 3.6710e+00 6.6194e+00 -1.3076e+00 -6.7491e-01 2.3336e+00 2.0579e+00 0.0000e+00 0.0000e+00
3.5861e-01 4.0043e+01 1.3705e+00 8.7827e-01 8.7548e+01 4.5712e+01 4.1852e+00 3.1881e+00 6.1308e+00 -1.1701e+00 -6.0433e-01 1.8094e+00 1.7076e+00 0.0000e+00 0.0000e+00
4.2226e-01 2.9047e+01 1.1688e+00 8.1945e-01 6.4714e+01 3.4089e+01 3.8420e+00 2.7333e+00 5.5635e+00 -1.0250e+00 -5.2882e-01 1.3880e+00 1.4055e+00 0.0000e+00 0.0000e+00
4.9721e-01 2.0912e+01 9.8225e-01 7.4667e-01 4.7600e+01 2.5321e+01 3.4587e+00 2.3146e+00 4.9567e+00 -8.8188e-01 -4.5373e-01 1.0543e+00 1.1479e+00 0.0000e+00 0.0000e+00
