# k[h/Mpc]   R1   R2 
# 
3.2230e-04 8.4947e-03 -2.1223e-03
3.2528e-04 8.7298e-03 -2.1810e-03
3.2829e-04 8.9714e-03 -2.2414e-03
3.3133e-04 9.2197e-03 -2.3034e-03
3.3440e-04 9.4748e-03 -2.3671e-03
3.3749e-04 9.7371e-03 -2.4326e-03
3.4062e-04 1.0007e-02 -2.4999e-03
3.4377e-04 1.0284e-02 -2.5691e-03
3.4695e-04 1.0568e-02 -2.6402e-03
3.5016e-04 1.0861e-02 -2.7132e-03
3.5341e-04 1.1161e-02 -2.7883e-03
3.5668e-04 1.1470e-02 -2.8654e-03
3.5998e-04 1.1788e-02 -2.9447e-03
3.6331e-04 1.2114e-02 -3.0262e-03
3.6668e-04 1.2449e-02 -3.1099e-03
3.7007e-04 1.2794e-02 -3.1959e-03
3.7350e-04 1.3148e-02 -3.2843e-03
3.7695e-04 1.3511e-02 -3.3751e-03
3.8044e-04 1.3885e-02 -3.4684e-03
3.8397e-04 1.4269e-02 -3.5643e-03
3.8752e-04 1.4664e-02 -3.6628e-03
3.9111e-04 1.5070e-02 -3.7641e-03
3.9473e-04 1.5486e-02 -3.8681e-03
3.9838e-04 1.5915e-02 -3.9751e-03
4.0207e-04 1.6355e-02 -4.0850e-03
4.0579e-04 1.6808e-02 -4.1980e-03
4.0955e-04 1.7273e-02 -4.3140e-03
4.1334e-04 1.7750e-02 -4.4333e-03
4.1717e-04 1.8241e-02 -4.5558e-03
4.2103e-04 1.8746e-02 -4.6818e-03
4.2493e-04 1.9264e-02 -4.8111e-03
4.2886e-04 1.9797e-02 -4.9441e-03
4.3283e-04 2.0344e-02 -5.0807e-03
4.3684e-04 2.0907e-02 -5.2211e-03
4.4088e-04 2.1485e-02 -5.3653e-03
4.4496e-04 2.2078e-02 -5.5135e-03
4.4908e-04 2.2689e-02 -5.6659e-03
4.5324e-04 2.3316e-02 -5.8224e-03
4.5744e-04 2.3960e-02 -5.9832e-03
4.6167e-04 2.4623e-02 -6.1485e-03
4.6594e-04 2.5303e-02 -6.3183e-03
4.7026e-04 2.6003e-02 -6.4929e-03
4.7461e-04 2.6721e-02 -6.6722e-03
4.7901e-04 2.7460e-02 -6.8564e-03
4.8344e-04 2.8219e-02 -7.0457e-03
4.8792e-04 2.8998e-02 -7.2403e-03
4.9243e-04 2.9800e-02 -7.4402e-03
4.9699e-04 3.0623e-02 -7.6456e-03
5.0159e-04 3.1469e-02 -7.8567e-03
5.0624e-04 3.2338e-02 -8.0735e-03
5.1092e-04 3.3232e-02 -8.2964e-03
5.1565e-04 3.4149e-02 -8.5253e-03
5.2043e-04 3.5092e-02 -8.7606e-03
5.2524e-04 3.6062e-02 -9.0023e-03
5.3011e-04 3.7058e-02 -9.2507e-03
5.3501e-04 3.8081e-02 -9.5059e-03
5.3997e-04 3.9132e-02 -9.7682e-03
5.4496e-04 4.0213e-02 -1.0038e-02
5.5001e-04 4.1323e-02 -1.0315e-02
5.5510e-04 4.2464e-02 -1.0599e-02
5.6024e-04 4.3636e-02 -1.0891e-02
5.6543e-04 4.4840e-02 -1.1192e-02
5.7066e-04 4.6078e-02 -1.1500e-02
5.7594e-04 4.7349e-02 -1.1817e-02
5.8128e-04 4.8656e-02 -1.2143e-02
5.8666e-04 4.9998e-02 -1.2478e-02
5.9209e-04 5.1378e-02 -1.2822e-02
5.9757e-04 5.2795e-02 -1.3175e-02
6.0310e-04 5.4251e-02 -1.3538e-02
6.0868e-04 5.5747e-02 -1.3911e-02
6.1432e-04 5.7284e-02 -1.4294e-02
6.2001e-04 5.8864e-02 -1.4688e-02
6.2575e-04 6.0487e-02 -1.5092e-02
6.3154e-04 6.2155e-02 -1.5508e-02
6.3739e-04 6.3868e-02 -1.5935e-02
6.4329e-04 6.5629e-02 -1.6374e-02
6.4924e-04 6.7438e-02 -1.6825e-02
6.5525e-04 6.9297e-02 -1.7288e-02
6.6132e-04 7.1206e-02 -1.7764e-02
6.6744e-04 7.3169e-02 -1.8252e-02
6.7362e-04 7.5184e-02 -1.8755e-02
6.7985e-04 7.7256e-02 -1.9271e-02
