# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 3.8892e+03 6.8822e-02 -4.7058e-02 8.0586e+03 4.7812e+02 -5.8435e-02 2.1444e+03 4.1078e-01 3.6116e-01 2.7310e-01 5.7167e+03 3.8101e+03 0.0000e+00 0.0000e+00
1.1775e-03 4.5211e+03 1.1355e-01 -7.5697e-02 9.3222e+03 1.7138e+03 -8.0360e-02 2.1444e+03 5.6990e-01 5.0060e-01 3.7742e-01 5.7160e+03 3.8092e+03 0.0000e+00 0.0000e+00
1.3865e-03 5.2499e+03 1.8568e-01 -1.2157e-01 1.0769e+04 3.0108e+03 -1.1018e-01 2.1443e+03 7.9082e-01 6.9360e-01 5.2101e-01 5.7150e+03 3.8079e+03 0.0000e+00 0.0000e+00
1.6326e-03 6.0869e+03 3.0129e-01 -1.9483e-01 1.2420e+04 4.3707e+03 -1.5044e-01 2.1443e+03 1.0977e+00 9.6040e-01 7.1817e-01 5.7136e+03 3.8062e+03 0.0000e+00 0.0000e+00
1.9224e-03 7.0427e+03 4.8547e-01 -3.1135e-01 1.4296e+04 5.7950e+03 -2.0424e-01 2.1442e+03 1.5241e+00 1.3284e+00 9.8802e-01 5.7116e+03 3.8038e+03 0.0000e+00 0.0000e+00
2.2636e-03 8.1257e+03 7.7721e-01 -4.9567e-01 1.6415e+04 7.2842e+03 -2.7510e-01 2.1441e+03 2.1170e+00 1.8345e+00 1.3558e+00 5.7089e+03 3.8005e+03 0.0000e+00 0.0000e+00
2.6654e-03 9.3410e+03 1.2366e+00 -7.8516e-01 1.8793e+04 8.8376e+03 -3.6652e-01 2.1439e+03 2.9421e+00 2.5271e+00 1.8543e+00 5.7052e+03 3.7960e+03 0.0000e+00 0.0000e+00
3.1386e-03 1.0689e+04 1.9550e+00 -1.2358e+00 2.1440e+04 1.0453e+04 -4.8083e-01 2.1437e+03 4.0914e+00 3.4683e+00 2.5251e+00 5.7000e+03 3.7898e+03 0.0000e+00 0.0000e+00
3.6957e-03 1.2166e+04 3.0698e+00 -1.9300e+00 2.4355e+04 1.2126e+04 -6.1685e-01 2.1434e+03 5.6940e+00 4.7341e+00 3.4191e+00 5.6929e+03 3.7814e+03 0.0000e+00 0.0000e+00
4.3517e-03 1.3762e+04 4.7835e+00 -2.9861e+00 2.7522e+04 1.3848e+04 -7.6532e-01 2.1429e+03 7.9315e+00 6.4114e+00 4.5960e+00 5.6831e+03 3.7700e+03 0.0000e+00 0.0000e+00
5.1241e-03 1.5459e+04 7.3872e+00 -4.5698e+00 3.0905e+04 1.5606e+04 -9.0044e-01 2.1423e+03 1.1059e+01 8.5876e+00 6.1200e+00 5.6698e+03 3.7547e+03 0.0000e+00 0.0000e+00
6.0336e-03 1.7223e+04 1.1289e+01 -6.9027e+00 3.4437e+04 1.7380e+04 -9.6487e-01 2.1415e+03 1.5438e+01 1.1329e+01 8.0513e+00 5.6515e+03 3.7342e+03 0.0000e+00 0.0000e+00
7.1046e-03 1.9001e+04 1.7038e+01 -1.0264e+01 3.8017e+04 1.9137e+04 -8.4438e-01 2.1404e+03 2.1571e+01 1.4646e+01 1.0428e+01 5.6268e+03 3.7072e+03 0.0000e+00 0.0000e+00
8.3657e-03 2.0725e+04 2.5339e+01 -1.4981e+01 4.1501e+04 2.0831e+04 -3.2677e-01 2.1388e+03 3.0167e+01 1.8441e+01 1.3241e+01 5.5935e+03 3.6719e+03 0.0000e+00 0.0000e+00
9.8506e-03 2.2305e+04 3.7030e+01 -2.1385e+01 4.4701e+04 2.2392e+04 9.6056e-01 2.1367e+03 4.2204e+01 2.2459e+01 1.6387e+01 5.5489e+03 3.6265e+03 0.0000e+00 0.0000e+00
1.1599e-02 2.3624e+04 5.3010e+01 -2.9729e+01 4.7383e+04 2.3724e+04 3.6381e+00 2.1338e+03 5.9012e+01 2.6242e+01 1.9624e+01 5.4900e+03 3.5689e+03 0.0000e+00 0.0000e+00
1.3658e-02 2.4548e+04 7.4033e+01 -4.0032e+01 4.9280e+04 2.4699e+04 8.6792e+00 2.1298e+03 8.2350e+01 2.9064e+01 2.2513e+01 5.4131e+03 3.4973e+03 0.0000e+00 0.0000e+00
1.6082e-02 2.4926e+04 1.0038e+02 -5.1874e+01 5.0105e+04 2.5161e+04 1.7506e+01 2.1244e+03 1.1444e+02 2.9803e+01 2.4402e+01 5.3143e+03 3.4099e+03 0.0000e+00 0.0000e+00
1.8937e-02 2.4616e+04 1.3140e+02 -6.4170e+01 4.9580e+04 2.4952e+04 3.2010e+01 2.1171e+03 1.5787e+02 2.6856e+01 2.4461e+01 5.1897e+03 3.3053e+03 0.0000e+00 0.0000e+00
2.2298e-02 2.3520e+04 1.6510e+02 -7.5059e+01 4.7505e+04 2.3962e+04 5.4408e+01 2.1073e+03 2.1535e+02 1.8593e+01 2.1836e+01 5.0358e+03 3.1828e+03 0.0000e+00 0.0000e+00
