# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 3.6947e+03 6.3527e-02 -4.2470e-02 7.6557e+03 4.5422e+02 -5.2737e-02 1.9353e+03 3.7073e-01 3.2594e-01 2.4647e-01 5.1594e+03 3.4386e+03 0.0000e+00 0.0000e+00
1.1775e-03 4.2951e+03 1.0476e-01 -6.8317e-02 8.8561e+03 1.6281e+03 -7.2525e-02 1.9353e+03 5.1434e-01 4.5179e-01 3.4062e-01 5.1587e+03 3.4378e+03 0.0000e+00 0.0000e+00
1.3865e-03 4.9875e+03 1.7125e-01 -1.0972e-01 1.0231e+04 2.8602e+03 -9.9436e-02 1.9353e+03 7.1372e-01 6.2598e-01 4.7021e-01 5.1578e+03 3.4367e+03 0.0000e+00 0.0000e+00
1.6326e-03 5.7826e+03 2.7781e-01 -1.7584e-01 1.1799e+04 4.1522e+03 -1.3577e-01 1.9352e+03 9.9064e-01 8.6676e-01 6.4815e-01 5.1565e+03 3.4351e+03 0.0000e+00 0.0000e+00
1.9224e-03 6.6906e+03 4.4760e-01 -2.8100e-01 1.3581e+04 5.5053e+03 -1.8432e-01 1.9351e+03 1.3755e+00 1.1989e+00 8.9169e-01 5.1547e+03 3.4329e+03 0.0000e+00 0.0000e+00
2.2636e-03 7.7195e+03 7.1658e-01 -4.4734e-01 1.5594e+04 6.9200e+03 -2.4828e-01 1.9350e+03 1.9106e+00 1.6557e+00 1.2236e+00 5.1523e+03 3.4300e+03 0.0000e+00 0.0000e+00
2.6654e-03 8.8741e+03 1.1401e+00 -7.0862e-01 1.7854e+04 8.3957e+03 -3.3079e-01 1.9349e+03 2.6552e+00 2.2807e+00 1.6735e+00 5.1489e+03 3.4259e+03 0.0000e+00 0.0000e+00
3.1386e-03 1.0155e+04 1.8027e+00 -1.1154e+00 2.0368e+04 9.9304e+03 -4.3395e-01 1.9347e+03 3.6925e+00 3.1302e+00 2.2789e+00 5.1443e+03 3.4203e+03 0.0000e+00 0.0000e+00
3.6957e-03 1.1558e+04 2.8310e+00 -1.7419e+00 2.3138e+04 1.1520e+04 -5.5671e-01 1.9344e+03 5.1389e+00 4.2726e+00 3.0858e+00 5.1379e+03 3.4127e+03 0.0000e+00 0.0000e+00
4.3517e-03 1.3074e+04 4.4120e+00 -2.6951e+00 2.6147e+04 1.3156e+04 -6.9072e-01 1.9340e+03 7.1583e+00 5.7865e+00 4.1480e+00 5.1291e+03 3.4025e+03 0.0000e+00 0.0000e+00
5.1241e-03 1.4687e+04 6.8148e+00 -4.1245e+00 2.9360e+04 1.4826e+04 -8.1267e-01 1.9335e+03 9.9814e+00 7.7508e+00 5.5236e+00 5.1171e+03 3.3887e+03 0.0000e+00 0.0000e+00
6.0336e-03 1.6363e+04 1.0416e+01 -6.2301e+00 3.2716e+04 1.6511e+04 -8.7083e-01 1.9327e+03 1.3933e+01 1.0226e+01 7.2667e+00 5.1006e+03 3.3702e+03 0.0000e+00 0.0000e+00
