# k[h/Mpc]   Q1   Q2    Q3    Q5    Q8     Qs2    
# 
1.0000e-04 3.4046e-07 -8.3802e-08 1.2840e-07 1.2832e-07 7.4288e-03 1.4857e-02
1.0093e-04 3.5319e-07 -8.6925e-08 1.3321e-07 1.3313e-07 7.5670e-03 1.5133e-02
1.0186e-04 3.6640e-07 -9.0163e-08 1.3820e-07 1.3811e-07 7.7078e-03 1.5414e-02
1.0280e-04 3.8011e-07 -9.3522e-08 1.4338e-07 1.4328e-07 7.8511e-03 1.5701e-02
1.0375e-04 3.9432e-07 -9.7006e-08 1.4875e-07 1.4865e-07 7.9972e-03 1.5993e-02
1.0472e-04 4.0907e-07 -1.0062e-07 1.5432e-07 1.5421e-07 8.1459e-03 1.6291e-02
1.0568e-04 4.2436e-07 -1.0437e-07 1.6009e-07 1.5999e-07 8.2974e-03 1.6594e-02
1.0666e-04 4.4023e-07 -1.0825e-07 1.6609e-07 1.6598e-07 8.4518e-03 1.6902e-02
1.0765e-04 4.5669e-07 -1.1229e-07 1.7231e-07 1.7219e-07 8.6090e-03 1.7217e-02
1.0865e-04 4.7376e-07 -1.1647e-07 1.7876e-07 1.7864e-07 8.7691e-03 1.7537e-02
1.0965e-04 4.9148e-07 -1.2080e-07 1.8545e-07 1.8533e-07 8.9322e-03 1.7863e-02
1.1067e-04 5.0985e-07 -1.2530e-07 1.9240e-07 1.9227e-07 9.0984e-03 1.8195e-02
1.1169e-04 5.2891e-07 -1.2997e-07 1.9960e-07 1.9946e-07 9.2676e-03 1.8534e-02
1.1273e-04 5.4868e-07 -1.3480e-07 2.0707e-07 2.0693e-07 9.4400e-03 1.8878e-02
1.1377e-04 5.6920e-07 -1.3982e-07 2.1483e-07 2.1468e-07 9.6156e-03 1.9229e-02
1.1482e-04 5.9047e-07 -1.4503e-07 2.2287e-07 2.2271e-07 9.7944e-03 1.9587e-02
1.1589e-04 6.1254e-07 -1.5042e-07 2.3121e-07 2.3105e-07 9.9766e-03 1.9951e-02
1.1696e-04 6.3544e-07 -1.5602e-07 2.3987e-07 2.3970e-07 1.0162e-02 2.0322e-02
1.1804e-04 6.5919e-07 -1.6183e-07 2.4885e-07 2.4867e-07 1.0351e-02 2.0700e-02
1.1913e-04 6.8383e-07 -1.6785e-07 2.5817e-07 2.5798e-07 1.0544e-02 2.1085e-02
1.2024e-04 7.0938e-07 -1.7409e-07 2.6783e-07 2.6763e-07 1.0740e-02 2.1478e-02
1.2135e-04 7.3589e-07 -1.8057e-07 2.7786e-07 2.7765e-07 1.0940e-02 2.1877e-02
1.2247e-04 7.6339e-07 -1.8729e-07 2.8826e-07 2.8804e-07 1.1143e-02 2.2284e-02
1.2361e-04 7.9192e-07 -1.9426e-07 2.9905e-07 2.9882e-07 1.1350e-02 2.2698e-02
1.2475e-04 8.2151e-07 -2.0148e-07 3.1024e-07 3.1000e-07 1.1561e-02 2.3120e-02
1.2591e-04 8.5221e-07 -2.0897e-07 3.2185e-07 3.2160e-07 1.1777e-02 2.3550e-02
1.2707e-04 8.8405e-07 -2.1675e-07 3.3390e-07 3.3364e-07 1.1996e-02 2.3988e-02
